scope,asset,variant,rows,mse,residual_correlation
2018,EFA,mean,52,0.00043150761513713337,
2018,EFA,raw_ridge100,52,0.0004306975014051358,0.1655565789348427
2018,EFA,cal_ridge100,52,0.00043150761513713337,
2018,EFA,static_ridge100,52,0.00043150761513713337,
2018,EFA,raw_gbm2,52,0.0004240564021372974,0.11213966651719154
2018,EFA,cal_gbm2,52,0.00043150761513713337,
2018,EFA,static_gbm2,52,0.00043150761513713337,
2018,EEM,mean,52,0.0007511190019054716,
2018,EEM,raw_ridge100,52,0.0007400383395518427,0.2805463912037734
2018,EEM,cal_ridge100,52,0.0007511190019054716,
2018,EEM,static_ridge100,52,0.0007511190019054716,
2018,EEM,raw_gbm2,52,0.0007447509917345961,0.22570277589887675
2018,EEM,cal_gbm2,52,0.0007511190019054716,
2018,EEM,static_gbm2,52,0.0007511190019054716,
2018,IEF,mean,52,2.9984783420163275e-05,
2018,IEF,raw_ridge100,52,2.7485503820417567e-05,0.3886630433849973
2018,IEF,cal_ridge100,52,2.9984783420163275e-05,
2018,IEF,static_ridge100,52,2.9984783420163275e-05,
2018,IEF,raw_gbm2,52,3.019753989503395e-05,-0.07588063731367845
2018,IEF,cal_gbm2,52,2.9984783420163275e-05,
2018,IEF,static_gbm2,52,2.9984783420163275e-05,
2018,TLT,mean,52,0.00015801562474238425,
2018,TLT,raw_ridge100,52,0.00014793557932169153,0.38210179056924254
2018,TLT,cal_ridge100,52,0.00015801562474238425,
2018,TLT,static_ridge100,52,0.00015801562474238425,
2018,TLT,raw_gbm2,52,0.00015478041102889381,0.12020687348954244
2018,TLT,cal_gbm2,52,0.00015801562474238425,
2018,TLT,static_gbm2,52,0.00015801562474238425,
2019,pooled,mean,416,0.00030022938650265784,
2019,pooled,raw_ridge100,416,0.00029790050994113937,0.1198882533191714
2019,pooled,cal_ridge100,416,0.00030022938650265784,
2019,pooled,static_ridge100,416,0.00030022938650265784,
2019,pooled,raw_gbm2,416,0.00030265667563943806,0.047419242211778866
2019,pooled,cal_gbm2,416,0.00030022938650265784,
2019,pooled,static_gbm2,416,0.00030022938650265784,
2019,SPY,mean,52,0.00025733856118537694,
2019,SPY,raw_ridge100,52,0.00024788755618958725,0.3063074810323177
2019,SPY,cal_ridge100,52,0.00025733856118537694,
2019,SPY,static_ridge100,52,0.00025733856118537694,
2019,SPY,raw_gbm2,52,0.000260616980006062,0.010837320774929072
2019,SPY,cal_gbm2,52,0.00025733856118537694,
2019,SPY,static_gbm2,52,0.00025733856118537694,
2019,QQQ,mean,52,0.0003782512124193072,
2019,QQQ,raw_ridge100,52,0.00037086239714883337,0.17850116951693382
2019,QQQ,cal_ridge100,52,0.0003782512124193072,
2019,QQQ,static_ridge100,52,0.0003782512124193072,
2019,QQQ,raw_gbm2,52,0.000381876454618986,0.030937152162171352
2019,QQQ,cal_gbm2,52,0.0003782512124193072,
2019,QQQ,static_gbm2,52,0.0003782512124193072,
2019,GLD,mean,52,0.00027990551850102385,
2019,GLD,raw_ridge100,52,0.00028264279872674414,0.07736689842536351
2019,GLD,cal_ridge100,52,0.00027990551850102385,
2019,GLD,static_ridge100,52,0.00027990551850102385,
2019,GLD,raw_gbm2,52,0.00028937562392808707,0.06395469386008136
2019,GLD,cal_gbm2,52,0.00027990551850102385,
2019,GLD,static_gbm2,52,0.00027990551850102385,
2019,IWM,mean,52,0.000420290020003799,
2019,IWM,raw_ridge100,52,0.0004119862399866837,0.16640064546639763
2019,IWM,cal_ridge100,52,0.000420290020003799,
2019,IWM,static_ridge100,52,0.000420290020003799,
2019,IWM,raw_gbm2,52,0.0004278472915889488,-0.09344468990864227
2019,IWM,cal_gbm2,52,0.000420290020003799,
2019,IWM,static_gbm2,52,0.000420290020003799,
2019,EFA,mean,52,0.00023126740576471814,
2019,EFA,raw_ridge100,52,0.00022790730839933034,0.2237768492457492
2019,EFA,cal_ridge100,52,0.00023126740576471814,
2019,EFA,static_ridge100,52,0.00023126740576471814,
2019,EFA,raw_gbm2,52,0.00023641309155452542,-0.06120908764654787
2019,EFA,cal_gbm2,52,0.00023126740576471814,
2019,EFA,static_gbm2,52,0.00023126740576471814,
2019,EEM,mean,52,0.0005057500731742632,
2019,EEM,raw_ridge100,52,0.0005052125089408211,0.08294469200905923
2019,EEM,cal_ridge100,52,0.0005057500731742632,
2019,EEM,static_ridge100,52,0.0005057500731742632,
2019,EEM,raw_gbm2,52,0.0005086284338988725,-0.007544212566979827
2019,EEM,cal_gbm2,52,0.0005057500731742632,
2019,EEM,static_gbm2,52,0.0005057500731742632,
2019,IEF,mean,52,4.874613907002598e-05,
2019,IEF,raw_ridge100,52,5.0779382314608434e-05,-0.17287415191072478
2019,IEF,cal_ridge100,52,4.874613907002598e-05,
2019,IEF,static_ridge100,52,4.874613907002598e-05,
2019,IEF,raw_gbm2,52,4.751974476318752e-05,0.16583960057397826
2019,IEF,cal_gbm2,52,4.874613907002598e-05,
2019,IEF,static_gbm2,52,4.874613907002598e-05,
2019,TLT,mean,52,0.00028028616190274824,
2019,TLT,raw_ridge100,52,0.0002859258878225064,-0.06827915658208059
2019,TLT,cal_ridge100,52,0.00028028616190274824,
2019,TLT,static_ridge100,52,0.00028028616190274824,
2019,TLT,raw_gbm2,52,0.00026897578475683576,0.2424847188256072
2019,TLT,cal_gbm2,52,0.00028028616190274824,
2019,TLT,static_gbm2,52,0.00028028616190274824,
2020,pooled,mean,424,0.0015346418470687188,
2020,pooled,raw_ridge100,424,0.0014593411444947615,0.22777478850542923
2020,pooled,cal_ridge100,424,0.0014748399103386798,0.22777478850542904
2020,pooled,static_ridge100,424,0.0015346295779184716,0.033626995732701594
2020,pooled,raw_gbm2,424,0.0014713320468587709,0.20269705676453503
2020,pooled,cal_gbm2,424,0.0015214888796882427,0.20269705676453514
2020,pooled,static_gbm2,424,0.001535054486837811,-0.025681518511930315
2020,SPY,mean,53,0.0017036730349001476,
2020,SPY,raw_ridge100,53,0.001596427755882031,0.2743288135455207
2020,SPY,cal_ridge100,53,0.0016182673185613017,0.27432881354552074
2020,SPY,static_ridge100,53,0.0017036905040639064,
2020,SPY,raw_gbm2,53,0.0016297334771982748,0.20713050077529263
2020,SPY,cal_gbm2,53,0.0016871402926463789,0.20713050077529263
2020,SPY,static_gbm2,53,0.001703979640289756,
2020,QQQ,mean,53,0.0017675635108615243,
2020,QQQ,raw_ridge100,53,0.0016435323957435413,0.28091866368144597
2020,QQQ,cal_ridge100,53,0.0016725370305094602,0.2809186636814459
2020,QQQ,static_ridge100,53,0.0017675643590211831,
2020,QQQ,raw_gbm2,53,0.001726055962543753,0.16205178132590745
2020,QQQ,cal_gbm2,53,0.0017570112176874477,0.16205178132590756
2020,QQQ,static_gbm2,53,0.001768335873500966,
2020,GLD,mean,53,0.0010362552389966261,
2020,GLD,raw_ridge100,53,0.000997299950761696,0.29276186792559317
2020,GLD,cal_ridge100,53,0.0010075497585177668,0.2927618679255932
