scenario,policy,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost10,static_ridge100,all,1752,0.009514351873327723,0.01091265853988262,0.030532023260339797,3.6142093868067136,0.03565276991529781,0.9643472300847022,0.010501187882216767,-0.08334729779759231,-0.042274372390099346
cost10,static_ridge100,excluding_2020,1499,0.010451950581372795,0.012085518041704364,0.033000681410455444,3.6142093868067073,0.04167021540467096,0.9583297845953291,,,
cost10,static_ridge100,2018,247,0.016214604389747662,0.016220910172482398,0.0020503304993318735,0.9990009990010053,0.0,1.0,0.016350525218744805,-0.000890333820760425,4.9388307903353024e-05
cost10,static_ridge100,2019,252,0.02011292295033571,0.02011829346504901,0.001892179468813365,5.186417291717728e-15,0.0,1.0,0.020319391991691305,-0.00021858292867327211,0.001060535991363798
cost10,static_ridge100,2020,253,0.003958558388092342,0.003963581886796466,0.001830027086160918,5.97640814584737e-15,0.0,1.0,0.003969741565877483,-0.0008843796237628654,-0.0006330212490828213
cost10,static_ridge100,2021,252,-0.000985930797762687,-0.0009830384990856533,0.0013885960960705486,4.056172059431812e-15,0.0,1.0,-0.000983516737307344,-0.0010929180423983054,-0.0003283114069049242
cost10,static_ridge100,2022,251,-0.07350435806767994,-0.06390222121225062,0.08000890306888488,1.1103652586378692,0.24491439886814076,0.7550856011318594,-0.0648977879094288,-0.08334729779759253,-0.04227437239009946
cost10,static_ridge100,2023,250,0.05227230017392905,0.05237913154796144,0.008439248546025555,0.5048431291678186,0.0039605551027937945,0.9960394448972062,0.05373216649090162,-0.004129048904383703,0.0028759298612053286
cost10,static_ridge100,2024,247,0.04951159334507747,0.049523146225803505,0.0027752334107278022,1.000000000000005,0.0,1.0,0.05076077196904505,-0.001000000000000112,0.0029135427595459173
cost25,bil,all,1752,0.02110103520903264,0.02111278403151453,0.0027986690267447637,1.9975062344140015,0.0,1.0,0.02133233436937787,-0.0025000000000000577,-0.0014469449414348245
cost25,bil,excluding_2020,1499,0.02399466994084195,0.02400721241217675,0.0028916513545957233,1.9975062344139967,0.0,1.0,,,
cost25,bil,2018,247,0.014681945113044381,0.014695553655425278,0.0030120361198473834,0.997506234413969,0.0,1.0,0.014799040862699231,-0.0023852610020761444,-0.0014469449414348245
cost25,bil,2019,252,0.02011292295033671,0.020118293465050008,0.0018921794688133708,6.284824998222706e-15,0.0,1.0,0.020319391991693303,-0.00021858292867349416,0.001060535991363798
cost25,bil,2020,253,0.003958558388096323,0.003963581886800447,0.001830027086160944,4.915687221130505e-15,0.0,1.0,0.00396974156588259,-0.0008843796237582024,-0.0006330212490823772
cost25,bil,2021,252,-0.000985930797758914,-0.0009830384990818786,0.0013885960960709645,4.7033470582362205e-15,0.0,1.0,-0.0009835167373035691,-0.0010929180423948637,-0.00032831140690448013
cost25,bil,2022,251,0.013997618811954566,0.014006849275223145,0.0024806535790095384,5.9681621725120754e-15,0.0,1.0,0.014101902857260207,-0.0003281284501814863,-0.0003281284501814863
cost25,bil,2023,250,0.04864780052460225,0.04865995646273554,0.0028467452916498934,6.19556650149267e-15,0.0,1.0,0.0498541242898598,-0.00021813266807546583,0.0028759298612048845
cost25,bil,2024,247,0.0479722699854631,0.04799278185333619,0.003697915437386735,1.0000000000000044,0.0,1.0,0.04915113993770337,-0.0025000000000001688,0.00140766656921687
