anchor_ordinal,transition_id,anchor_timestamp,partition,prior_regime_label,current_regime_label,ordered_transition,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,controls_available,control_exclusion_reasons,forward_log_return_24h,outcome_available_24h,outcome_exclusion_reason_24h,forward_log_return_72h,outcome_available_72h,outcome_exclusion_reason_72h,forward_log_return_168h,outcome_available_168h,outcome_exclusion_reason_168h
63,6497ea5bfbb8c67b2da41d76e01516585c76f1d6576daa3734b5d8838cd4488f,2019-11-21T15:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.064013556338822025,-0.098815717624462535,-0.12415965618861853,0.033639366494995743,0.057058208461806662,-3.1801549376272544,true,[],-0.066224381553657272,true,,-0.084237296224717387,true,,0.0015901354571520065,true,
64,44ee06d15ae6b2e768b7bda7a9b13b34cb23bdb661dff07363db1390a004637a,2019-11-29T13:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.037621060357366724,0.093752565963690651,0.096794773227471667,0.041603024961351549,0.10744201223665992,2.2696576272078377,true,[],-0.013510656534950915,true,,-0.058513520713557941,true,,-0.052871181630675015,true,
65,0aa64e3cbe65e8dbd521c7a41347cc0ca7bcf6b2086a6fb54f0562878171ebcc,2019-12-18T13:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.013211069640011803,-0.058529860656483357,-0.080723731259020048,0.03286512033232062,0.059546888928705272,-1.9152447279674634,true,[],0.059220862191040204,true,,0.066266064191644686,true,,0.073619891411752972,true,
66,fd163cf5064aace7e9dfe4b550d3d9fb077e9e33715b2d6fb59250109706a7fb,2020-01-07T18:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.066675431913236327,0.098482973344306307,0.11936067410215227,0.037404333734287844,0.072925061387654824,2.7549677296576638,true,[],6.7111424875215077e-05,true,,-0.0028165228797140552,true,,0.087585510505158365,true,
67,7dfd5e213e03743e51cfa2aad1c6b08d182f3ad3b9d1af036160ee6e1094fb5c,2020-01-14T22:00:00,1,TREND_UP,VOL_COMPRESSION,TREND_UP -> VOL_COMPRESSION,0.074244688750898666,0.079759700373203818,0.083330694031970742,0.03831517187641887,0.084674268390217453,2.6154602215659062,true,[],0.011891341314831726,true,,0.020968848800518129,true,,-0.0038832775311580347,true,
68,0b0a10629376ddf16478644b546378a450230da393c1ceec309f4b02aa4616e1,2020-01-28T23:00:00,1,VOL_COMPRESSION,TREND_UP,VOL_COMPRESSION -> TREND_UP,0.054527170556200336,0.1206439819992567,0.074272402658702288,0.039772515883192472,0.063368467125230227,3.2407015772508072,true,[],-0.011353795423563021,true,,-0.0063557771346075117,true,,-0.024805637232777962,true,
69,d1badbe6acd9228ecadb36297fefbd171ddacb7e05d752b6bfeaf534a534de12,2020-02-13T13:00:00,1,VOL_COMPRESSION,RANGE,VOL_COMPRESSION -> RANGE,-0.021680750033948312,0.03681888472613376,0.043436739392180367,0.021589390113575916,0.064320391202571367,0.76821256057683085,true,[],0.0065814381631817019,true,,-0.023386270745216826,true,,-0.058893189390990225,true,
70,e67220d765cdba88f4fec58dc7c730364fc9ed2147368ac57f5a5c0a834a3865,2020-02-20T17:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.069046017853529928,-0.014995210464784869,-0.069335538816133663,0.059576683560113627,0.085770687403672927,-1.7892953685850617,true,[],0.022456121406993667,true,,0.040465518339035833,true,,-0.064025405124243762,true,
71,f52c1dd435422644beaa3593ca8cf6cb58dfe85bd4067e21a8676b5e6ee206a5,2020-02-28T13:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.019213743845162085,-0.10044070214449913,-0.11809078881256062,0.031584720264444768,0.073106795596013269,-1.6985741767713016,true,[],-0.0015404450690427261,true,,0.019704107862496441,true,,0.047156753142605569,true,
72,5584c760cdb6ebcf27ec5a151db9f06393a4bb376140f54f61567fc5a4c95b4c,2020-03-08T16:00:00,1,VOL_COMPRESSION,TREND_DOWN,VOL_COMPRESSION -> TREND_DOWN,-0.088105741683790123,-0.093251173683296967,-0.026904176087350032,0.034508910362524896,0.060035046119607083,-3.0314772696162469,true,[],-0.062956448083417507,true,,-0.065613759564541185,true,,-0.45313902045295751,true,
