policy,comparator,scenario,period,matched_risk_setting,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
state_rule_vol40_band2,usd_cash,base,2025,False,0.058024662783415115,,-0.26071820076704189,0.33341444715070095
state_rule_vol40_band2,trend_vol40_band2,base,2026,True,-3.4416913763379853e-15,-2.5313084961453569e-14,-1.1102230246251565e-16,-1.1102230246251565e-16
state_rule_vol40_band2,allocation_vol40_band2,base,2026,True,0.18890202837025238,-0.03758351791287623,0.38301432180914541,-0.37443138595069164
state_rule_vol40_band2,fixed_blend_vol40_band2,base,2026,True,0.075884999366526262,-0.023500923755260084,0.19801131518230375,-0.16764347245258726
state_rule_vol40_band2,btc_buy_hold,base,2026,False,0.12536246570357967,-0.22630417064885305,0.3200441665971675,-0.38749392155403639
state_rule_vol40_band2,eth_buy_hold,base,2026,False,0.23026394791237703,-0.21016704912507886,0.45711306354114134,-0.56778900689731404
state_rule_vol40_band2,mix_buy_hold,base,2026,False,0.17708965072063132,-0.19067767553785675,0.38690326664919539,-0.45767043033545363
state_rule_vol40_band2,usd_cash,base,2026,False,-0.032105618829847749,,-0.07633731531673793,0.082146840949559138
state_rule_vol20_band2,trend_vol20_band2,cost_stress,full_forward,True,0.012067795814427851,0.080996901466664009,-0.0018919496895253296,0.00023648841644519081
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,full_forward,True,0.021647284392724675,0.015536129247256711,0.13901712050014026,-0.063822615412833128
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,full_forward,True,0.013746811383543944,0.046112589463238859,0.068324908565670417,-0.021788162069148409
state_rule_vol20_band2,btc_buy_hold,cost_stress,full_forward,False,0.078513318346340011,-0.0742511307486593,0.32738958828167997,-0.28441528309161224
state_rule_vol20_band2,eth_buy_hold,cost_stress,full_forward,False,0.14977814131302702,-0.18964579875238613,0.472659065467254,-0.55739616025171967
state_rule_vol20_band2,mix_buy_hold,cost_stress,full_forward,False,0.11366542238954314,-0.096725951992610748,0.39703455173727586,-0.38381748662897913
state_rule_vol20_band2,usd_cash,cost_stress,full_forward,False,-0.02922724776832919,,-0.20336820703421365,0.15510632776854322
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2025,True,0.020489745790700398,0.1087774239965017,-0.0019938553316485308,0.00030944106388616777
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2025,True,0.022384166100824943,0.1006116088059371,0.027502490334177621,-0.017131112988355679
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2025,True,0.021092320278164323,0.10388801161950591,0.01380870089984565,-0.0074588361609132514
state_rule_vol20_band2,btc_buy_hold,cost_stress,2025,False,0.070569654105840485,0.061737505699157667,0.16054813005341173,-0.22918453540944164
state_rule_vol20_band2,eth_buy_hold,cost_stress,2025,False,0.1168972804020687,-0.10852849887518566,0.44050459908894912,-0.56115874095278806
state_rule_vol20_band2,mix_buy_hold,cost_stress,2025,False,0.093734479690840811,0.010530449984199372,0.26819476687657884,-0.34888603527190543
state_rule_vol20_band2,usd_cash,cost_stress,2025,False,0.00069612512627204026,,-0.16045941572369493,0.19013346226934005
state_rule_vol20_band2,trend_vol20_band2,cost_stress,2026,True,2.2204460492503131e-16,1.4432899320127035e-14,6.6613381477509392e-16,-1.1102230246251565e-16
state_rule_vol20_band2,allocation_vol20_band2,cost_stress,2026,True,0.020645714450495678,-0.68158761717874161,0.17865551324142792,-0.161484150978709
state_rule_vol20_band2,fixed_blend_vol20_band2,cost_stress,2026,True,0.0032442215057638668,-0.48153199236404154,0.082669817928183731,-0.06503318863516025
state_rule_vol20_band2,btc_buy_hold,cost_stress,2026,False,0.089753243676668815,-0.83847644009311784,0.30982380535810139,-0.39506620183520103
state_rule_vol20_band2,eth_buy_hold,cost_stress,2026,False,0.19392592348363735,-0.82640557935467851,0.44689270230207456,-0.57533953005450367
state_rule_vol20_band2,mix_buy_hold,cost_stress,2026,False,0.14112105439426637,-0.80475846956410202,0.3766829054101285,-0.46523198193104887
state_rule_vol20_band2,usd_cash,cost_stress,2026,False,-0.073568326152498087,,-0.086557676555805707,0.074649452451604897
state_rule_vol40_band2,trend_vol40_band2,cost_stress,full_forward,True,0.066747669712454605,0.2857992100783518,0.0030774111578021346,0.011777220573600422
state_rule_vol40_band2,allocation_vol40_band2,cost_stress,full_forward,True,0.13197149725394075,0.22414980975179205,0.27070664516011145,-0.16907000653730347
state_rule_vol40_band2,fixed_blend_vol40_band2,cost_stress,full_forward,True,0.084914749220814101,0.2411290088065062,0.143872532751673,-0.057071792634377227
state_rule_vol40_band2,btc_buy_hold,cost_stress,full_forward,False,0.092329078071311299,0.11244288225518875,0.22492923465195613,-0.17527319058249113
state_rule_vol40_band2,eth_buy_hold,cost_stress,full_forward,False,0.16359390103799831,-0.0029517857485380494,0.37019871183753017,-0.44825406774259852
state_rule_vol40_band2,mix_buy_hold,cost_stress,full_forward,False,0.12748118211451442,0.089968061011237319,0.29457419810755203,-0.27467539411985803
state_rule_vol40_band2,usd_cash,cost_stress,full_forward,False,-0.015411488043357902,,-0.30582856066393749,0.26424842027766432
state_rule_vol40_band2,trend_vol40_band2,cost_stress,2025,True,0.11190078880784093,0.368308061423608,0.0032445895941393132,0.01541755555324309
state_rule_vol40_band2,allocation_vol40_band2,cost_stress,2025,True,0.10370900931040294,0.22572708891463858,0.083935344318882055,-0.084697803966767404
state_rule_vol40_band2,fixed_blend_vol40_band2,cost_stress,2025,True,0.099187028464892912,0.27322851627516176,0.021486002351322697,-0.027438792586181149
state_rule_vol40_band2,btc_buy_hold,cost_stress,2025,False,0.090740168789795961,0.19135640170126872,0.052889414375692834,-0.08591788305946052
state_rule_vol40_band2,eth_buy_hold,cost_stress,2025,False,0.13706779508602418,0.021090397126925398,0.33284588341123023,-0.41789208860280691
state_rule_vol40_band2,mix_buy_hold,cost_stress,2025,False,0.11390499437479629,0.14014934598631043,0.16053605119885994,-0.20561938292192428
state_rule_vol40_band2,usd_cash,cost_stress,2025,False,0.020866639810227516,,-0.26811813140141383,0.33340011461932118
state_rule_vol40_band2,trend_vol40_band2,cost_stress,2026,True,-1.2212453270876722e-15,-1.8540724511240114e-14,-3.3306690738754696e-16,-1.6653345369377348e-16
state_rule_vol40_band2,allocation_vol40_band2,cost_stress,2026,True,0.16959264316224953,-0.46454473809843028,0.37661839572760381,-0.37520479111771854
state_rule_vol40_band2,fixed_blend_vol40_band2,cost_stress,2026,True,0.06479581211660379,-0.38318547562173966,0.19546856559124381,-0.16820781351010677
state_rule_vol40_band2,btc_buy_hold,cost_stress,2026,False,0.094625295406941756,-0.68754324332749839,0.30942387777862945,-0.38839738031331705
state_rule_vol40_band2,eth_buy_hold,cost_stress,2026,False,0.19879797521391029,-0.67547238258905906,0.44649277472260263,-0.5686707085326197
state_rule_vol40_band2,mix_buy_hold,cost_stress,2026,False,0.14599310612453931,-0.65382527279848257,0.37628297783065656,-0.45856316040916489
state_rule_vol40_band2,usd_cash,cost_stress,2026,False,-0.068696274422225145,,-0.086957604135277644,0.081318273973488925
