policy,family,profile,band,role,scenario,period,first_date,last_date,days,total_return,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
mix_buy_hold,mix_buy_hold,,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,-0.13867911773838237,1,0,-0.20552506297743334,-0.15548848215922673,-0.46324058196592921,0.53980645432701113,-0.44366808733641877,-0.5210201984427103,0.86132088226161763,0.99579831932771079,1.5411392405063014,0,-0.1441735860602833,224
usd_cash,usd_cash,,0,comparator,frictionless,full_forward,2025-01-01,2026-08-26,603,0,2,0,0,,0,0,,0,1,0,0,0,0,0
usd_cash,usd_cash,,0,comparator,frictionless,2025,2025-01-01,2025-12-31,365,0,1,0,0,,0,0,,0,1,0,0,0,0,0
usd_cash,usd_cash,,0,comparator,frictionless,2026,2026-01-01,2026-08-26,238,0,1,0,0,,0,0,,0,1,0,0,0,0,0
trend_vol20_exact,trend,0.20000000000000001,0,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.022266445788535205,603,0,-0.013569437190008693,-0.0094631856797513982,-0.18696426481876338,0.15606171950734238,-0.072577704638704249,-0.038009731472581874,0.97773355421146479,0.26665932912082846,7.6475575872760038,0.022942681300830294,-0.040597438920181084,378
trend_vol20_exact,trend,0.20000000000000001,0,comparator,base,2025,2025-01-01,2025-12-31,365,0.0061958968980850848,365,0,0.0062172400226139235,0.1277552121310806,-0.15603477312348857,0.1914846245881518,0.03984522102450519,-0.030536383346398473,1.0061958968980851,0.37441568502928047,7.5050585985784073,0.022515196830673403,-0.040597438920181084,184
trend_vol20_exact,trend,0.20000000000000001,0,comparator,base,2026,2026-01-01,2026-08-26,238,-0.028287078862440529,238,0,-0.043259213939770169,-0.55418896759289693,-0.07703477826897609,0.074448926278464417,-0.56155433833697133,-0.049572737528686246,0.97171292113755947,0.10140273287467322,7.8986849690194694,0.023696044290019921,-0.012537117229345696,108
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.069317815529196691,603,0,-0.042649541952761383,-0.085428668619863771,-0.3401581080632049,0.22190605617878909,-0.12538152389075688,-0.092820585591274513,0.93068218447080331,0.39220696493866036,3.526502161169589,0.010579499759734346,-0.062016751864851338,378
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,base,2025,2025-01-01,2025-12-31,365,-0.014734400760940791,365,0,-0.014784623767843508,0.034567855726314357,-0.18860489484198129,0.21069531328023777,-0.078389395886201682,-0.059305487365704457,0.98526559923905921,0.37550152659934238,3.212678899914128,0.0096380440222928743,-0.046750523571820635,190
allocation_vol20_exact,allocation,0.20000000000000001,0,comparator,base,2026,2026-01-01,2026-08-26,238,-0.055399696092518824,238,0,-0.084087794901939406,-0.2481974260625614,-0.26456195832400053,0.23851901744090293,-0.31783781551450335,-0.14453678871726394,0.94460030390748118,0.41782664978677408,4.0233720736512657,0.012070087895550509,-0.062016751864851338,224
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,base,full_forward,2025-01-01,2026-08-26,603,-0.041227521004080003,603,0,-0.025220638131282391,-0.054032652115920919,-0.26427307048219373,0.17826671681852266,-0.095434007276128108,-0.057300756981585647,0.95877247899592,0.32944048710797386,5.3952106568121598,0.01618563911709826,-0.040597438920181084,378
fixed_blend_vol20_exact,fixed_blend,0.20000000000000001,0,comparator,base,2025,2025-01-01,2025-12-31,365,-0.003460817740656652,365,0,-0.0034726817572267032,0.082066749834641489,-0.16773845926540221,0.1994393720124038,-0.020702954900355279,-0.043296753612933066,0.99653918225934335,0.37495864326591372,5.1934624492316388,0.015580406103138192,-0.040597438920181084,185
