asset,scenario,model,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
BTC,delay_stress,split_absolute,1.7372102794007254e-16,2.5252798296727076e-16,0.0,0.0,0.0,0.0,29,0.3103448275862069,18.530829085675208,0.8779234391426469,0.7803023852877667,
ETH,delay_stress,split_absolute,2.167955612957009e-16,2.672012697423083e-16,0.0,0.0,0.0,0.0,38,0.4473684210526316,22.917928862412506,0.7619005374833666,0.6585023641273774,
MIX,delay_stress,split_absolute,,,,,,,67,0.3880597014925373,,0.5383446266726878,0.7970725394881415,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,priority_relative,1.7372102794007254e-16,2.3922702437541335e-16,0.0,0.0,0.0,0.0,22,0.3181818181818182,22.88919641199876,0.929541524454864,0.8558661241365095,
ETH,delay_stress,priority_relative,2.298701703692778e-16,4.4296850147188424e-16,0.0,0.0,0.0,0.0,21,0.42857142857142855,34.27941595630811,0.9101078298232869,0.8262844194339399,
MIX,delay_stress,priority_relative,,,,,,,43,0.37209302325581395,,0.6713546074988409,0.8798353526713969,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,split_relative,1.7372102794007254e-16,2.3922702437541335e-16,0.0,0.0,0.0,0.0,22,0.3181818181818182,22.88919641199876,0.929541524454864,0.8558661241365095,
ETH,delay_stress,split_relative,1.9758011199004272e-16,2.7058924891951316e-16,0.0,0.0,0.0,0.0,24,0.4583333333333333,25.854458975727024,0.8559086956555706,0.7883960679393094,
MIX,delay_stress,split_relative,,,,,,,46,0.391304347826087,,0.6319573294050004,0.8639808034336681,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,full_linear,4.035851732881403e-16,4.438657667130642e-16,0.0,0.0,0.0,0.0,33,0.42424242424242425,40.95456763270909,0.6073954660614547,0.9050977426453561,
ETH,delay_stress,full_linear,2.0610479142045254e-16,4.415728010622159e-16,0.0,0.0,0.0,0.0,38,0.5526315789473685,61.48931449449305,0.6220909328983989,0.8307684544685099,
MIX,delay_stress,full_linear,,,,,,,71,0.49295774647887325,,0.449153756082141,0.952873693431449,"equal initial capital, no sleeve rebalancing"
BTC,delay_stress,boosted,1.7372102794007254e-16,2.763211519524745e-16,0.0,0.0,0.0,0.0,37,0.3783783783783784,15.398750172873918,0.6404768454809016,0.7406238401449585,
ETH,delay_stress,boosted,2.025620562493612e-16,1.475716620408023e-16,0.0,0.0,0.0,0.0,33,0.42424242424242425,8.666306684530463,0.7682873932751393,0.6302674254524887,
MIX,delay_stress,boosted,,,,,,,70,0.4,,0.4821602566691098,0.7508775499515395,"equal initial capital, no sleeve rebalancing"
