asset,timeframe,target,model,year,observations,loss,constant_loss,skill_vs_constant,mean_prediction,mean_actual,metric
ETH,1,log_variance,priority_relative,2020,333,0.7477045378313918,1.002537772204716,0.2541881627192075,-6.689927255880618,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,priority_relative,2021,365,0.9924437144541235,1.147958724828932,0.13547090763039693,-6.784037682007116,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,priority_relative,2022,365,0.8083652650712112,1.101908284611451,0.2663951470731952,-6.580599069094459,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,priority_relative,2023,354,3.0032786081384,3.0050747606535553,0.0005977064326894155,-6.570558146473059,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,priority_relative,2024,366,0.8538270458158133,0.9538314997153156,0.10484498984291257,-6.782592601400431,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,priority_relative,2025,353,0.7409296843789844,0.8818639568132671,0.15981407488697852,-6.901384196340215,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,simple_linear,all,2136,0.814883269967303,1.3479603499588755,0.39546940680253395,-6.8348879413751495,-6.965417946838851,log_variance_MSE
ETH,1,log_variance,simple_linear,2020,333,0.7105026334649257,1.002537772204716,0.29129589611129114,-6.687169299164503,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,simple_linear,2021,365,0.5336318525294594,1.147958724828932,0.5351471782149826,-6.384835937337024,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,simple_linear,2022,365,0.6941333200033782,1.101908284611451,0.3700625272563952,-6.639795983762752,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,simple_linear,2023,354,1.6153524712690954,3.0050747606535553,0.46245847443815924,-7.158326394027927,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,simple_linear,2024,366,0.6558407739398747,0.9538314997153156,0.31241443154727055,-7.137415369031587,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,simple_linear,2025,353,0.6911798913331424,0.8818639568132671,0.2162284375122746,-7.003289083293699,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,split_absolute,all,2136,0.9381769606847082,1.3479603499588755,0.3040025541453568,-6.829695405847009,-6.965417946838851,log_variance_MSE
ETH,1,log_variance,split_absolute,2020,333,0.7593113164302984,1.002537772204716,0.2426107649186422,-6.711039013386953,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,split_absolute,2021,365,0.6361624303632489,1.147958724828932,0.44583161693548745,-6.433857125423694,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,split_absolute,2022,365,0.7865067258049419,1.101908284611451,0.28623213311961293,-6.630321048568112,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,split_absolute,2023,354,1.8938537849311279,3.0050747606535553,0.36978147441521714,-7.081675101655435,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,split_absolute,2024,366,0.7192886259870876,0.9538314997153156,0.24589550019917616,-7.14549226728431,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,split_absolute,2025,353,0.8445813050225629,0.8818639568132671,0.042277101249755145,-6.976955258108402,-6.966455247024897,log_variance_MSE
ETH,1,log_variance,split_relative,all,2136,1.1877108572348012,1.3479603499588755,0.11888294246115128,-6.718298456477625,-6.965417946838851,log_variance_MSE
ETH,1,log_variance,split_relative,2020,333,0.7482088252008369,1.002537772204716,0.25368515187669727,-6.685583764159005,-6.711519207678096,log_variance_MSE
ETH,1,log_variance,split_relative,2021,365,0.9798656997486637,1.147958724828932,0.14642776037554617,-6.773487417292314,-6.160586839282614,log_variance_MSE
ETH,1,log_variance,split_relative,2022,365,0.8149657566492658,1.101908284611451,0.26040509175712867,-6.586948852456268,-6.740815746508531,log_variance_MSE
ETH,1,log_variance,split_relative,2023,354,2.9874153014505227,3.0050747606535553,0.00587654571335583,-6.5759271071434435,-7.993605460792128,log_variance_MSE
ETH,1,log_variance,split_relative,2024,366,0.8596908519276288,0.9538314997153156,0.09869735672997204,-6.784702330134996,-7.227567921194017,log_variance_MSE
ETH,1,log_variance,split_relative,2025,353,0.7379362667348881,0.8818639568132671,0.16320849601165344,-6.90183462423467,-6.966455247024897,log_variance_MSE
ETH,1,persistence,boosted,all,1919,0.25478770519794486,0.24912965296060513,-0.022711275715679102,0.4514999041904285,0.46847316310578424,Brier
ETH,1,persistence,boosted,2020,303,0.267982680566077,0.24890853464339027,-0.07663114464923493,0.44895037807930227,0.46534653465346537,Brier
ETH,1,persistence,boosted,2021,337,0.2531465148710067,0.24864203822848804,-0.018116311604473356,0.45976188670712725,0.4629080118694362,Brier
ETH,1,persistence,boosted,2022,326,0.2492724634723443,0.2471546559814289,-0.008568754177443072,0.4494034703130889,0.4447852760736196,Brier
ETH,1,persistence,boosted,2023,310,0.2570777069535615,0.248808330633558,-0.033235930239741585,0.4453855153826296,0.4645161290322581,Brier
ETH,1,persistence,boosted,2024,326,0.25315728618734795,0.25233633818327744,-0.0032533879582345993,0.4451468600466609,0.5061349693251533,Brier
ETH,1,persistence,boosted,2025,317,0.24902930917079455,0.24890695443960964,-0.0004915681502768443,0.459822329013275,0.4668769716088328,Brier
ETH,1,persistence,constant,all,1919,0.24912965296060513,0.24912965296060513,0.0,0.45856422239435274,0.46847316310578424,Brier
ETH,1,persistence,constant,2020,303,0.24890853464339027,0.24890853464339027,0.0,0.45488721804511284,0.46534653465346537,Brier
ETH,1,persistence,constant,2021,337,0.24864203822848804,0.24864203822848804,0.0,0.4586826347305389,0.4629080118694362,Brier
ETH,1,persistence,constant,2022,326,0.2471546559814289,0.2471546559814289,0.0,0.4590443686006825,0.4447852760736196,Brier
ETH,1,persistence,constant,2023,310,0.248808330633558,0.248808330633558,0.0,0.4563042028018679,0.4645161290322581,Brier
ETH,1,persistence,constant,2024,326,0.25233633818327744,0.25233633818327744,0.0,0.45741150442477874,0.5061349693251533,Brier
ETH,1,persistence,constant,2025,317,0.24890695443960964,0.24890695443960964,0.0,0.4648547328959701,0.4668769716088328,Brier
ETH,1,persistence,core_label,all,1919,0.2497407334879641,0.24912965296060513,-0.0024528614723178244,0.4594744692886434,0.46847316310578424,Brier
ETH,1,persistence,core_label,2020,303,0.24783763162866407,0.24890853464339027,0.00430239572243063,0.4609555583013448,0.46534653465346537,Brier
ETH,1,persistence,core_label,2021,337,0.2487546731721706,0.24864203822848804,-0.00045300040365270355,0.4538626066114554,0.4629080118694362,Brier
ETH,1,persistence,core_label,2022,326,0.24939182423198253,0.2471546559814289,-0.009051693732695432,0.4535275825519049,0.4447852760736196,Brier
ETH,1,persistence,core_label,2023,310,0.24822710521801797,0.248808330633558,0.0023360367961153816,0.4677679355554959,0.4645161290322581,Brier
ETH,1,persistence,core_label,2024,326,0.25358351693342723,0.25233633818327744,-0.004942525357738647,0.45914949151552326,0.5061349693251533,Brier
ETH,1,persistence,core_label,2025,317,0.25049519395390324,0.24890695443960964,-0.006380856323879636,0.46236431483707685,0.4668769716088328,Brier
ETH,1,persistence,full_linear,all,1919,0.25078492372437095,0.24912965296060513,-0.006644214143498806,0.4504185990613588,0.46847316310578424,Brier
ETH,1,persistence,full_linear,2020,303,0.25334201336359186,0.24890853464339027,-0.017811678199598058,0.4485758368390749,0.46534653465346537,Brier
ETH,1,persistence,full_linear,2021,337,0.25087298578936124,0.24864203822848804,-0.008972527641617267,0.4344914778723382,0.4629080118694362,Brier
ETH,1,persistence,full_linear,2022,326,0.24993003235218086,0.2471546559814289,-0.0112293104887351,0.45298239787472044,0.4447852760736196,Brier
ETH,1,persistence,full_linear,2023,310,0.24940635654222212,0.248808330633558,-0.0024035606329633197,0.44578557766408267,0.4645161290322581,Brier
ETH,1,persistence,full_linear,2024,326,0.2518208176682731,0.25233633818327744,0.0020429896015607962,0.45706110874871464,0.5061349693251533,Brier
ETH,1,persistence,full_linear,2025,317,0.2494091316470911,0.24890695443960964,-0.0020175298380555873,0.46417499292878367,0.4668769716088328,Brier
ETH,1,persistence,priority_relative,all,1919,0.25094057933332875,0.24912965296060513,-0.007269011742291331,0.455332568066071,0.46847316310578424,Brier
ETH,1,persistence,priority_relative,2020,303,0.25735138558510207,0.24890853464339027,-0.0339194915666825,0.43989616415185384,0.46534653465346537,Brier
ETH,1,persistence,priority_relative,2021,337,0.2511636224250719,0.24864203822848804,-0.010141423447738385,0.4612292763977107,0.4629080118694362,Brier
ETH,1,persistence,priority_relative,2022,326,0.2479482952578611,0.2471546559814289,-0.0032111038866766695,0.4564851817465131,0.4447852760736196,Brier
ETH,1,persistence,priority_relative,2023,310,0.2489105623309785,0.248808330633558,-0.0004108853476094687,0.45387081788453504,0.4645161290322581,Brier
ETH,1,persistence,priority_relative,2024,326,0.2516812287795104,0.25233633818327744,0.002596175439826043,0.4547923844497367,0.5061349693251533,Brier
ETH,1,persistence,priority_relative,2025,317,0.24887653625342668,0.24890695443960964,0.00012220705625298756,0.4646181517683491,0.4668769716088328,Brier
ETH,1,persistence,simple_linear,all,1919,0.2503491637802349,0.24912965296060513,-0.0048950849693618625,0.4558581064370161,0.46847316310578424,Brier
ETH,1,persistence,simple_linear,2020,303,0.2532478383103104,0.24890853464339027,-0.017433326153870166,0.44928255727828614,0.46534653465346537,Brier
ETH,1,persistence,simple_linear,2021,337,0.2491067083947863,0.24864203822848804,-0.0018688318741630905,0.4478347721756272,0.4629080118694362,Brier
ETH,1,persistence,simple_linear,2022,326,0.25025994288912695,0.2471546559814289,-0.012564144888823625,0.4528294720005148,0.4447852760736196,Brier
ETH,1,persistence,simple_linear,2023,310,0.24827417429059584,0.248808330633558,0.0021468587550987905,0.46013177074841216,0.4645161290322581,Brier
ETH,1,persistence,simple_linear,2024,326,0.2516686007061727,0.25233633818327744,0.0026462200486548904,0.4601079141745274,0.5061349693251533,Brier
ETH,1,persistence,simple_linear,2025,317,0.24966337638817473,0.24890695443960964,-0.0030389747456760485,0.4652376540979658,0.4668769716088328,Brier
ETH,1,persistence,split_absolute,all,1919,0.2505650024741536,0.24912965296060513,-0.005761455918599223,0.4583312669674016,0.46847316310578424,Brier
