anchor_ordinal,anchor_timestamp,partition,return_trailing_24h,return_trailing_72h,return_trailing_168h,realized_volatility_trailing_24h,realized_volatility_trailing_168h,distance_from_mean_trailing_168h,range_position_trailing_168h,drawdown_from_high_trailing_168h
59,2019-04-08 00:00:00,1,0.042556557165236694,0.062313534993519347,0.24682153738962656,0.026093160763222802,0.14670853243844192,0.084312716160650281,0.97203523678409476,-0.0062530689329555189
60,2019-04-22 00:00:00,1,-0.0074743788145459674,0.0033987587024150367,0.026018316288707755,0.017260071631376883,0.048051644670130657,0.012576900637955912,0.85777874618688765,-0.0085625776563388323
61,2019-04-29 00:00:00,1,-0.0017323278450323729,0.011190197501755155,-0.022325427623822072,0.014647772551233089,0.072934919603442144,-0.027460819510295997,0.18583805834690084,-0.07757372606354529
62,2019-05-06 00:00:00,1,-0.014773014852425881,0.046475644156871498,0.090986569135928466,0.024330400990545498,0.067058167984701531,0.041538717336097042,0.7797807551766136,-0.026405498281786954
63,2019-05-13 00:00:00,1,-0.0078381694213974142,0.13817750997305894,0.21422049198465085,0.064056853258914276,0.11010737098710183,0.12378808542340747,0.73917489747885323,-0.067425835566248149
64,2019-05-20 00:00:00,1,0.084525738826330174,0.0048301096049743735,0.12266664192518879,0.071183781462109866,0.16423158283579151,0.028920991862203538,0.69476254185658104,-0.04841989649830436
65,2019-05-27 00:00:00,1,0.098416484525705283,0.12071811624711726,0.11327504138132787,0.070324634230714986,0.10410126073585209,0.11784401652734289,1,0
66,2019-06-03 00:00:00,1,0.012295151303159654,0.043814682033077042,-0.024138001564017957,0.024468795550396848,0.082040431160547822,0.0062533926974142062,0.66001743370769594,-0.030085577100439798
67,2019-06-10 00:00:00,1,-0.03686862129315447,-0.022961894015538942,-0.13105357384253433,0.027923342855148029,0.10804938563947115,-0.041081505767147641,0.13754851254751596,-0.12450029277810182
68,2019-06-17 00:00:00,1,0.039565893095143419,0.11083574677276094,0.18820929827676278,0.057555859149788322,0.089883530210879428,0.10567851093603031,0.91533712400611078,-0.01562022817941866
69,2019-07-01 00:00:00,1,-0.09497058839321898,-0.040689069274248583,0.033118175180507747,0.072716816885868132,0.22717306156123096,-0.056235287356069641,0.11965213603410166,-0.20428800106283052
70,2019-07-08 00:00:00,1,0.021045403720596552,0.023754090214937743,0.036339190196197836,0.034205781477261332,0.17422764373215974,0.025719180225609595,0.75200546554399783,-0.045766598031799166
71,2019-07-15 00:00:00,1,-0.12302242183415373,-0.13653392293100503,-0.13285685415106685,0.057455886034438505,0.14642952018534408,-0.14919584904619987,0,-0.23398129527574429
72,2019-07-22 00:00:00,1,-0.018902296111526419,-0.0074326863814670706,0.057618119932555771,0.032079839549093235,0.17610093515106331,0.028208156671877704,0.77452961369660622,-0.037684632913001281
73,2019-07-29 00:00:00,1,0.011303635849611695,-0.02056299406431316,-0.10703592256136488,0.016338667019756423,0.10970516735017863,-0.036630197684901056,0.10199448282596506,-0.10383831502562191
74,2019-08-05 00:00:00,1,0.03241600401603905,0.076668793015395545,0.16403132521214767,0.035870693603909168,0.068726830113826951,0.10389319312470313,1,0
75,2019-08-12 00:00:00,1,0.0084370062625416936,-0.041977411457337119,0.021622197150497093,0.019154377080498153,0.10769660532973153,-0.017935118484784018,0.24087913814607045,-0.063152932564377151
76,2019-08-19 00:00:00,1,0.01039983437248298,0.0026903453834752921,-0.10492089563821225,0.024659594385754071,0.097466393056272541,-0.020265546425076608,0.38887249270076801,-0.10097079432030032
77,2019-08-26 00:00:00,1,0.036519483231913057,0.037396286510930021,0.017681327602370289,0.04936420900680797,0.094622135922524192,0.01974947738744337,0.62910823542151695,-0.037637362637362615
78,2019-09-02 00:00:00,1,0.016167508620692692,0.035403621749306197,-0.071745320411566268,0.014085250158586252,0.06983857317366228,-0.0053454824712940718,0.34723393565289207,-0.069232086782757607
79,2019-09-09 00:00:00,1,-0.010543155493004819,-0.016504909744954239,0.06169210102261953,0.015599292871759108,0.072758521054035963,-0.0041524992374778469,0.5690008660457051,-0.044778586046665403
