scenario,level,period,observations,ce,annualized_mean,annualized_volatility,turnover,average_exposure,average_cash,cagr,maximum_drawdown,worst_21_session_return
cost25,2x_cashcap,2024,252,0.05984045437256948,0.07041693359371048,0.08397015033586241,4.6450864365698346,0.8211684615053263,0.17883153849467365,0.06918259542886607,-0.04964430862617142,-0.0366954598349325
cost25,3x,excluding_2020,1487,0.04513144986484516,0.08457800663719643,0.16216566996408596,32.206371983702596,1.1587460340553077,0.07896607838191007,,,
cost25,3x,2018,230,-0.13183199047502026,-0.09902409466730167,0.14789161753959915,6.613678073120742,1.0834218413960146,0.13415938154861998,-0.10413555648260153,-0.13200369688936375,-0.09923418357903413
cost25,3x,2019,252,0.09701120914418608,0.10766957351818918,0.08429458018956733,5.4261399224929505,1.2344602929600668,0.028304227095069766,0.10972827363040016,-0.0497738893005395,-0.03074868397844077
cost25,3x,2020,253,0.1534408332905854,0.18717979744656263,0.1499754738970726,4.302944159837361,1.3828607447121923,0.00015007665505812918,0.19228961700351932,-0.180411411622454,-0.11918159519428018
cost25,3x,2021,252,0.21970901415978905,0.2813418215805972,0.20270307910966412,3.5139249805976145,1.5068731780766214,0.0,0.2977282007652433,-0.09989693360150942,-0.09687253113072458
cost25,3x,2022,251,0.06248896109069084,0.1528790282715485,0.24547921457271782,4.7852727384541005,0.9489337382290418,0.21953533083119736,0.13048459153164838,-0.18155657097498878,-0.1682704133720042
cost25,3x,2023,250,-0.049473787015626484,-0.03236578240548106,0.10679576961080255,7.006672539256968,0.9377848503049968,0.0932769409214398,-0.037337537415566224,-0.0920867146041564,-0.06604541945934439
cost25,3x,2024,252,0.05649794925154966,0.08028164914011071,0.125919815460901,4.860683729780217,1.2318401331197433,0.004010445637974638,0.07504961477563343,-0.07513961917255385,-0.05676460030032715
cost25,4x,excluding_2020,1487,0.022881186973569057,0.09280240214246854,0.21590308808799608,40.06903860334651,1.5447249697469687,0.03678013943407421,,,
cost25,4x,2018,230,-0.20812633817952578,-0.1491964395304914,0.19820847383337642,8.135430807858608,1.4483085919076168,0.0771226649838798,-0.15539339434215838,-0.17507831377632854,-0.13262309717105836
cost25,4x,2019,252,0.10004048127204027,0.11897037440457625,0.11233845626064116,6.95075555100696,1.6438184078948863,0.004449092216883234,0.11926613616176684,-0.07221898654357894,-0.04317629264276379
cost25,4x,2020,253,0.16163370839552846,0.22187909548025828,0.2004085611689777,5.858751975615306,1.8407073286374283,0.0,0.2234753274224155,-0.23992215985214305,-0.1590591465790534
cost25,4x,2021,252,0.2409669210296822,0.3510534912842247,0.270907819813976,4.774870716286937,2.007676760253564,0.0,0.36887671875821115,-0.13392697759566174,-0.1305559321699702
cost25,4x,2022,251,0.03427951247024236,0.192438908857187,0.3247146402478589,6.091557113305466,1.2599021367464127,0.13877563009371088,0.14964623261163923,-0.2434597612621624,-0.22141956945611563
cost25,4x,2023,250,-0.09127122157962816,-0.06068678476134937,0.14279224259573486,7.624025371230336,1.2537786438118639,0.0,-0.06840789942862102,-0.13425777103828485,-0.08911874747120907
cost25,4x,2024,252,0.03990203445584789,0.08228519441059245,0.1680935452949628,6.4923990436582,1.6430086278780376,0.003968253968253968,0.07056232308601262,-0.10082363117173876,-0.07756776344413152
delay1,1.5x,excluding_2020,1487,0.053007277795525075,0.06287345146670502,0.0811014741796964,20.91573609193256,0.580118848597746,0.4198811514022541,,,
delay1,1.5x,2018,230,-0.0395585682282101,-0.03155896389153468,0.07302786836395822,4.062203815128387,0.5391548346354907,0.46084516536450937,-0.033640291023101954,-0.06724227289493645,-0.04990009971048781
delay1,1.5x,2019,252,0.07205665620566869,0.07462343783397396,0.041366505196880156,3.533544346561575,0.6167467371614935,0.3832532628385066,0.07654985540424786,-0.02467621172429002,-0.014049078546490512
delay1,1.5x,2020,253,0.09982400489844027,0.10821418296962082,0.07478938459068707,3.5112408288809784,0.6934498510091209,0.30655014899087935,0.11115682673489813,-0.08353529092858347,-0.05587302482919165
delay1,1.5x,2021,252,0.14185325746689517,0.15740351405224318,0.10181766901459358,2.4699125928612307,0.756679146235237,0.24332085376476312,0.16436911027622747,-0.053786628763377364,-0.052270694600266454
delay1,1.5x,2022,251,0.06534682639074345,0.08816066148014381,0.12332568018435405,3.205468128075002,0.4791713599947687,0.5208286400052313,0.08387902770767819,-0.09088041724640827,-0.08891442850611908
delay1,1.5x,2023,250,0.004175548361168347,0.0083523340031326,0.0527685868799753,3.870982712765355,0.4672096902122796,0.5327903097877204,0.0069897448038576115,-0.03880759584179372,-0.034525906843813736
delay1,1.5x,2024,252,0.06567906106587558,0.07168326435879913,0.0632677026237113,3.773624496541009,0.6168784102021921,0.3831215897978078,0.07216436263471726,-0.03549562151842589,-0.02533179347318748
