ticker,first_event,last_event,adds,removes,root_price_in_inventory,manifest_present,actual_start,actual_end,auto_adjust,coverage_status,identity_status,sample_rows_through_cutoff,other_inventory_matches
TSS,2019-09-23,2019-09-23,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
TT,2020-03-03,2020-03-03,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
TWTR,2022-11-01,2022-11-01,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
TYL,2020-06-22,2020-06-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
UA,2022-06-21,2022-06-21,0,1,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
UAA,2022-06-21,2022-06-21,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
UBER,2023-12-18,2023-12-18,1,0,True,True,2019-05-10,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
UNM,2021-09-20,2021-09-20,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
UTX,2020-04-03,2020-04-03,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
VAR,2021-04-20,2021-04-20,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
VFC,2024-04-01,2024-04-01,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
VIAB,2019-12-05,2019-12-05,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
VIAC,2019-12-05,2022-02-17,1,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
VICI,2022-06-08,2022-06-08,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
VLTO,2023-10-02,2023-10-02,1,0,True,True,2023-10-04,2026-08-27,False,STARTS_AFTER_EVENT,UNVERIFIED,,
VNO,2023-01-04,2023-01-04,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
VNT,2020-10-12,2021-03-22,1,1,True,True,2020-09-24,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
VST,2024-05-08,2024-05-08,1,0,True,True,2019-01-02,2026-08-28,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
VTRS,2020-11-17,2020-11-17,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WAB,2019-02-27,2019-02-27,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WBD,2022-04-11,2022-04-11,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WCG,2020-01-28,2020-01-28,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
WDAY,2024-12-23,2024-12-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WHR,2024-03-18,2024-03-18,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WLTW,2022-01-10,2022-01-10,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
WRB,2019-12-05,2019-12-05,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WRK,2024-07-08,2024-07-08,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
WST,2020-05-22,2020-05-22,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WTW,2022-01-10,2022-01-10,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
WU,2021-12-20,2021-12-20,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
XEC,2020-03-03,2020-03-03,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
XLNX,2022-02-15,2022-02-15,0,1,False,False,,,,NO_MATCHING_MANIFEST,UNVERIFIED,,
XRAY,2024-04-02,2024-04-02,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
XRX,2021-03-22,2021-03-22,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ZBRA,2019-12-23,2019-12-23,1,0,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
ZION,2024-03-18,2024-03-18,0,1,True,True,2019-01-02,2026-08-27,False,RANGE_OVERLAPS_EVENTS_ONLY,UNVERIFIED,,
