descriptor,candidate_value,horizon_hours,episode_support,unavailable_episode_count,family_support,mixed_family_count,unavailable_homogeneous_family_count,supported_fold_count,episode_mean_forward_return,episode_median_forward_return,family_mean_forward_return,family_median_forward_return,episode_positive_return_rate,family_positive_return_rate,family_mean_maximum_favorable_excursion,family_mean_maximum_adverse_excursion,family_mean_realized_volatility,training_test_direction_agreement_count,aggregate_direction_agreement_count,episode_family_median_sign_agreement,episode_family_median_absolute_divergence,evidence_state
collapse_severity,MAJOR_COLLAPSE,72,10,0,0,5,0,0,0.026703082404544609,0.032925269120319456,0,0,0.69999999999999996,0,0,0,0,0,0,False,0.032925269120319456,INSUFFICIENT_SUPPORT
feature_displacement,BROAD_SHIFT,72,6,0,0,3,0,0,0.057436342018148699,0.063322348150967489,0,0,0.83333333333333337,0,0,0,0,0,0,False,0.063322348150967489,INSUFFICIENT_SUPPORT
feature_displacement,CONCENTRATED_SHIFT,72,5,0,0,3,0,0,0.013509399952803402,0.0028727564447288412,0,0,0.59999999999999998,0,0,0,0,0,0,False,0.0028727564447288412,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,72,1,0,0,6,0,0,0.02640308220478027,0.02640308220478027,0,0,1,0,0,0,0,0,0,False,0.02640308220478027,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,72,9,0,0,6,0,0,0.026736415760073979,0.039447456035858641,0,0,0.66666666666666663,0,0,0,0,0,0,False,0.039447456035858641,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,72,2,0,0,6,0,0,0.12939892554218513,0.12939892554218513,0,0,1,0,0,0,0,0,0,False,0.12939892554218513,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,72,1,0,0,6,0,0,-0.080019123567388273,-0.080019123567388273,0,0,0,0,0,0,0,0,0,False,0.080019123567388273,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,72,1,0,0,6,0,0,0.050711666038455006,0.050711666038455006,0,0,1,0,0,0,0,0,0,False,0.050711666038455006,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,72,4,0,0,6,0,0,0.021455050256130481,0.040543125083173037,0,0,0.75,0,0,0,0,0,0,False,0.040543125083173037,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,72,1,0,0,6,0,0,-0.0041925458770407653,-0.0041925458770407653,0,0,0,0,0,0,0,0,0,False,0.0041925458770407653,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,72,2,0,0,6,0,0,0.06267779350183289,0.06267779350183289,0,0,1,0,0,0,0,0,0,False,0.06267779350183289,INSUFFICIENT_SUPPORT
volatility_state,VOLATILITY_EXPANSION,72,8,0,0,2,0,0,0.048892146533788303,0.048137277326488981,0,0,0.75,0,0,0,0,0,0,False,0.048137277326488981,INSUFFICIENT_SUPPORT
collapse_severity,MAJOR_COLLAPSE,168,10,0,0,5,0,0,0.023441835288955826,0.043407084366359872,0,0,0.69999999999999996,0,0,0,0,0,0,False,0.043407084366359872,INSUFFICIENT_SUPPORT
feature_displacement,BROAD_SHIFT,168,6,0,0,3,0,0,0.070220082204346626,0.055547062211438902,0,0,0.66666666666666663,0,0,0,0,0,0,False,0.055547062211438902,INSUFFICIENT_SUPPORT
feature_displacement,CONCENTRATED_SHIFT,168,5,0,0,3,0,0,-0.0065306638986339701,-0.00068582986111598299,0,0,0.40000000000000002,0,0,0,0,0,0,False,0.00068582986111598299,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,168,1,0,0,6,0,0,0.044808284042920477,0.044808284042920477,0,0,1,0,0,0,0,0,0,False,0.044808284042920477,INSUFFICIENT_SUPPORT
intrinsic_subtype,MAJOR_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_NEUTRAL,168,9,0,0,6,0,0,0.021067785427404197,0.042005884689799267,0,0,0.66666666666666663,0,0,0,0,0,0,False,0.042005884689799267,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,168,2,0,0,6,0,0,0.01301836715438448,0.01301836715438448,0,0,0.5,0,0,0,0,0,0,False,0.01301836715438448,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,168,1,0,0,6,0,0,-0.04669695331180479,-0.04669695331180479,0,0,0,0,0,0,0,0,0,False,0.04669695331180479,INSUFFICIENT_SUPPORT
intrinsic_subtype,MODERATE_COLLAPSE__LOW_DISPLACEMENT_COLLAPSE__VOLATILITY_EXPANSION,168,1,0,0,6,0,0,0.18315866516346091,0.18315866516346091,0,0,1,0,0,0,0,0,0,False,0.18315866516346091,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__BROAD_SHIFT__VOLATILITY_EXPANSION,168,4,0,0,6,0,0,0.098820939729327706,0.10895113633708764,0,0,0.75,0,0,0,0,0,0,False,0.10895113633708764,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_EXPANSION,168,1,0,0,6,0,0,-0.055648173225515074,-0.055648173225515074,0,0,0,0,0,0,0,0,0,False,0.055648173225515074,INSUFFICIENT_SUPPORT
intrinsic_subtype,SEVERE_COLLAPSE__CONCENTRATED_SHIFT__VOLATILITY_NEUTRAL,168,2,0,0,6,0,0,0.012441761500614767,0.012441761500614767,0,0,0.5,0,0,0,0,0,0,False,0.012441761500614767,INSUFFICIENT_SUPPORT
volatility_state,VOLATILITY_EXPANSION,168,8,0,0,2,0,0,0.068603873145503202,0.055547062211438902,0,0,0.625,0,0,0,0,0,0,False,0.055547062211438902,INSUFFICIENT_SUPPORT
