scope,asset,variant,rows,mse,residual_correlation
2021,EFA,mean,51,0.00021106961485952366,
2021,EFA,raw_ridge100,51,0.00021002514602858766,0.2734869356986825
2021,EFA,cal_ridge100,51,0.00021002514602858766,0.2734869356986825
2021,EFA,static_ridge100,51,0.00021106597926539084,
2021,EFA,raw_gbm2,51,0.00021344069785591072,0.02714674960774137
2021,EFA,cal_gbm2,51,0.00021344069785591072,0.02714674960774137
2021,EFA,static_gbm2,51,0.00021323517620678746,
2021,EEM,mean,51,0.0005185557951254921,
2021,EEM,raw_ridge100,51,0.0005114481591780378,0.08312237314673855
2021,EEM,cal_ridge100,51,0.0005114481591780378,0.08312237314673855
2021,EEM,static_ridge100,51,0.0005186154418520383,
2021,EEM,raw_gbm2,51,0.0005070698656769044,0.1718526283066811
2021,EEM,cal_gbm2,51,0.0005070698656769044,0.1718526283066811
2021,EEM,static_gbm2,51,0.000515324137857021,
2021,IEF,mean,51,5.056638945050457e-05,
2021,IEF,raw_ridge100,51,4.951251483396992e-05,0.1522396356827029
2021,IEF,cal_ridge100,51,4.951251483396992e-05,0.1522396356827029
2021,IEF,static_ridge100,51,5.0486702632072944e-05,
2021,IEF,raw_gbm2,51,4.903252718805203e-05,-0.14770336799839695
2021,IEF,cal_gbm2,51,4.903252718805203e-05,-0.14770336799839695
2021,IEF,static_gbm2,51,4.891126560860664e-05,
2021,TLT,mean,51,0.0003026722126950132,
2021,TLT,raw_ridge100,51,0.0003004839028425333,0.19048161809923375
2021,TLT,cal_ridge100,51,0.0003004839028425333,0.19048161809923375
2021,TLT,static_ridge100,51,0.00030264123836042046,
2021,TLT,raw_gbm2,51,0.00029220889226044014,0.166644649710896
2021,TLT,cal_gbm2,51,0.00029220889226044014,0.166644649710896
2021,TLT,static_gbm2,51,0.0002984596878923261,
2022,pooled,mean,400,0.0010015320003762536,
2022,pooled,raw_ridge100,400,0.0010267459436522346,0.13940685279851084
2022,pooled,cal_ridge100,400,0.0010267459436522346,0.13940685279851084
2022,pooled,static_ridge100,400,0.0010015502604997085,-0.028910796840781374
2022,pooled,raw_gbm2,400,0.001016555574758698,0.1171487082948771
2022,pooled,cal_gbm2,400,0.001016555574758698,0.1171487082948771
2022,pooled,static_gbm2,400,0.0009921298096502405,0.03914421216169613
2022,SPY,mean,50,0.0011398611197254195,
2022,SPY,raw_ridge100,50,0.0011690459719362412,0.258687524424264
2022,SPY,cal_ridge100,50,0.0011690459719362412,0.258687524424264
2022,SPY,static_ridge100,50,0.0011398495479296624,
2022,SPY,raw_gbm2,50,0.0011474978728983876,0.12009048947564646
2022,SPY,cal_gbm2,50,0.0011474978728983876,0.12009048947564646
2022,SPY,static_gbm2,50,0.0011296270716669807,
2022,QQQ,mean,50,0.001946154220376305,
2022,QQQ,raw_ridge100,50,0.0020450604763912615,0.3093163277358314
2022,QQQ,cal_ridge100,50,0.0020450604763912615,0.3093163277358314
2022,QQQ,static_ridge100,50,0.0019462909943550905,
2022,QQQ,raw_gbm2,50,0.001993925509891333,0.09757420942810231
2022,QQQ,cal_gbm2,50,0.001993925509891333,0.09757420942810231
2022,QQQ,static_gbm2,50,0.0019224053633499446,
2022,GLD,mean,50,0.0004219748802102569,
2022,GLD,raw_ridge100,50,0.0004220221802043547,0.04510884993611674
2022,GLD,cal_ridge100,50,0.0004220221802043547,0.04510884993611674
2022,GLD,static_ridge100,50,0.0004219730625743602,
2022,GLD,raw_gbm2,50,0.0004199419272194652,0.06841436957074869
2022,GLD,cal_gbm2,50,0.0004199419272194652,0.06841436957074869
2022,GLD,static_gbm2,50,0.00042231826258089716,
2022,IWM,mean,50,0.001598307835411355,
2022,IWM,raw_ridge100,50,0.0016025653846512744,0.3695623856080349
2022,IWM,cal_ridge100,50,0.0016025653846512744,0.3695623856080349
2022,IWM,static_ridge100,50,0.0015984143234245968,
2022,IWM,raw_gbm2,50,0.001654422481600659,0.045570174143400796
2022,IWM,cal_gbm2,50,0.001654422481600659,0.045570174143400796
2022,IWM,static_gbm2,50,0.0015862655430588701,
2022,EFA,mean,50,0.0010733541306225112,
2022,EFA,raw_ridge100,50,0.0010684263630446162,0.2787645525330596
2022,EFA,cal_ridge100,50,0.0010684263630446162,0.2787645525330596
2022,EFA,static_ridge100,50,0.001073361856914855,
2022,EFA,raw_gbm2,50,0.0010498255428662768,0.21484430826325776
