anchor_ordinal,timestamp,bar_index,current_regime,trailing_log_return_24h,trailing_log_return_72h,trailing_log_return_168h,realized_volatility_24h,realized_volatility_168h,distance_from_close_mean_168h,log1p_current_state_age_hours,log1p_previous_state_duration_hours,log1p_hours_since_previous_transition,transition_count_trailing_24h,transition_count_trailing_72h,transition_count_trailing_168h,outcome_R_24h,outcome_R_72h,outcome_R_168h,outcome_M_24h,outcome_M_72h,outcome_M_168h,outcome_V_24h,outcome_V_72h,outcome_V_168h,outcome_S_24h,outcome_S_72h,outcome_S_168h,partition
327,2024-07-15 00:00:00,57257,VOL_COMPRESSION,0.024392922753413319,0.068560556017760774,0.10584964042716703,0.028598377456481795,0.07613993673878619,2.6675290606146493,4.9558270576012609,0.69314718055994529,4.9558270576012609,0,0,10,0.054205648943876555,0.05100305786079181,0.10776440141047458,0.054205648943876555,0.05100305786079181,0.10776440141047458,0.028015171941735164,0.045620951378156062,0.061026926443455171,1,0,0,3
328,2024-07-22 00:00:00,57425,VOL_COMPRESSION,0.016426951445705811,0.07006218772085801,0.10776440141047458,0.022356990167410756,0.061026926443455171,1.9685528181430256,4.8520302639196169,0.69314718055994529,4.8520302639196169,0,0,2,-0.010423566346880908,-0.040603514569768275,0.0075572643508387541,0.010423566346880908,0.040603514569768275,0.0075572643508387541,0.021983963410728346,0.042159318368911639,0.062703299716572958,1,1,1,3
329,2024-07-29 00:00:00,57593,VOL_COMPRESSION,0.011236604323468416,0.034799321179060656,0.0075572643508387541,0.015673624137677797,0.062703299716572958,1.4619507905274833,5.6903594543240601,0.69314718055994529,5.6903594543240601,0,0,0,-0.031500969551588674,-0.061647161552007841,-0.2022291647326778,0.031500969551588674,0.061647161552007841,0.2022291647326778,0.031098415694061157,0.0448644030391466,0.089638706422281875,1,1,0,3
330,2024-08-05 00:00:00,57761,TREND_DOWN,-0.078301662751866757,-0.14416581532140516,-0.2022291647326778,0.051507709653301682,0.089638706422281875,-2.7275444982961097,1.9459101490553132,3.6375861597263857,1.9459101490553132,1,5,5,-0.0016500230140390538,-0.014890929814801295,0.040380562841228193,0.0016500230140390538,0.014890929814801295,0.040380562841228193,0.10158538058814523,0.11133400304660893,0.13086553657191954,0,0,0,3
331,2024-08-12 00:00:00,57929,VOL_COMPRESSION,-0.044308113784608714,-0.046344195664446315,0.040380562841228193,0.026364421804472855,0.13086553657191954,0.16523838893884257,3.8712010109078911,0.69314718055994529,3.8712010109078911,0,5,23,0.022728172270479272,0.0092643053218692002,-0.001635730434669485,0.022728172270479272,0.0092643053218692002,0.001635730434669485,0.054337873799613044,0.070491662764826588,0.088987315509538784,0,0,0,3
332,2024-08-19 00:00:00,58097,VOL_COMPRESSION,-0.02231178999114283,0.01534944888370768,-0.001635730434669485,0.025676484904596997,0.088987315509538784,-0.99819612116292467,4.2484952420493594,0.69314718055994529,4.2484952420493594,0,2,10,0.03617122825546476,0.041429893275872487,0.094261441105092325,0.03617122825546476,0.041429893275872487,0.094261441105092325,0.025054589929885952,0.047079454753569568,0.062313368843987575,1,1,1,3
333,2024-08-26 00:00:00,58265,VOL_COMPRESSION,-0.0013370308846562,0.05430396778255988,0.094261441105092325,0.0074274664561167544,0.062313368843987575,1.3338554939841061,5.472270673671475,0.69314718055994529,5.472270673671475,0,0,0,-0.022160768102888632,-0.079610652252304598,-0.10959366418980744,0.022160768102888632,0.079610652252304598,0.10959366418980744,0.013553732819347386,0.049383069130670004,0.070828062558569341,1,0,0,3
334,2024-09-02 00:00:00,58433,VOL_COMPRESSION,-0.024941935425063889,-0.029553516451285629,-0.10959366418980744,0.025734412878249392,0.070828062558569341,-1.415860499311228,4.5849674786705723,2.0794415416798357,4.5849674786705723,0,0,4,0.030748653959632655,0.0091231731269458532,-0.043036425450212981,0.030748653959632655,0.0091231731269458532,0.043036425450212981,0.020430503794400839,0.04254825488803593,0.070513990653287478,1,1,0,3
335,2024-09-09 00:00:00,58601,VOL_COMPRESSION,0.016741453135394137,-0.019886684104976817,-0.043036425450212981,0.019488952133260105,0.070513990653287478,-0.73076607638108904,3.8712010109078911,2.4849066497880004,3.8712010109078911,0,2,2,0.034568631684536319,0.045749001994483056,0.063508909222447965,0.034568631684536319,0.045749001994483056,0.063508909222447965,0.032173864807090641,0.05164586334822175,0.064338892997885477,1,1,1,3
336,2024-09-16 00:00:00,58769,VOL_COMPRESSION,-0.023339758359073266,0.010823751506971555,0.063508909222447965,0.013842734487180356,0.064338892997885477,0.36112456305451196,5.3752784076841653,2.4849066497880004,5.3752784076841653,0,0,0,-0.01773526696282058,0.05931161832550659,0.080369485652678568,0.01773526696282058,0.05931161832550659,0.080369485652678568,0.025449306957286744,0.051765464475263388,0.061699102465763149,1,1,1,3
337,2024-09-23 00:00:00,58937,VOL_COMPRESSION,0.0051625581941277237,0.012716113813811391,0.080369485652678568,0.02158451630530563,0.061699102465763149,1.0815652670388471,5.9506425525877269,2.4849066497880004,5.9506425525877269,0,0,0,-0.010601160274495348,-0.01013338416620907,0.029477842874714378,0.010601160274495348,0.01013338416620907,0.029477842874714378,0.016463983477433129,0.029996218958388096,0.042220305254442717,1,1,1,3
