year,asset,model,rows,dates,mse,mae,correlation
2018,IEF,mlp16,52,52,3.4338749697148974e-05,0.004733967090405044,-0.22925559165335527
2018,IEF,mlp32,52,52,3.1745074892164324e-05,0.004541998988761661,-0.04153301901777182
2018,IEF,sequence16,52,52,4.355740995147305e-05,0.005344350986331968,-0.23023581981504931
2018,IEF,sequence32,52,52,4.3215172549271765e-05,0.005384189546580927,-0.18827098590704835
2018,IEF,selected,52,52,3.023866442646122e-05,0.0045242050873480705,0.015485973102071185
2018,IEF,zero,52,52,3.0147777202963887e-05,0.0045074872663968535,
2018,IEF,past_mean,52,52,3.0125522670529795e-05,0.00450155483850753,
2018,TLT,ridge1,52,52,0.00014813264032125835,0.009035580032789137,0.38342477356143506
2018,TLT,ridge100,52,52,0.0001484966267737316,0.009044934801215572,0.3811880252919794
2018,TLT,gbm2,52,52,0.0001567411984530541,0.00939741992428121,0.03529414211228875
2018,TLT,gbm3,52,52,0.00016409849132983784,0.009587395391944966,-0.13701911463087585
2018,TLT,mlp16,52,52,0.00017065833869750731,0.009797581426866984,-0.10924762923558555
2018,TLT,mlp32,52,52,0.00018628796506011335,0.010344588266163125,-0.26691947816509515
2018,TLT,sequence16,52,52,0.0001653832451771925,0.009503968238905161,0.02675688342397639
2018,TLT,sequence32,52,52,0.0001751023431319819,0.010129388603314983,-0.11507959276505988
2018,TLT,selected,52,52,0.0001567411984530541,0.00939741992428121,0.03529414211228875
2018,TLT,zero,52,52,0.00015664248569459646,0.009300212744909959,
2018,TLT,past_mean,52,52,0.00015801298017143912,0.009236394415437027,1.5459821766510318e-16
2019,pooled,ridge1,416,52,0.00029960036684078883,0.013116053044197698,0.12374054231113961
2019,pooled,ridge100,416,52,0.0002995477739987843,0.01311028228275421,0.12487957884786728
2019,pooled,gbm2,416,52,0.00030522827773238375,0.013198209820769965,0.03735811906931613
2019,pooled,gbm3,416,52,0.0003089038992379881,0.013234656762794523,0.021828128320349756
2019,pooled,mlp16,416,52,0.0003058539323027509,0.013224876130467125,0.05218196466639413
2019,pooled,mlp32,416,52,0.0003029896925162914,0.013152789350497083,0.06809526001047997
2019,pooled,sequence16,416,52,0.00032905687806000935,0.013874477023634063,-0.1001156924195618
2019,pooled,sequence32,416,52,0.00032618369282929764,0.013592993194615889,-0.08428018904067644
2019,pooled,selected,416,52,0.00032618369282929764,0.013592993194615889,-0.08428018904067644
2019,pooled,zero,416,52,0.00030814841006202796,0.013285179323542203,
2019,pooled,past_mean,416,52,0.00030157956738918116,0.013071090821018703,0.05022428234866427
2019,SPY,ridge1,52,52,0.00025013777306356487,0.01219171620937608,0.29446381358486995
2019,SPY,ridge100,52,52,0.0002502278720754033,0.012185482148377854,0.29938987110664605
