policy,scenario,year,days,total_return
ridge_vol20_band2,base,2020,366,0.71392627013906829
ridge_vol20_band2,base,2021,365,0.3712852958491959
ridge_vol20_band2,base,2022,365,-0.15681087413876882
ridge_vol20_band2,base,2023,365,0.30722952036096651
ridge_vol20_band2,base,2024,366,0.32566103240892108
boosted_vol20_band2,base,2020,366,0.7427420529220583
boosted_vol20_band2,base,2021,365,0.3726239434151688
boosted_vol20_band2,base,2022,365,-0.2504336282149715
boosted_vol20_band2,base,2023,365,0.3685340518527549
boosted_vol20_band2,base,2024,366,0.32210843848516202
trend_vol40_exact,base,2020,366,1.4182891514289109
trend_vol40_exact,base,2021,365,0.81470946714939285
trend_vol40_exact,base,2022,365,-0.24549347411052747
trend_vol40_exact,base,2023,365,0.3514578971380331
trend_vol40_exact,base,2024,366,0.55779712196344367
allocation_vol40_exact,base,2020,366,1.9608898017543615
allocation_vol40_exact,base,2021,365,0.84964851840768785
allocation_vol40_exact,base,2022,365,-0.47565181694138403
allocation_vol40_exact,base,2023,365,1.0179407356860914
allocation_vol40_exact,base,2024,366,0.67622293918608301
fixed_blend_vol40_exact,base,2020,366,1.6826112965506446
fixed_blend_vol40_exact,base,2021,365,0.83284582921694006
fixed_blend_vol40_exact,base,2022,365,-0.36058793225751673
fixed_blend_vol40_exact,base,2023,365,0.65854249626848382
fixed_blend_vol40_exact,base,2024,366,0.61915904354805873
state_rule_vol40_exact,base,2020,366,1.4530949423333466
state_rule_vol40_exact,base,2021,365,0.84333670059556454
state_rule_vol40_exact,base,2022,365,-0.24541417129959586
state_rule_vol40_exact,base,2023,365,0.43973578060921481
state_rule_vol40_exact,base,2024,366,0.56206782991854198
constant_vol40_exact,base,2020,366,1.4182891514289109
constant_vol40_exact,base,2021,365,0.81470946714939285
constant_vol40_exact,base,2022,365,-0.24549347411052747
constant_vol40_exact,base,2023,365,0.3514578971380331
constant_vol40_exact,base,2024,366,0.55779712196344367
ridge_vol40_exact,base,2020,366,1.4127242192775511
ridge_vol40_exact,base,2021,365,0.83759751816001482
ridge_vol40_exact,base,2022,365,-0.52056683782731095
ridge_vol40_exact,base,2023,365,0.36783450411043472
ridge_vol40_exact,base,2024,366,0.56518501323154546
boosted_vol40_exact,base,2020,366,1.5659492143792835
boosted_vol40_exact,base,2021,365,0.81470946714939263
boosted_vol40_exact,base,2022,365,-0.42430045242613501
boosted_vol40_exact,base,2023,365,0.57782297170299146
boosted_vol40_exact,base,2024,366,0.67622293918607501
trend_vol40_band2,base,2020,366,1.4268814250229975
trend_vol40_band2,base,2021,365,0.80408416715111519
trend_vol40_band2,base,2022,365,-0.24697139065570117
trend_vol40_band2,base,2023,365,0.35702224644266733
trend_vol40_band2,base,2024,366,0.55675431135743336
allocation_vol40_band2,base,2020,366,1.971553905396819
allocation_vol40_band2,base,2021,365,0.84451436060308893
allocation_vol40_band2,base,2022,365,-0.47165839671072618
allocation_vol40_band2,base,2023,365,1.0211512542413996
allocation_vol40_band2,base,2024,366,0.67244678709152894
fixed_blend_vol40_band2,base,2020,366,1.6912739610814409
fixed_blend_vol40_band2,base,2021,365,0.82659559643205305
fixed_blend_vol40_band2,base,2022,365,-0.35498357642358702
fixed_blend_vol40_band2,base,2023,365,0.66145238484017033
fixed_blend_vol40_band2,base,2024,366,0.61668930950178824
state_rule_vol40_band2,base,2020,366,1.4647234470867661
state_rule_vol40_band2,base,2021,365,0.83324388096115864
state_rule_vol40_band2,base,2022,365,-0.24690515162121029
state_rule_vol40_band2,base,2023,365,0.44501935796416436
state_rule_vol40_band2,base,2024,366,0.56056676382897863
constant_vol40_band2,base,2020,366,1.4268814250229975
constant_vol40_band2,base,2021,365,0.80408416715111519
constant_vol40_band2,base,2022,365,-0.24697139065570117
constant_vol40_band2,base,2023,365,0.35702224644266733
constant_vol40_band2,base,2024,366,0.55675431135743336
ridge_vol40_band2,base,2020,366,1.4226377051396883
ridge_vol40_band2,base,2021,365,0.82936348633408308
ridge_vol40_band2,base,2022,365,-0.51985328748323278
ridge_vol40_band2,base,2023,365,0.37427878790462055
ridge_vol40_band2,base,2024,366,0.56486749294345073
boosted_vol40_band2,base,2020,366,1.5804946451464073
boosted_vol40_band2,base,2021,365,0.80408416715111297
boosted_vol40_band2,base,2022,365,-0.42254373664665379
boosted_vol40_band2,base,2023,365,0.57990753820570196
boosted_vol40_band2,base,2024,366,0.67244678709152983
btc_buy_hold,base,2020,366,3.0335611620784784
btc_buy_hold,base,2021,365,0.59403630483255099
btc_buy_hold,base,2022,365,-0.64228724440201068
btc_buy_hold,base,2023,365,1.5582071764965626
btc_buy_hold,base,2024,366,1.183662194482324
eth_buy_hold,base,2020,366,4.721671146510646
eth_buy_hold,base,2021,365,3.9829869724944738
eth_buy_hold,base,2022,365,-0.6748326894825607
eth_buy_hold,base,2023,365,0.9084459318134277
eth_buy_hold,base,2024,366,0.46658089405410141
mix_buy_hold,base,2020,366,3.8776161542945475
mix_buy_hold,base,2021,365,2.5817348689186823
mix_buy_hold,base,2022,365,-0.66884380385368258
mix_buy_hold,base,2023,365,1.0376009097862413
mix_buy_hold,base,2024,366,0.64553527307556169
usd_cash,base,2020,366,0
usd_cash,base,2021,365,0
usd_cash,base,2022,365,0
usd_cash,base,2023,365,0
usd_cash,base,2024,366,0
trend_vol20_exact,cost_stress,2020,366,0.64943723837788547
trend_vol20_exact,cost_stress,2021,365,0.34982261342696352
trend_vol20_exact,cost_stress,2022,365,-0.17787422053836022
trend_vol20_exact,cost_stress,2023,365,0.21549849182587288
trend_vol20_exact,cost_stress,2024,366,0.2702114610590074
allocation_vol20_exact,cost_stress,2020,366,0.74493953961133852
allocation_vol20_exact,cost_stress,2021,365,0.37178502205232267
allocation_vol20_exact,cost_stress,2022,365,-0.26916090795635084
allocation_vol20_exact,cost_stress,2023,365,0.45960571871272404
allocation_vol20_exact,cost_stress,2024,366,0.3028788297206535
fixed_blend_vol20_exact,cost_stress,2020,366,0.70066337423490554
fixed_blend_vol20_exact,cost_stress,2021,365,0.36150008376843834
fixed_blend_vol20_exact,cost_stress,2022,365,-0.22173236015561004
fixed_blend_vol20_exact,cost_stress,2023,365,0.33608169335407556
fixed_blend_vol20_exact,cost_stress,2024,366,0.28821469745730233
state_rule_vol20_exact,cost_stress,2020,366,0.6679336955822317
state_rule_vol20_exact,cost_stress,2021,365,0.36624516775201021
state_rule_vol20_exact,cost_stress,2022,365,-0.17744152871858154
state_rule_vol20_exact,cost_stress,2023,365,0.28179186470805062
state_rule_vol20_exact,cost_stress,2024,366,0.28549160252783179
constant_vol20_exact,cost_stress,2020,366,0.64943723837788547
constant_vol20_exact,cost_stress,2021,365,0.34982261342696352
constant_vol20_exact,cost_stress,2022,365,-0.17787422053836022
constant_vol20_exact,cost_stress,2023,365,0.21549849182587288
constant_vol20_exact,cost_stress,2024,366,0.2702114610590074
ridge_vol20_exact,cost_stress,2020,366,0.66801313019474784
ridge_vol20_exact,cost_stress,2021,365,0.35202746040547339
ridge_vol20_exact,cost_stress,2022,365,-0.17787422053835988
ridge_vol20_exact,cost_stress,2023,365,0.24319870768173901
ridge_vol20_exact,cost_stress,2024,366,0.28365970078656222
boosted_vol20_exact,cost_stress,2020,366,0.70421048855553803
boosted_vol20_exact,cost_stress,2021,365,0.34982261342695731
boosted_vol20_exact,cost_stress,2022,365,-0.26744289633181528
boosted_vol20_exact,cost_stress,2023,365,0.32055289668656317
boosted_vol20_exact,cost_stress,2024,366,0.28922924110514825
trend_vol20_band2,cost_stress,2020,366,0.65280141724566243
trend_vol20_band2,cost_stress,2021,365,0.35156684865693366
trend_vol20_band2,cost_stress,2022,365,-0.17826631782108304
trend_vol20_band2,cost_stress,2023,365,0.21870369310062698
trend_vol20_band2,cost_stress,2024,366,0.28325148574731918
allocation_vol20_band2,cost_stress,2020,366,0.74189427677231157
allocation_vol20_band2,cost_stress,2021,365,0.37118889999641769
allocation_vol20_band2,cost_stress,2022,365,-0.26464073485766215
allocation_vol20_band2,cost_stress,2023,365,0.45815131687485344
allocation_vol20_band2,cost_stress,2024,366,0.31339631317761807
fixed_blend_vol20_band2,cost_stress,2020,366,0.70743682692552357
fixed_blend_vol20_band2,cost_stress,2021,365,0.36365211345269244
fixed_blend_vol20_band2,cost_stress,2022,365,-0.21857379366382323
fixed_blend_vol20_band2,cost_stress,2023,365,0.33840671770068975
fixed_blend_vol20_band2,cost_stress,2024,366,0.30124644807243639
state_rule_vol20_band2,cost_stress,2020,366,0.6715893295302342
state_rule_vol20_band2,cost_stress,2021,365,0.37235340340778711
state_rule_vol20_band2,cost_stress,2022,365,-0.17782173157215542
state_rule_vol20_band2,cost_stress,2023,365,0.28343061243356038
state_rule_vol20_band2,cost_stress,2024,366,0.29637854607406111
constant_vol20_band2,cost_stress,2020,366,0.65280141724566243
constant_vol20_band2,cost_stress,2021,365,0.35156684865693366
constant_vol20_band2,cost_stress,2022,365,-0.17826631782108304
constant_vol20_band2,cost_stress,2023,365,0.21870369310062698
constant_vol20_band2,cost_stress,2024,366,0.28325148574731918
ridge_vol20_band2,cost_stress,2020,366,0.66900973075079917
ridge_vol20_band2,cost_stress,2021,365,0.35171673112822344
ridge_vol20_band2,cost_stress,2022,365,-0.17826631782108382
ridge_vol20_band2,cost_stress,2023,365,0.2463177090341131
ridge_vol20_band2,cost_stress,2024,366,0.2966342844676515
boosted_vol20_band2,cost_stress,2020,366,0.70272712084988154
boosted_vol20_band2,cost_stress,2021,365,0.35156684865693055
boosted_vol20_band2,cost_stress,2022,365,-0.26448693699348014
boosted_vol20_band2,cost_stress,2023,365,0.32170109316341078
boosted_vol20_band2,cost_stress,2024,366,0.29984051050462668
trend_vol40_exact,cost_stress,2020,366,1.2648175614779205
trend_vol40_exact,cost_stress,2021,365,0.75200749520626986
trend_vol40_exact,cost_stress,2022,365,-0.27402638320124006
trend_vol40_exact,cost_stress,2023,365,0.25266162810560644
trend_vol40_exact,cost_stress,2024,366,0.47647973655404452
allocation_vol40_exact,cost_stress,2020,366,1.8838642993506092
allocation_vol40_exact,cost_stress,2021,365,0.80972201138742306
allocation_vol40_exact,cost_stress,2022,365,-0.48585040113168065
allocation_vol40_exact,cost_stress,2023,365,0.98586022563818787
allocation_vol40_exact,cost_stress,2024,366,0.63368306392531015
fixed_blend_vol40_exact,cost_stress,2020,366,1.567666557064384
fixed_blend_vol40_exact,cost_stress,2021,365,0.78238973609606099
fixed_blend_vol40_exact,cost_stress,2022,365,-0.37958987554026247
fixed_blend_vol40_exact,cost_stress,2023,365,0.58681789135356133
fixed_blend_vol40_exact,cost_stress,2024,366,0.55883707716854403
state_rule_vol40_exact,cost_stress,2020,366,1.3450900879470189
state_rule_vol40_exact,cost_stress,2021,365,0.79500869077883607
state_rule_vol40_exact,cost_stress,2022,365,-0.27323662556182626
state_rule_vol40_exact,cost_stress,2023,365,0.35693129077607755
state_rule_vol40_exact,cost_stress,2024,366,0.50498112575792176
constant_vol40_exact,cost_stress,2020,366,1.2648175614779205
constant_vol40_exact,cost_stress,2021,365,0.75200749520626986
constant_vol40_exact,cost_stress,2022,365,-0.27402638320124006
constant_vol40_exact,cost_stress,2023,365,0.25266162810560644
constant_vol40_exact,cost_stress,2024,366,0.47647973655404452
ridge_vol40_exact,cost_stress,2020,366,1.2921111577845004
ridge_vol40_exact,cost_stress,2021,365,0.7762114017894044
ridge_vol40_exact,cost_stress,2022,365,-0.54030083299936826
ridge_vol40_exact,cost_stress,2023,365,0.28088357273536846
ridge_vol40_exact,cost_stress,2024,366,0.49347586148275213
boosted_vol40_exact,cost_stress,2020,366,1.4556438025755893
boosted_vol40_exact,cost_stress,2021,365,0.75200749520626919
boosted_vol40_exact,cost_stress,2022,365,-0.44751903522450864
boosted_vol40_exact,cost_stress,2023,365,0.48417177037337011
boosted_vol40_exact,cost_stress,2024,366,0.63368306392530349
trend_vol40_band2,cost_stress,2020,366,1.2824220223895035
trend_vol40_band2,cost_stress,2021,365,0.74988845301312113
trend_vol40_band2,cost_stress,2022,365,-0.27371271448985612
trend_vol40_band2,cost_stress,2023,365,0.26325910080741943
trend_vol40_band2,cost_stress,2024,366,0.48240245559570338
allocation_vol40_band2,cost_stress,2020,366,1.9056592453039314
allocation_vol40_band2,cost_stress,2021,365,0.81292624180241968
allocation_vol40_band2,cost_stress,2022,365,-0.48012865113935999
allocation_vol40_band2,cost_stress,2023,365,0.99687297974101163
allocation_vol40_band2,cost_stress,2024,366,0.63775758680380634
fixed_blend_vol40_band2,cost_stress,2020,366,1.5866844835791483
fixed_blend_vol40_band2,cost_stress,2021,365,0.78457641678679901
fixed_blend_vol40_band2,cost_stress,2022,365,-0.37058643533110347
fixed_blend_vol40_band2,cost_stress,2023,365,0.59744257038309789
fixed_blend_vol40_band2,cost_stress,2024,366,0.56462195059545417
state_rule_vol40_band2,cost_stress,2020,366,1.3656737625137296
state_rule_vol40_band2,cost_stress,2021,365,0.79355597151469692
state_rule_vol40_band2,cost_stress,2022,365,-0.27291786686300712
state_rule_vol40_band2,cost_stress,2023,365,0.36731187270342902
state_rule_vol40_band2,cost_stress,2024,366,0.51081938196052823
constant_vol40_band2,cost_stress,2020,366,1.2824220223895035
constant_vol40_band2,cost_stress,2021,365,0.74988845301312113
constant_vol40_band2,cost_stress,2022,365,-0.27371271448985612
constant_vol40_band2,cost_stress,2023,365,0.26325910080741943
constant_vol40_band2,cost_stress,2024,366,0.48240245559570338
ridge_vol40_band2,cost_stress,2020,366,1.3114432184902083
ridge_vol40_band2,cost_stress,2021,365,0.77634946110350356
ridge_vol40_band2,cost_stress,2022,365,-0.53826671830236672
ridge_vol40_band2,cost_stress,2023,365,0.29266437347027452
ridge_vol40_band2,cost_stress,2024,366,0.49979437166072471
boosted_vol40_band2,cost_stress,2020,366,1.4797075518397911
boosted_vol40_band2,cost_stress,2021,365,0.74988845301312335
boosted_vol40_band2,cost_stress,2022,365,-0.44458985512737292
boosted_vol40_band2,cost_stress,2023,365,0.49244294527315779
boosted_vol40_band2,cost_stress,2024,366,0.63775758680380767
btc_buy_hold,cost_stress,2020,366,3.0155452561436427
btc_buy_hold,cost_stress,2021,365,0.59403630483255121
btc_buy_hold,cost_stress,2022,365,-0.64228724440201035
btc_buy_hold,cost_stress,2023,365,1.5582071764965626
btc_buy_hold,cost_stress,2024,366,1.1738061464630927
eth_buy_hold,cost_stress,2020,366,4.6961152952359191
eth_buy_hold,cost_stress,2021,365,3.982986972494472
eth_buy_hold,cost_stress,2022,365,-0.67483268948256159
eth_buy_hold,cost_stress,2023,365,0.90844593181342903
eth_buy_hold,cost_stress,2024,366,0.45996142161353726
mix_buy_hold,cost_stress,2020,366,3.8558302756897636
mix_buy_hold,cost_stress,2021,365,2.5817348689186872
mix_buy_hold,cost_stress,2022,365,-0.66884380385368303
mix_buy_hold,cost_stress,2023,365,1.0376009097862458
mix_buy_hold,cost_stress,2024,366,0.63810808277582276
usd_cash,cost_stress,2020,366,0
