policy,family,profile,band,role,period,scenario,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,control,2020_2021,cost_stress,2020-01-01,2021-12-31,329,402,0.51503012533136716,1.9616390264081325,-0.18893725372688641,0.22439987625758032,2.725932102706734,0.36465859809139933,2.2940113054809639,0.26537802861104098,4.0628790894956994,0.030471546244647821,-0.10840385880297299,163
state_rule_vol20_band2,state_rule,0.20000000000000001,0.02,control,2022_2024,cost_stress,2022-01-01,2024-12-31,369,727,0.11016570511541346,0.66468531825680666,-0.18664029124420323,0.18173855511817691,0.59025682172383043,0.07125559572359369,1.3679499962498496,0.31100802683980988,6.2512949331519847,0.046884575384869856,-0.047128677663802798,697
constant_vol20_band2,constant,0.20000000000000001,0.02,control,full,cost_stress,2020-01-01,2024-12-31,782,1045,0.234844810303664,1.1575645703310338,-0.26959923367777272,0.19923565036229424,0.87108856764909237,0.17108586344332369,2.8707752876581565,0.29142157978460809,7.2486533663964927,0.054364698932176624,-0.10339869769422139,831
constant_vol20_band2,constant,0.20000000000000001,0.02,control,2020_2021,cost_stress,2020-01-01,2021-12-31,371,360,0.49502565107069785,1.905378666770724,-0.18362175300821515,0.22399192017512679,2.695898731827,0.35153085577508691,2.2338716029624286,0.26373413566370552,5.7781920084349947,0.043336167993686267,-0.10339869769422139,163
constant_vol20_band2,constant,0.20000000000000001,0.02,control,2022_2024,cost_stress,2022-01-01,2024-12-31,411,685,0.087272831837030829,0.55246577311181422,-0.20349164036102763,0.18063430825689802,0.42887674246565843,0.050851142782492857,1.2851120377066951,0.30988829662072109,8.2355807131346577,0.061766701018048903,-0.047848506589832418,701
ridge_vol20_band2,ridge,0.20000000000000001,0.02,candidate,full,cost_stress,2020-01-01,2024-12-31,747,1080,0.24542457463620426,1.2012884272354583,-0.2563574635547583,0.19905128389618471,0.95735295252592179,0.17968588333976715,2.995862752783248,0.29168856964959994,6.0669596268351578,0.045501956883935955,-0.10339869769422139,827
ridge_vol20_band2,ridge,0.20000000000000001,0.02,candidate,2020_2021,cost_stress,2020-01-01,2021-12-31,357,374,0.5024266810602358,1.9303597080184867,-0.18362175300821515,0.22360576129214649,2.7362045772308767,0.35664024735459876,2.2560283774716585,0.26416847880690025,4.5494618680670493,0.034120566875670014,-0.10339869769422139,163
ridge_vol20_band2,ridge,0.20000000000000001,0.02,candidate,2022_2024,cost_stress,2022-01-01,2024-12-31,390,706,0.099226630051111098,0.61293277589499595,-0.18905137539183137,0.18062625539096985,0.52486595162533023,0.06177298591145982,1.3279366441927183,0.31004366673537864,7.0841654017461675,0.053131104521304068,-0.047128677663802909,700
boosted_vol20_band2,boosted,0.20000000000000001,0.02,candidate,full,cost_stress,2020-01-01,2024-12-31,779,1048,0.23803223499334458,1.1368471283582009,-0.33449755348818122,0.20641143473078563,0.71161128836703125,0.1707497262525578,2.9080126529327575,0.31047637256713173,4.8616566290049974,0.036462262080084476,-0.10339869769422139,839
boosted_vol20_band2,boosted,0.20000000000000001,0.02,candidate,2020_2021,cost_stress,2020-01-01,2021-12-31,347,384,0.51745303569657985,1.9729787961074554,-0.18362175300821515,0.22383971699432739,2.8180377717743998,0.36647468700035074,2.3013495288497632,0.26328572630857583,4.3003663534427643,0.032252452718833105,-0.10339869769422139,161
boosted_vol20_band2,boosted,0.20000000000000001,0.02,candidate,2022_2024,cost_stress,2022-01-01,2024-12-31,432,664,0.081171117298426188,0.49881025767668513,-0.27426382001768168,0.19368778356726887,0.29595998952101343,0.040341016975213632,1.2636119009641391,0.34195115579250057,5.2402900151140708,0.039302100523731585,-0.047128677663802576,737
trend_vol40_exact,trend,0.40000000000000002,0,control,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.39743028809605385,1.0928829196365955,-0.45210701790491148,0.36878937758251429,0.87906241742888092,0.1990352041767936,5.3278413830133857,0.5093470775999337,11.940322734780377,0.089551988753693065,-0.21364779225358166,841
trend_vol40_exact,trend,0.40000000000000002,0,control,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,0.99291869552828937,1.769015040323314,-0.35385099670074371,0.44695841631882433,2.8060361699871468,0.49101842198974244,3.9679773429841183,0.52041521034411342,11.194478749351447,0.083957776510611426,-0.21364779225358166,168
trend_vol40_exact,trend,0.40000000000000002,0,control,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,0.10329060682430669,0.47343803045206778,-0.34250704802152787,0.3052226687657541,0.301572208282892,0.0047627028570486341,1.3427096282275008,0.50196495621672632,12.448456462723669,0.093363246220545384,-0.081337262419348133,770
allocation_vol40_exact,allocation,0.40000000000000002,0,control,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.54164460932246894,1.2062559308044185,-0.600141139468225,0.43918582548495982,0.90252871150011671,0.24044422275610872,8.7054790571034619,0.66602053538195705,4.8682801928016657,0.03651191295630455,-0.22367736932785343,828
allocation_vol40_exact,allocation,0.40000000000000002,0,control,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,1.2858045537625067,2.0329181160448115,-0.36344398253221799,0.45920914486030534,3.5378342070872635,0.61722503155496167,5.2189927003891716,0.54466911954741914,5.3553781525893696,0.040164941855772913,-0.22367736932785343,163
allocation_vol40_exact,allocation,0.40000000000000002,0,control,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,0.18609477797695995,0.6129665671485538,-0.52211380823243914,0.42493614839472832,0.3564256969317936,-0.010384443179974778,1.6680381745800048,0.74695838663656211,4.5479941375941575,0.034109904569404458,-0.11496552338715393,701
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,control,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.47683772700611571,1.1866380562791694,-0.50278600693681552,0.39448756503782378,0.94839100616823513,0.23468329894857878,7.0234094749945086,0.58769707951060579,8.1780827781179823,0.061335268545744316,-0.21866278927374949,833
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,control,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,1.14040945811186,1.9128789560705153,-0.35852783711364722,0.45188340018283291,3.1808114742018474,0.55810033576613494,4.5765825170286529,0.53256673326075044,7.9706985999835265,0.059779560970307247,-0.21866278927374949,166
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,control,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,0.15357197824087154,0.58135249531724176,-0.4046936663786892,0.35056855927478914,0.37947709835707599,0.019456434586167026,1.5346406295225021,0.62446741081411361,8.3238074656214245,0.062428420873246439,-0.081337262419347911,704
state_rule_vol40_exact,state_rule,0.40000000000000002,0,control,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.44265801967095664,1.1532180017446581,-0.41564202800715655,0.38119052519179669,1.0649982192448906,0.22163645100168383,6.2475253955954271,0.53193628311596497,9.1333188096273936,0.068499620096273597,-0.22367736932785343,833
state_rule_vol40_exact,state_rule,0.40000000000000002,0,control,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,1.052706319683764,1.8271344346031473,-0.36344398253221855,0.44977610662317619,2.8964747534111224,0.51835359313928775,4.2094570885242195,0.52640402665760733,7.9575597322153513,0.059681436057325406,-0.22367736932785343,167
state_rule_vol40_exact,state_rule,0.40000000000000002,0,control,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,0.14077448486299149,0.56457388616903392,-0.32117405870460547,0.32710647799137277,0.43831212717110035,0.024177803554774224,1.4841641722936989,0.53562613664795344,9.9254991249885087,0.074440966186253912,-0.081337262419348022,704
constant_vol40_exact,constant,0.40000000000000002,0,control,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.39743028809605385,1.0928829196365955,-0.45210701790491148,0.36878937758251429,0.87906241742888092,0.1990352041767936,5.3278413830133857,0.5093470775999337,11.940322734780377,0.089551988753693065,-0.21364779225358166,841
constant_vol40_exact,constant,0.40000000000000002,0,control,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,0.99291869552828937,1.769015040323314,-0.35385099670074371,0.44695841631882433,2.8060361699871468,0.49101842198974244,3.9679773429841183,0.52041521034411342,11.194478749351447,0.083957776510611426,-0.21364779225358166,168
constant_vol40_exact,constant,0.40000000000000002,0,control,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,0.10329060682430669,0.47343803045206778,-0.34250704802152787,0.3052226687657541,0.301572208282892,0.0047627028570486341,1.3427096282275008,0.50196495621672632,12.448456462723669,0.093363246220545384,-0.081337262419348133,770
ridge_vol40_exact,ridge,0.40000000000000002,0,candidate,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.29061749881030075,0.85335175725181134,-0.64524828948883495,0.38791637480367719,0.4503963877851232,0.1053104493442297,3.5802380935960052,0.54166167934668319,10.655088306562439,0.079912659743639203,-0.22367736932785354,1149
ridge_vol40_exact,ridge,0.40000000000000002,0,candidate,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,1.0187101942359367,1.7838185637565394,-0.36417180403322824,0.45184497801109763,2.7973340685732664,0.49976363348558722,4.0712739726255496,0.52583064697101956,9.4758668031032425,0.071068175409123774,-0.22367736932785354,167
ridge_vol40_exact,ridge,0.40000000000000002,0,candidate,2022_2024,cost_stress,2022-01-01,2024-12-31,1096,0,-0.041965572053487388,0.042123241004460042,-0.57428410841933886,0.33784441284116223,-0.073074583534957188,-0.15697716930786593,0.87939011662413491,0.55222051572132758,11.450966649787807,0.085881962231255576,-0.087165003360847537,1094
boosted_vol40_exact,boosted,0.40000000000000002,0,candidate,full,cost_stress,2020-01-01,2024-12-31,1827,0,0.41956392351017535,1.083413479993397,-0.55176758418083061,0.39613250671928713,0.76039973267561833,0.19379385332369145,5.7632920063619624,0.56572266087909917,9.2023975622793639,0.069017515406555374,-0.21364779225358166,846
boosted_vol40_exact,boosted,0.40000000000000002,0,candidate,2020_2021,cost_stress,2020-01-01,2021-12-31,731,0,1.0752369267794202,1.8578649021770601,-0.35385099670074371,0.44749603277720956,3.0386714656869023,0.53100812413324083,4.302306347669278,0.52322082903220413,8.7919881522182859,0.065939000477864537,-0.21364779225358166,163
