policy,control,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
boosted_vol20_exact,state_rule_vol20_exact,cost_stress,2022_2024,-0.030286540391625705,-0.17006786960450843,-0.090722214733064188,0.012511805421717731
boosted_vol20_exact,constant_vol20_exact,cost_stress,2022_2024,-0.0063362297626805564,-0.053738366759024381,-0.072427885112816393,0.013880409743392996
ridge_vol20_band2,trend_vol20_band2,cost_stress,full,0.010579764332540265,0.043723856904424485,0.013241770123014418,-0.00018436646610953122
ridge_vol20_band2,allocation_vol20_band2,cost_stress,full,-0.029186926332714469,-0.013890147989878532,0.092923209610615509,-0.02028440447232821
ridge_vol20_band2,fixed_blend_vol20_band2,cost_stress,full,-0.014053145998853989,-0.020511216458784398,0.037982961117802194,-0.0069963278243210247
ridge_vol20_band2,state_rule_vol20_band2,cost_stress,full,-0.01160864550841878,-0.04159335260924224,-0.0034108358906921321,-0.00096046232822405431
ridge_vol20_band2,constant_vol20_band2,cost_stress,full,0.010579764332540265,0.043723856904424485,0.013241770123014418,-0.00018436646610953122
ridge_vol20_band2,trend_vol20_band2,cost_stress,2020_2021,0.007401029989537955,0.024981041247762681,0,-0.00038615888298029755
ridge_vol20_band2,allocation_vol20_band2,cost_stress,2020_2021,-0.043500500820754295,-0.11165383027601816,0.0053155007186715952,-0.0019687000284707989
ridge_vol20_band2,fixed_blend_vol20_band2,cost_stress,2020_2021,-0.02390816260291917,-0.060586028906489675,0.0026053823237789375,-0.0012659707523260677
ridge_vol20_band2,state_rule_vol20_band2,cost_stress,2020_2021,-0.012603444271131359,-0.031279318389645816,0.0053155007186712622,-0.00079411496543382865
ridge_vol20_band2,constant_vol20_band2,cost_stress,2020_2021,0.007401029989537955,0.024981041247762681,0,-0.00038615888298029755
ridge_vol20_band2,trend_vol20_band2,cost_stress,2022_2024,0.011953798214080269,0.060467002783181734,0.014440264969196259,-8.0528659281708936e-06
ridge_vol20_band2,allocation_vol20_band2,cost_stress,2022_2024,-0.021758714051767436,-0.024898321255897082,0.10247329773690728,-0.034284790977127166
ridge_vol20_band2,fixed_blend_vol20_band2,cost_stress,2022_2024,-0.0090353509156644307,-0.016636993491246588,0.042306516778620185,-0.011648365455332155
ridge_vol20_band2,state_rule_vol20_band2,cost_stress,2022_2024,-0.010939075064302362,-0.051752542361810705,-0.0024110841476281397,-0.0011122997272070556
ridge_vol20_band2,constant_vol20_band2,cost_stress,2022_2024,0.011953798214080269,0.060467002783181734,0.014440264969196259,-8.0528659281708936e-06
boosted_vol20_band2,trend_vol20_band2,cost_stress,full,0.0031874246896805847,-0.020717441972832873,-0.0648983198104085,0.0071757843684913947
boosted_vol20_band2,allocation_vol20_band2,cost_stress,full,-0.036579265975574149,-0.07833144686713589,0.014783119677192591,-0.012924253637727284
boosted_vol20_band2,fixed_blend_vol20_band2,cost_stress,full,-0.021445485641713669,-0.084952515336041756,-0.040157128815620724,0.00036382301027990116
boosted_vol20_band2,state_rule_vol20_band2,cost_stress,full,-0.01900098515127846,-0.1060346514864996,-0.08155092582411505,0.0063996885063768716
boosted_vol20_band2,constant_vol20_band2,cost_stress,full,0.0031874246896805847,-0.020717441972832873,-0.0648983198104085,0.0071757843684913947
boosted_vol20_band2,trend_vol20_band2,cost_stress,2020_2021,0.022427384625882008,0.067600129336731429,0,-0.00015220318079939288
