policy,family,role,scenario,period,observations,first_date,last_date,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days,pareto_cagr_sharpe_drawdown
trend_ensemble_uncapped,trend_ensemble,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.16303438042230178,0.56230823104722127,-0.69638622386030868,0.57075597150266277,0.23411488458020616,-0.16770278781362202,1.5713893558758851,0.56292067394686895,11.887865708021216,0.035662972677572367,-0.34601456851678092,1067,False
trend_ensemble_uncapped,trend_ensemble,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.43523817675292098,0.96205218771641943,-0.4782466116754116,0.51094763737523075,0.91007059146363456,0.09995706013638106,4.2390279217988835,0.6413066967640304,11.656150812238099,0.03496832553314369,-0.18571610643758951,840,True
breakout_vol20,breakout,candidate,base,full,2555,2018-01-03,2024-12-31,0.11040580139039124,0.7461840959770073,-0.21891240763025388,0.15669886972338312,0.50433779695515568,0.080094400786282771,2.079838527140037,0.14736028172866464,2.6244478259996544,0.0078733366649367479,-0.089190061190453807,1041,True
breakout_vol20,breakout,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.065154139803782929,0.50419482382841252,-0.21891240763025388,0.14643429737241606,0.29762652792997091,0.041666909595692934,1.2079000187646325,0.098683701603677801,2.0439086572728851,0.0061316913803181362,-0.089190061190453807,1041,True
breakout_vol20,breakout,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.14561863247146678,0.90976232536579638,-0.19976076426674172,0.16399412592351559,0.72896513490017167,0.10885456734038196,1.7218631466428487,0.18380941154162539,3.0608545104135993,0.0091825775092881732,-0.054104753462381416,790,True
breakout_vol40,breakout,candidate,base,full,2555,2018-01-03,2024-12-31,0.20891975190512069,0.78854027640074653,-0.39576588601966856,0.29654800721573144,0.5278872163699776,0.10192896670055121,3.7684428680295539,0.2742760072143528,3.7704869751766115,0.011311445592139618,-0.17837253300547862,1042,True
breakout_vol40,breakout,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.12057596698014672,0.54112048139509128,-0.39576588601966856,0.28829995972004402,0.30466488204128439,0.031329712828027143,1.4058910419733222,0.19432111608141345,3.3225458485720143,0.0099675657455889251,-0.17837253300547862,1042,False
breakout_vol40,breakout,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.27975222006028111,0.96525199232877135,-0.28512129801884201,0.30263920124094962,0.98116914451544734,0.15473736276297462,2.6804658081753598,0.33414640481834712,4.1084117274738734,0.012325262111230062,-0.10815537945069087,792,True
breakout_uncapped,breakout,candidate,base,full,2555,2018-01-03,2024-12-31,0.24569618503398005,0.71058102756285879,-0.64946480129198259,0.45888789010296632,0.37830562109788823,0.010209884960789894,4.6469347503037177,0.3899675149025747,3.6792064549134333,0.011037659781296828,-0.21662529461224234,1084,False
breakout_uncapped,breakout,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.071984587713064707,0.38873460806468824,-0.64946480129198259,0.46827385233746516,0.11083678063825093,-0.14688634871910899,1.2312275705469389,0.29917315346036305,3.4952185608693274,0.01048569994728182,-0.21662529461224234,1083,False
breakout_uncapped,breakout,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.39413821715650577,0.96043862135211477,-0.4063321991440294,0.45181083415836903,0.96999011642884514,0.12773702987669106,3.774228957721808,0.45795453161563399,3.8194653416566666,0.011458433588392514,-0.16215397256948272,831,True
rotation_vol20,rotation,candidate,base,full,2555,2018-01-03,2024-12-31,0.13343363077902559,0.80852795990437432,-0.22160784007665402,0.17333502538294387,0.60211602050212198,0.095078667916085852,2.4008394011571035,0.19742549113507329,7.1481683050455596,0.021444542290420733,-0.089190061190453807,755,True
rotation_vol20,rotation,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.081739689014233896,0.55116221142622579,-0.22160784007665402,0.16799872929278362,0.36884836288264977,0.050259191587821495,1.265060744110506,0.13725647563401111,3.9867779405563106,0.011960478112311348,-0.089190061190453807,535,True
rotation_vol20,rotation,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.17384452439184073,0.99149866075825521,-0.20651788578867847,0.17725995106059247,0.84178919287276122,0.12862136870764584,1.8978056289662033,0.24248018172929778,9.5197764123687065,0.028559286597930309,-0.05359761329826962,755,True
rotation_vol40,rotation,candidate,base,full,2555,2018-01-03,2024-12-31,0.2472051203803558,0.81652804152844827,-0.4141611492849635,0.34192950192372562,0.59688148153719356,0.10382135011786689,4.6864379508339304,0.38852755316175752,13.080168972902481,0.039240667937442408,-0.17837253300547862,949,False
rotation_vol40,rotation,candidate,base,through_2020,1094,2018-01-03,2020-12-31,0.13945985422593776,0.55712052664170675,-0.4141611492849635,0.33598768383781707,0.33672847988448679,0.017854049828800511,1.4779855692852306,0.27427638639404794,7.2837006051770015,0.021851685894338654,-0.17837253300547862,949,False
rotation_vol40,rotation,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.33468563614516444,1.0049342150142511,-0.36487150499047938,0.34638273330648278,0.91726986505536356,0.16812036329053595,3.1708279486790674,0.47407907707953595,17.42853890091402,0.052285461116243694,-0.10719341434412366,756,True
rotation_uncapped,rotation,candidate,base,full,2555,2018-01-03,2024-12-31,0.20401056459755118,0.62224035876237938,-0.84599869848578813,0.67919785014560063,0.24114761046642241,-0.26934026551837331,3.662730887722256,0.66418786692758391,18.546083753438317,0.055638890681426086,-0.43322542520938701,1122,False
rotation_uncapped,rotation,candidate,base,through_2020,1094,2018-01-03,2020-12-31,-0.063498689158316801,0.30066088585601758,-0.84599869848578813,0.74157024088618406,-0.075057667667775385,-0.60192846770268915,0.82174994691696968,0.59049360146251473,11.667034121788463,0.035002725424674974,-0.43322542520938701,1090,False
rotation_uncapped,rotation,candidate,base,2021_2024,1461,2021-01-01,2024-12-31,0.45337428849873374,0.91016545614960631,-0.5725926847474434,0.62860275889046147,0.79179196761604809,-0.020579625944611601,4.4572328863105648,0.71937029431894994,23.708650418607313,0.071125854733693483,-0.27608443227999946,840,True
equal_weight_vol20,equal_weight,control,base,full,2555,2018-01-03,2024-12-31,0.16697198099988819,0.81247210915613621,-0.3864701013216939,0.21965159173535237,0.43204372195639101,0.1060905593889134,2.9438664039717466,0.31718460066025816,3.1389901425656896,0.0094169491519753463,-0.11182416205487167,928,False
equal_weight_vol20,equal_weight,control,base,through_2020,1094,2018-01-03,2020-12-31,0.13416063242443466,0.67741054198915607,-0.3864701013216939,0.22229735306871076,0.34714362628730411,0.076462400652997586,1.4575117206124206,0.27239524464794024,3.050728264307319,0.0091521525215870723,-0.11182416205487167,928,False
equal_weight_vol20,equal_weight,control,base,2021_2024,1461,2021-01-01,2024-12-31,0.19228145474798586,0.91555058749295715,-0.34630265206557231,0.21771934060223172,0.55524106905071413,0.1282305032885466,2.0197891806556281,0.35072296854354079,3.2072156378252541,0.0096216338548290176,-0.057478521295810658,756,False
equal_weight_vol40,equal_weight,control,base,full,2555,2018-01-03,2024-12-31,0.29344114046981806,0.81046856856339544,-0.63847491989477256,0.43460061092669744,0.45959697292131735,0.068913598507749696,6.0448474082075609,0.62322088872183568,4.7907884454031322,0.014372315118990153,-0.22364378971620524,942,True
equal_weight_vol40,equal_weight,control,base,through_2020,1094,2018-01-03,2020-12-31,0.22659542277019429,0.68474588642161649,-0.63847491989477256,0.44457576404118326,0.35490105516993464,0.0079500106707445783,1.8426216889734792,0.5444486893693592,5.017222179811303,0.015051565703277765,-0.22364378971620524,942,False
equal_weight_vol40,equal_weight,control,base,2021_2024,1461,2021-01-01,2024-12-31,0.34609477449291659,0.90847383696049955,-0.59184383724087808,0.42712226325572933,0.58477380808150137,0.11437925969814022,3.2805689004860867,0.68220568413019234,4.6245546897437277,0.013873651712478256,-0.11485850586950663,825,False
equal_weight_uncapped,equal_weight,control,base,full,2555,2018-01-03,2024-12-31,0.28231778307756339,0.71393236321152864,-0.88131760941562876,0.74860477710099105,0.32033602876125278,-0.30616049082048657,5.6905801738519584,0.99960861056751482,3.5360901636784448,0.010608267053782316,-0.41070627336520804,1108,False
equal_weight_uncapped,equal_weight,control,base,through_2020,1094,2018-01-03,2020-12-31,0.11748878797507833,0.56420576757739527,-0.88131760941562876,0.83293327782239157,0.13331038290836045,-0.57072100860139163,1.3943323261703435,0.99999999999999956,3.9332061671323393,0.011799692175488749,-0.41070627336520804,1078,False
equal_weight_uncapped,equal_weight,control,base,2021_2024,1461,2021-01-01,2024-12-31,0.42168096921483222,0.85835641705393417,-0.76513430761010293,0.67892132235601832,0.55112019552743985,-0.10864476920543586,4.0812222933119893,0.99931553730321732,3.2412191351774671,0.0097235962380485177,-0.20955298437515146,1108,False
btc_buy_hold,btc_buy_hold,benchmark,base,full,2555,2018-01-03,2024-12-31,0.29898909439955013,0.72894713633333263,-0.81384865421875507,0.68774925561773281,0.36737677558312287,-0.20816570750619101,6.2284959859365516,0.99960861056750938,0.28559417674931276,0.00085678248392645256,-0.38812428745094485,1045,False
btc_buy_hold,btc_buy_hold,benchmark,base,through_2020,1094,2018-01-03,2020-12-31,0.25118263218777637,0.68605331636872335,-0.81384865421875507,0.76636614336601194,0.30863555636016421,-0.35520756433758116,1.9553719705638388,0.99999999999999045,0.33317248620104761,0.00099951745860314299,-0.38812428745094485,1045,False
btc_buy_hold,btc_buy_hold,benchmark,base,2021_2024,1461,2021-01-01,2024-12-31,0.33620966065102031,0.7757281374624474,-0.76670598287258074,0.62268687690047786,0.43851185221140393,-0.09857268875579045,3.1853253906163785,0.99931553730321498,0.25017123287671217,0.00075051361759926336,-0.15417808941374911,846,False
eth_buy_hold,eth_buy_hold,benchmark,base,full,2555,2018-01-03,2024-12-31,0.21289350925419459,0.66640658881803538,-0.94011630423803116,0.8809513428873722,0.22645443791845077,-0.57704112347435554,3.8559162742985156,0.99960861056750583,0.28559417674931264,0.00085675440247703493,-0.4332254252093839,1149,False
eth_buy_hold,eth_buy_hold,benchmark,base,through_2020,1094,2018-01-03,2020-12-31,-0.0527689217885845,0.44676557381529292,-0.94011630423803116,0.97528657888292092,-0.056130205965690565,-0.99105139837474587,0.85024694702021597,0.99999999999998168,0.33317248620104761,0.00099951745860314299,-0.4332254252093839,1083,False
eth_buy_hold,eth_buy_hold,benchmark,base,2021_2024,1461,2021-01-01,2024-12-31,0.45968134276427319,0.8718086338387665,-0.79350360564433975,0.80338843906972335,0.57930592815769677,-0.26774849853909533,4.5350545365813657,0.99931553730321498,0.250171232876712,0.00075046449429665217,-0.27608443228000312,1149,True
mix_buy_hold,mix_buy_hold,benchmark,base,full,2555,2018-01-03,2024-12-31,0.26032470146912901,0.68961841045836414,-0.87849214211119997,0.73714907407419117,0.29633128060031866,-0.3067315633787574,5.0422061301175054,0.99960861056750827,0.28559417674931276,0.000856771746156861,-0.40144038732507525,1108,False
mix_buy_hold,mix_buy_hold,benchmark,base,through_2020,1094,2018-01-03,2020-12-31,0.11975457439067161,0.55818628173006701,-0.87849214211119997,0.81023693006367004,0.13631832164471769,-0.53246268494587667,1.4028094587920241,0.9999999999999879,0.33317248620104761,0.00099951745860314299,-0.40144038732507525,1078,False
mix_buy_hold,mix_buy_hold,benchmark,base,2021_2024,1461,2021-01-01,2024-12-31,0.37721142982145239,0.81225767064512899,-0.7686086878841818,0.67755680791791906,0.49077174870327867,-0.13827412740472178,3.5943627971110335,0.9993155373032151,0.25017123287671211,0.00075049483385711485,-0.21932704155986993,1108,False
usd_cash,usd_cash,benchmark,base,full,2555,2018-01-03,2024-12-31,0,,0,0,,0,1,0,0,0,0,0,False
usd_cash,usd_cash,benchmark,base,through_2020,1094,2018-01-03,2020-12-31,0,,0,0,,0,1,0,0,0,0,0,False
usd_cash,usd_cash,benchmark,base,2021_2024,1461,2021-01-01,2024-12-31,0,,0,0,,0,1,0,0,0,0,0,False
trend_ensemble_vol20,trend_ensemble,candidate,cost_stress,full,2555,2018-01-03,2024-12-31,0.13046406404844335,0.72402752729482456,-0.29323194921689066,0.19570189872070154,0.44491763055445527,0.084244712073320141,2.3571995735891611,0.27040992622190213,7.6632259697280007,0.057474037702106691,-0.10682856130180141,930,True
trend_ensemble_vol20,trend_ensemble,candidate,cost_stress,through_2020,1094,2018-01-03,2020-12-31,0.11249955004918188,0.62984156274080549,-0.29323194921689066,0.20137208381004179,0.38365379471651967,0.066006433752291455,1.3757861602163894,0.23817328561176121,7.3674982451134685,0.055256030089494625,-0.10682856130180141,930,True
trend_ensemble_vol20,trend_ensemble,candidate,cost_stress,2021_2024,1461,2021-01-01,2024-12-31,0.14419855880278942,0.79838421428473572,-0.27236042778724978,0.19141354345737313,0.52944019795499786,0.097862834568310464,1.7133473513197837,0.29454879331806533,7.889865441627598,0.059173870824221132,-0.053438746669480675,831,True
trend_ensemble_vol40,trend_ensemble,candidate,cost_stress,full,2555,2018-01-03,2024-12-31,0.22083949163426952,0.7465728200710674,-0.45210701790491425,0.34954110106587788,0.48846729399966049,0.077689413551979059,4.036059178484809,0.45617122953875372,10.836666302320682,0.081274707482609496,-0.21364779225358133,961,True
trend_ensemble_vol40,trend_ensemble,candidate,cost_stress,through_2020,1094,2018-01-03,2020-12-31,0.19768636374186088,0.68380407230524864,-0.43431851683219003,0.3600206946265449,0.45516448431380607,0.051761266260725913,1.7156925383965882,0.40198082433884585,10.240081798551575,0.076800124735877551,-0.21364779225358133,961,True
trend_ensemble_vol40,trend_ensemble,candidate,cost_stress,2021_2024,1461,2021-01-01,2024-12-31,0.23863438443613427,0.79629849293475241,-0.45210701790491059,0.34160668712167719,0.52782720680156536,0.096978197102053881,2.3524373325402275,0.49674912364463963,11.290709815280925,0.084680182585116767,-0.10686972608872358,841,False
trend_ensemble_uncapped,trend_ensemble,candidate,cost_stress,full,2555,2018-01-03,2024-12-31,0.24395712335173148,0.6805336620624659,-0.72281851123526231,0.53732292574476725,0.33750812902511368,-0.067407551429170043,4.6017612336345808,0.60774336644623228,11.745427282583094,0.088089855524470143,-0.34605808690395501,1079,False
