policy,control,period,scenario,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
rotation_vol20,equal_weight_vol20,full,cost_stress,-0.053068404658142221,-0.12588971646715419,0.12694997304065481,-0.046054232336001921
rotation_vol20,equal_weight_vol20,through_2020,cost_stress,-0.056197441421068195,-0.17085451925485512,0.15423019870105359,-0.054531427867151039
rotation_vol20,equal_weight_vol20,2021_2024,cost_stress,-0.050607263461555974,-0.10141679185385577,0.088046888931212375,-0.039834961187383749
rotation_vol40,equal_weight_vol40,full,cost_stress,-0.090025718530654109,-0.11704765632684078,0.19433565764015981,-0.092150439606994317
rotation_vol40,equal_weight_vol40,through_2020,cost_stress,-0.096520804676055727,-0.17420076732974504,0.19789134788462304,-0.10903796333185456
rotation_vol40,equal_weight_vol40,2021_2024,cost_stress,-0.084494408043822355,-0.082946829934828159,0.14898727195565342,-0.079494290627403819
rotation_uncapped,equal_weight_uncapped,full,cost_stress,-0.15469306114067582,-0.19335382479797841,0.023877944457736833,-0.068963187106125812
rotation_uncapped,equal_weight_uncapped,through_2020,cost_stress,-0.20939405872128625,-0.31368401233601872,0.023877944457736833,-0.092275404837563912
rotation_uncapped,equal_weight_uncapped,2021_2024,cost_stress,-0.095135499278024671,-0.097038394379377557,0.1523921985628256,-0.048645808074582852
trend_ensemble_vol20,equal_weight_vol20,full,delay_one_day,0.00076181674327746585,0.077921027513214058,0.11995852678485208,-0.024751985688423739
trend_ensemble_vol20,equal_weight_vol20,through_2020,delay_one_day,-0.0008160245732380389,0.044317082375656125,0.11995852678485208,-0.021886841702912663
trend_ensemble_vol20,equal_weight_vol20,2021_2024,delay_one_day,0.0020092490975940347,0.10790581568787561,0.12749028429626352,-0.02698870844452575
trend_ensemble_vol40,equal_weight_vol40,full,delay_one_day,-0.041463020970464504,0.0055827270980822741,0.19417757482565845,-0.08611440327145431
trend_ensemble_vol40,equal_weight_vol40,through_2020,delay_one_day,-0.03976963568588765,-0.031085402397583617,0.19417757482565845,-0.086596338915134408
trend_ensemble_vol40,equal_weight_vol40,2021_2024,delay_one_day,-0.042806798288507641,0.035268493435463233,0.22520353550485428,-0.085806347175992281
trend_ensemble_uncapped,equal_weight_uncapped,full,delay_one_day,-0.021832245519612492,-0.012841958314888657,0.14539374708490638,-0.21092169138047201
trend_ensemble_uncapped,equal_weight_uncapped,through_2020,delay_one_day,-0.057984568646819001,-0.17591767962908594,0.14539374708490638,-0.26223662362524625
trend_ensemble_uncapped,equal_weight_uncapped,2021_2024,delay_one_day,0.014773109445040289,0.10476963327835065,0.2956893773542203,-0.16726013979525012
breakout_vol20,equal_weight_vol20,full,delay_one_day,-0.071926438676965132,-0.16101512176344623,0.10966924463659977,-0.063532831619262126
breakout_vol20,equal_weight_vol20,through_2020,delay_one_day,-0.10643084751545584,-0.432272555526239,0.10966924463659977,-0.076819546693164459
breakout_vol20,equal_weight_vol20,2021_2024,delay_one_day,-0.04379070953789288,0.0073500280811146235,0.15602369940551686,-0.054086052605396451
breakout_vol40,equal_weight_vol40,full,delay_one_day,-0.11775386595040205,-0.123574977688229,0.16978165289343183,-0.1384517484014528
breakout_vol40,equal_weight_vol40,through_2020,delay_one_day,-0.17278420580075871,-0.37455402340723942,0.16978165289343183,-0.15749330331450057
breakout_vol40,equal_weight_vol40,2021_2024,delay_one_day,-0.069378876861066585,0.045391273900823093,0.28551180470066861,-0.12435558118075102
breakout_uncapped,equal_weight_uncapped,full,delay_one_day,-0.089428981325728962,-0.10562624219528527,0.19718306714324585,-0.28502803685427242
breakout_uncapped,equal_weight_uncapped,through_2020,delay_one_day,-0.10619742143607058,-0.31934592410854423,0.19718306714324585,-0.36373385411803733
breakout_uncapped,equal_weight_uncapped,2021_2024,delay_one_day,-0.071104511272451543,0.026177896490167107,0.30951054560749081,-0.21958779459336258
rotation_vol20,equal_weight_vol20,full,delay_one_day,-0.033960323240656898,-0.016243951225135111,0.13307840032755491,-0.044820037532407403
rotation_vol20,equal_weight_vol20,through_2020,delay_one_day,-0.071879760077609323,-0.24351438759524424,0.13307840032755491,-0.054475065351989593
rotation_vol20,equal_weight_vol20,2021_2024,delay_one_day,-0.0030392376163819179,0.1339335023389856,0.096785136003316286,-0.037807119225389346
rotation_vol40,equal_weight_vol40,full,delay_one_day,-0.046480464526272414,-0.0028937883616809712,0.16874867130467908,-0.08978953462708944
rotation_vol40,equal_weight_vol40,through_2020,delay_one_day,-0.12734313958958321,-0.24512524103561389,0.16874867130467908,-0.10894495105121177
rotation_vol40,equal_weight_vol40,2021_2024,delay_one_day,0.025174006927848325,0.16169361682240302,0.16697032268288947,-0.07558055788123702
rotation_uncapped,equal_weight_uncapped,full,delay_one_day,-0.091866925679553013,-0.11009235272541451,0.0053508074304964293,-0.06225995614477331
rotation_uncapped,equal_weight_uncapped,through_2020,delay_one_day,-0.25855321973553635,-0.38933895789606576,0.0053508074304964293,-0.091441675822423352
rotation_uncapped,equal_weight_uncapped,2021_2024,delay_one_day,0.10291058198020542,0.11869658933503213,0.16057446316833301,-0.036952536766914124
