policy,scenario,year,observations,total_return
mix_buy_hold,cost_stress,2020,366,3.4429098724803797
mix_buy_hold,cost_stress,2021,365,1.6210627982463031
mix_buy_hold,cost_stress,2022,365,-0.66103800722684025
mix_buy_hold,cost_stress,2023,365,1.1990881590687992
mix_buy_hold,cost_stress,2024,366,0.83141259639597243
usd_cash,cost_stress,2018,363,0
usd_cash,cost_stress,2019,365,0
usd_cash,cost_stress,2020,366,0
usd_cash,cost_stress,2021,365,0
usd_cash,cost_stress,2022,365,0
usd_cash,cost_stress,2023,365,0
usd_cash,cost_stress,2024,366,0
trend_ensemble_vol20,delay_one_day,2018,363,-0.21938970413275583
trend_ensemble_vol20,delay_one_day,2019,365,0.09683940745740105
trend_ensemble_vol20,delay_one_day,2020,366,0.67204535336476012
trend_ensemble_vol20,delay_one_day,2021,365,0.37672161757579969
trend_ensemble_vol20,delay_one_day,2022,365,-0.13827343513200152
trend_ensemble_vol20,delay_one_day,2023,365,0.29649165314810588
trend_ensemble_vol20,delay_one_day,2024,366,0.31150354168458505
trend_ensemble_vol40,delay_one_day,2018,363,-0.32662731857972549
trend_ensemble_vol40,delay_one_day,2019,365,0.08208754822695985
trend_ensemble_vol40,delay_one_day,2020,366,1.2187382815321079
trend_ensemble_vol40,delay_one_day,2021,365,0.81289850607647018
trend_ensemble_vol40,delay_one_day,2022,365,-0.22730821136994417
trend_ensemble_vol40,delay_one_day,2023,365,0.35897052796377737
trend_ensemble_vol40,delay_one_day,2024,366,0.50031418726803278
trend_ensemble_uncapped,delay_one_day,2018,363,-0.54130227230062533
trend_ensemble_uncapped,delay_one_day,2019,365,0.051011778546827369
trend_ensemble_uncapped,delay_one_day,2020,366,1.3353833412566782
trend_ensemble_uncapped,delay_one_day,2021,365,1.6169133256642043
trend_ensemble_uncapped,delay_one_day,2022,365,-0.24585112265783626
trend_ensemble_uncapped,delay_one_day,2023,365,0.3702342822007374
trend_ensemble_uncapped,delay_one_day,2024,366,0.57287818570941096
breakout_vol20,delay_one_day,2018,363,-0.10357033840211416
breakout_vol20,delay_one_day,2019,365,-0.0471500826138741
breakout_vol20,delay_one_day,2020,366,0.24867458138062482
breakout_vol20,delay_one_day,2021,365,0.36061958945380757
breakout_vol20,delay_one_day,2022,365,-0.03654900105419201
breakout_vol20,delay_one_day,2023,365,0.097672959908450485
breakout_vol20,delay_one_day,2024,366,0.19865191657241188
breakout_vol40,delay_one_day,2018,363,-0.20205415673516181
breakout_vol40,delay_one_day,2019,365,-0.053572436337655183
breakout_vol40,delay_one_day,2020,366,0.4938412792557636
breakout_vol40,delay_one_day,2021,365,0.7737419042149638
breakout_vol40,delay_one_day,2022,365,-0.072574543091284638
breakout_vol40,delay_one_day,2023,365,0.16652795243514329
breakout_vol40,delay_one_day,2024,366,0.37044797300353616
breakout_uncapped,delay_one_day,2018,363,-0.44598928677053973
breakout_uncapped,delay_one_day,2019,365,-0.055529677823038415
breakout_uncapped,delay_one_day,2020,366,0.86690316936197109
breakout_uncapped,delay_one_day,2021,365,1.362535023128383
breakout_uncapped,delay_one_day,2022,365,-0.11443358329834707
breakout_uncapped,delay_one_day,2023,365,0.18113891078709377
breakout_uncapped,delay_one_day,2024,366,0.34529952263170527
rotation_vol20,delay_one_day,2018,363,-0.11609721526941275
rotation_vol20,delay_one_day,2019,365,-0.036563396212501487
rotation_vol20,delay_one_day,2020,366,0.38350897235953085
rotation_vol20,delay_one_day,2021,365,0.42206052650363368
rotation_vol20,delay_one_day,2022,365,-0.13560170878610234
rotation_vol20,delay_one_day,2023,365,0.20149592267218552
rotation_vol20,delay_one_day,2024,366,0.34286347395505312
rotation_vol40,delay_one_day,2018,363,-0.22930849714630108
rotation_vol40,delay_one_day,2019,365,-0.091388636987683292
