scenario,asset,regime,entry_year,trades,mean_net_trade_return,median_net_trade_return,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5
base,BTC,TREND_DOWN,2022,2,0.021072419511049878,0.021072419511049878,1.0,134.1682823051115,1.0,1.0
base,BTC,TREND_DOWN,2023,2,-0.005397396198735027,-0.005397396198735027,0.0,2.886360762783982,,0.9892131086406564
base,BTC,TREND_DOWN,2024,4,-0.012978143695733468,-0.021672346062494963,0.25,,1.0,0.9122069969819956
base,BTC,TREND_DOWN,2025,3,0.010477417981173373,0.012456356558942394,0.6666666666666666,81.72052522943342,1.0,0.9940961096966499
base,BTC,RANGE,all,3,-0.0012135550789158882,-0.008214956266385354,0.3333333333333333,18.681791133549993,1.0,0.9386505079983748
base,BTC,RANGE,2020,0,,,,,,1.0
base,BTC,RANGE,2021,0,,,,,,1.0
base,BTC,RANGE,2022,0,,,,,,1.0
base,BTC,RANGE,2023,1,0.058148940164507446,0.058148940164507446,1.0,312.5037950388386,1.0,1.0
base,BTC,RANGE,2024,2,-0.030894802700627555,-0.030894802700627555,0.0,,,0.9386505079983748
base,BTC,RANGE,2025,0,,,,,,1.0
base,BTC,VOL_COMPRESSION,all,5,-0.0015409248026432066,-0.0017261881847302485,0.2,22.242282854097233,1.0,0.9862569173503775
base,BTC,VOL_COMPRESSION,2020,1,-0.006806363975790264,-0.006806363975790264,0.0,,,0.9931936360242097
base,BTC,VOL_COMPRESSION,2021,0,,,,,,1.0
base,BTC,VOL_COMPRESSION,2022,1,-0.0009363539817770494,-0.0009363539817770494,0.0,25.316072741354326,,0.999063646018223
base,BTC,VOL_COMPRESSION,2023,1,-0.0017261881847302485,-0.0017261881847302485,0.0,21.361658686357885,,0.9982738118152698
base,BTC,VOL_COMPRESSION,2024,0,,,,,,1.0
base,BTC,VOL_COMPRESSION,2025,2,0.0008821410645407646,0.0008821410645407646,0.5,34.34079212636981,1.0,0.9956651350263965
base,BTC,VOL_EXPANSION,all,9,0.004093677563039861,0.023426819054912285,0.6666666666666666,46.22351848325847,0.9708482985599952,0.8870054551259631
base,BTC,VOL_EXPANSION,2020,2,-0.01124967720317166,-0.01124967720317166,0.0,,,0.9775024282330155
base,BTC,VOL_EXPANSION,2021,2,0.02483102764136702,0.02483102764136702,1.0,151.6241757874466,1.0,1.0
base,BTC,VOL_EXPANSION,2022,3,-0.013386162254428532,0.024852668362581598,0.6666666666666666,,1.0,0.9035301400810449
base,BTC,VOL_EXPANSION,2023,0,,,,,,1.0
base,BTC,VOL_EXPANSION,2024,1,0.023426819054912285,0.023426819054912285,1.0,145.77287765418484,1.0,1.0
base,BTC,VOL_EXPANSION,2025,1,0.026412064899341336,0.026412064899341336,1.0,160.33279331867064,1.0,1.0
base,BTC,HIGH_VOL,all,6,-0.04042229167844683,-0.021599292844127482,0.3333333333333333,,1.0,0.7188099463133582
base,BTC,HIGH_VOL,2020,2,-0.08671212740246248,-0.08671212740246248,0.0,,,0.8304264308986092
base,BTC,HIGH_VOL,2021,2,0.010648148049874018,0.010648148049874018,0.5,81.07871185141653,1.0,0.982946988773441
base,BTC,HIGH_VOL,2022,2,-0.04520289568275204,-0.04520289568275204,0.5,,1.0,0.8806083878697788
base,BTC,HIGH_VOL,2023,0,,,,,,1.0
base,BTC,HIGH_VOL,2024,0,,,,,,1.0
base,BTC,HIGH_VOL,2025,0,,,,,,1.0
base,BTC,UNKNOWN,all,0,,,,,,1.0
base,BTC,UNKNOWN,2020,0,,,,,,1.0
base,BTC,UNKNOWN,2021,0,,,,,,1.0
base,BTC,UNKNOWN,2022,0,,,,,,1.0
base,BTC,UNKNOWN,2023,0,,,,,,1.0
base,BTC,UNKNOWN,2024,0,,,,,,1.0
base,BTC,UNKNOWN,2025,0,,,,,,1.0
base,ETH,TREND_UP,all,8,0.003654131911497313,-7.332888591443654e-05,0.5,46.34688975327458,1.0,0.9258950865434732
base,ETH,TREND_UP,2020,2,0.024247802917639505,0.024247802917639505,0.5,146.8796007432028,1.0,0.9893589502913136
base,ETH,TREND_UP,2021,0,,,,,,1.0
base,ETH,TREND_UP,2022,1,-0.029881514241086538,-0.029881514241086538,0.0,,,0.9701184857589135
base,ETH,TREND_UP,2023,3,-0.009912264766971454,-0.0059049527598519225,0.3333333333333333,,1.0,0.9646796390694244
base,ETH,TREND_UP,2024,0,,,,,,1.0
base,ETH,TREND_UP,2025,2,0.020177878999350196,0.020177878999350196,1.0,129.87748426100256,1.0,1.0
