scenario,gap_mode,regime_filter,asset,accounting_max_relative_error,replay_max_relative_error,cancelled_missing_entries,held_stale_marks,ignored_signals,deferred_exits,trades,win_fraction,geometric_break_even_one_way_bps,top5_positive_pnl_share,terminal_multiple_without_top5,combination
base,original,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
base,original,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
base,original,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,ALL,BTC,1.5497653213938167e-16,3.270241036913114e-16,0.0,0.0,2.0,0.0,50,0.46,2.968529291713967,0.4223332593409659,0.615956447066652,
base,past_gap_clean,ALL,ETH,3.1248382268497724e-16,4.502654890274519e-16,0.0,1.0,0.0,0.0,65,0.5692307692307692,56.71524383591913,0.35799766929271565,0.9041440166905048,
base,past_gap_clean,ALL,MIX,,,,,,,115,0.5217391304347826,,0.28045852281299966,0.8336413108645245,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,TREND_UP,BTC,1.8491697105189157e-16,2.477951074283269e-16,0.0,0.0,0.0,0.0,12,0.4166666666666667,16.82734619118491,1.0,0.8813980741161836,
base,past_gap_clean,TREND_UP,ETH,2.866842278565315e-16,2.2362588754074526e-16,0.0,0.0,0.0,0.0,8,0.5,46.34688975327458,1.0,0.925895086543473,
base,past_gap_clean,TREND_UP,MIX,,,,,,,20,0.45,,0.8039412752124222,0.9217122215727958,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,TREND_DOWN,BTC,2.048700823599504e-16,2.3594895170907944e-16,0.0,0.0,0.0,0.0,15,0.5333333333333333,33.53238953224173,0.813220221708555,0.898727944264468,
base,past_gap_clean,TREND_DOWN,ETH,2.1282519267429842e-16,0.0,0.0,0.0,0.0,0.0,14,0.5714285714285714,101.29193942128006,0.9743454493067054,0.913943701295768,
base,past_gap_clean,TREND_DOWN,MIX,,,,,,,29,0.5517241379310345,,0.7203758515865721,0.9517909553968709,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,RANGE,BTC,1.8661380510813655e-16,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,18.681791133549993,1.0,0.9386505079983749,
base,past_gap_clean,RANGE,ETH,1.857109231530745e-16,0.0,0.0,0.0,0.0,0.0,1,1.0,552.7253895994414,1.0,1.0,
base,past_gap_clean,RANGE,MIX,,,,,,,4,0.5,,1.0,0.9693252539991875,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,VOL_COMPRESSION,BTC,2.1195481357826796e-16,2.2198776076277403e-16,0.0,0.0,0.0,0.0,5,0.2,22.242282854097233,1.0,0.986256917350378,
base,past_gap_clean,VOL_COMPRESSION,ETH,2.0557239084289876e-16,1.1183781916431205e-16,0.0,0.0,0.0,0.0,3,0.3333333333333333,21.05115946738846,1.0,0.9899799617082305,
base,past_gap_clean,VOL_COMPRESSION,MIX,,,,,,,8,0.25,,1.0,0.9881184395293043,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,VOL_EXPANSION,BTC,2.2307921892637757e-16,2.465949731418975e-16,0.0,0.0,1.0,0.0,9,0.6666666666666666,46.22351848325847,0.97089012355255,0.8870054551259623,
base,past_gap_clean,VOL_EXPANSION,ETH,1.9057863896082878e-16,3.0275722377874335e-16,0.0,0.0,0.0,0.0,19,0.5263157894736842,,0.8201674040273217,0.6475138935605437,
base,past_gap_clean,VOL_EXPANSION,MIX,,,,,,,28,0.5714285714285714,,0.6027183738269678,0.8127004899141808,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,HIGH_VOL,BTC,1.5352302762394743e-16,1.534550276239949e-16,0.0,0.0,0.0,0.0,7,0.42857142857142855,,1.0,0.7188099463133579,
base,past_gap_clean,HIGH_VOL,ETH,2.5375353578388224e-16,2.3668902043221076e-16,0.0,1.0,0.0,0.0,20,0.65,96.19087902232879,0.6138756562852364,0.9315832585357386,
base,past_gap_clean,HIGH_VOL,MIX,,,,,,,27,0.5925925925925926,,0.5420238918989556,0.8639959286922625,"equal initial capital, no sleeve rebalancing"
base,past_gap_clean,UNKNOWN,BTC,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
base,past_gap_clean,UNKNOWN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,1.0,
base,past_gap_clean,UNKNOWN,MIX,,,,,,,0,,,,1.0,"equal initial capital, no sleeve rebalancing"
cost_stress,original,ALL,BTC,2.3730403863514106e-16,7.944413202058661e-16,0.0,0.0,2.0,0.0,50,0.38,2.968529291713967,0.5440901463883818,0.41082379976827377,
cost_stress,original,ALL,ETH,4.582723097732868e-16,2.2194405932709957e-16,0.0,1.0,0.0,0.0,65,0.4307692307692308,56.71524383591913,0.40801019816416634,0.526880023188083,
cost_stress,original,ALL,MIX,,,,,,,115,0.40869565217391307,,0.32707822996706826,0.5067361381543787,"equal initial capital, no sleeve rebalancing"
cost_stress,original,TREND_UP,BTC,1.6694473091406104e-16,1.3495399189831703e-16,0.0,0.0,0.0,0.0,12,0.3333333333333333,16.82734619118491,1.0,0.8205584594044044,
cost_stress,original,TREND_UP,ETH,2.924537015430186e-16,2.244635169253141e-16,0.0,0.0,0.0,0.0,8,0.375,46.34688975327458,1.0,0.8902491735650148,
cost_stress,original,TREND_UP,MIX,,,,,,,20,0.35,,0.8889978691412511,0.8619664883457888,"equal initial capital, no sleeve rebalancing"
