policy,family,profile,band,role,scenario,period,first_date,last_date,executed_rebalances,skipped_rebalances,cagr,cash_excess_sharpe,max_drawdown,annual_volatility,calmar,certainty_equivalent_gamma3,terminal_nav,mean_risky_exposure,annual_one_way_turnover,annual_arithmetic_execution_drag,worst_day,longest_underwater_days
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,candidate,base,2022_2024,2022-01-01,2024-12-31,1096,0,0.19762059007346622,0.68816153066250174,-0.38819137894785583,0.35050809336901112,0.50908031654152675,0.05692230076664459,1.7171053532412761,0.62446741081411383,8.3247385301048702,0.024974161544551707,-0.081295344628158683,700
fixed_blend_vol40_exact,fixed_blend,0.40000000000000002,0,candidate,base,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.53257423606009535,1.2805804824042331,-0.48661956425002006,0.39445867681517516,1.0944365479445957,0.27173961107234434,8.4524125836056658,0.5876970795106059,8.1023094471132122,0.024306787475144195,-0.21862734582536902,825
state_rule_vol40_exact,state_rule,0.40000000000000002,0,candidate,base,full,2018-01-03,2024-12-31,2555,0,0.29914555511492158,0.90951414801161967,-0.40323244925002144,0.3589497419540526,0.74186875503523397,0.13320249285900948,6.2337437028585789,0.47262388038027925,8.6814991080528596,0.026044435990231422,-0.22364378971620547,825
state_rule_vol40_exact,state_rule,0.40000000000000002,0,candidate,base,2018_2019,2018-01-03,2019-12-31,728,0,-0.099153719739314861,-0.20473207153588199,-0.37260820898227165,0.29553765746297622,-0.26610718000588252,-0.19151979729731228,0.81233644489879253,0.32377256197629878,7.5534094725538505,0.022660285065977941,-0.068846090961879658,528
state_rule_vol40_exact,state_rule,0.40000000000000002,0,candidate,base,2020_2021,2020-01-01,2021-12-31,731,0,1.127576878298044,1.9066374717271841,-0.3622901126871757,0.4498135223175504,3.1123589598804906,0.5541330096506516,4.5219074917186068,0.52640402665760722,7.9582797175845492,0.02387473462413818,-0.22364378971620547,166
state_rule_vol40_exact,state_rule,0.40000000000000002,0,candidate,base,2022_2024,2022-01-01,2024-12-31,1096,0,0.19293345429846798,0.70137857181977292,-0.31487279185551331,0.32684642813068138,0.61273460041285488,0.06900019959401435,1.6970370778519734,0.53562613664795367,9.9284710882042333,0.029785302283528964,-0.081295344628158683,698
state_rule_vol40_exact,state_rule,0.40000000000000002,0,candidate,base,2020_2024_carry,2020-01-01,2024-12-31,1827,0,0.50323484638085247,1.2613789203825894,-0.38087013540236203,0.38106484631060844,1.3212767282192417,0.26285153879444118,7.6738446760630721,0.53193628311596497,9.1353888474372145,0.027406058201580003,-0.22364378971620547,825
trend_vol40_band2,trend,0.40000000000000002,0.02,control,base,full,2018-01-03,2024-12-31,991,1564,0.28491012529931337,0.89628921765565239,-0.39228753564110286,0.34723462853543041,0.72627881187632926,0.13036482267176447,5.771511261160045,0.45451574087921032,9.9721577451879782,0.029916357371413526,-0.20806979893269728,827
trend_vol40_band2,trend,0.40000000000000002,0.02,control,base,2018_2019,2018-01-03,2019-12-31,242,486,-0.090118152038538679,-0.17465884851849578,-0.37096824243155169,0.29332217173458996,-0.24292686470369931,-0.18028815740675241,0.82863453093421779,0.32176587001860707,7.2948109206398524,0.021884461843554737,-0.070109916671524219,528
trend_vol40_band2,trend,0.40000000000000002,0.02,control,base,2020_2021,2020-01-01,2021-12-31,420,311,1.093503183373159,1.8909937070334051,-0.34528331528674594,0.4431863393684955,3.1669737139341416,0.54344138168472522,4.3783250339803788,0.51729210175842655,10.210860719861694,0.030632251764768536,-0.20806979893269728,166
trend_vol40_band2,trend,0.40000000000000002,0.02,control,base,2022_2024,2022-01-01,2024-12-31,329,767,0.16748740827801423,0.65997036083452632,-0.29174468093938932,0.30393774012341385,0.57408898677679798,0.062022675213488143,1.5908107639434086,0.50082266257976882,11.608799101740535,0.034826328016479287,-0.079982997245178988,701
trend_vol40_band2,trend,0.40000000000000002,0.02,control,base,2020_2024_carry,2020-01-01,2024-12-31,749,1078,0.47437644966471781,1.24387207273486,-0.38820877554327737,0.3663148044400904,1.2219622006247886,0.25436895114438773,6.965086592098892,0.50741224114550432,11.04357247639919,0.033130543793168592,-0.20806979893269728,827
allocation_vol40_band2,allocation,0.40000000000000002,0.02,control,base,full,2018-01-03,2024-12-31,1251,1304,0.29824752829494039,0.82163171883109809,-0.63394524086300963,0.43151024118974313,0.47046260318781891,0.075240868784504922,6.2036752052235435,0.61923842818821495,3.8917382570451156,0.011675169580280691,-0.21797596917397399,934
allocation_vol40_band2,allocation,0.40000000000000002,0.02,control,base,2018_2019,2018-01-03,2019-12-31,373,355,-0.20569566336765743,-0.33883573586105215,-0.63394524086300963,0.41852173196578324,-0.32446913409687789,-0.40455077921592664,0.6323131886056147,0.51148448047875106,4.131840768970787,0.01239556392960876,-0.11919511522372706,717
allocation_vol40_band2,allocation,0.40000000000000002,0.02,control,base,2020_2021,2020-01-01,2021-12-31,399,332,1.345194206480564,2.102588003734525,-0.35626563295703406,0.45523992116471734,3.7758180470996918,0.64631691832889848,5.4935221268143151,0.54099812532794123,4.0301853711258824,0.012090408711622178,-0.21797596917397399,163
allocation_vol40_band2,allocation,0.40000000000000002,0.02,control,base,2022_2024,2022-01-01,2024-12-31,479,617,0.21342465490699336,0.66775865747525676,-0.51018358406493181,0.42274798796308449,0.41832913008786754,0.014219836902341021,1.7859361731302894,0.74299621589200138,3.6471378525384188,0.010941378786965406,-0.11485850586950652,699
allocation_vol40_band2,allocation,0.40000000000000002,0.02,control,base,2020_2024_carry,2020-01-01,2024-12-31,878,949,0.57895778116418062,1.2660417501576942,-0.58901769254393943,0.43625959056795588,0.98292086722164396,0.26683921002195321,9.811079884169347,0.66217486712225404,3.7982756130621373,0.011394747059809042,-0.21797596917397399,825
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,candidate,base,full,2018-01-03,2024-12-31,1080,1475,0.30049149609947068,0.8835918009542516,-0.51052933004138246,0.3788749202459335,0.58858811515317533,0.11945146532945913,6.2790434906968313,0.53802337716666382,6.5362700950854382,0.019608727073428207,-0.21302662736942013,930
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,candidate,base,2018_2019,2018-01-03,2019-12-31,276,452,-0.1425001631692665,-0.27689082604294485,-0.51052933004138246,0.34233972642982541,-0.27912238295440484,-0.27058546207654166,0.73638998840492909,0.41767909769961031,5.3607969289553736,0.016082431623648363,-0.088300460342973008,717
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,candidate,base,2020_2021,2020-01-01,2021-12-31,423,308,1.2196638501639825,2.0056323522532864,-0.35069201976943287,0.44819792974906075,3.4778774007058009,0.59759819177064588,4.9215327207308492,0.52940495829685819,6.8020987081994733,0.020406023151397366,-0.21302662736942013,163
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,candidate,base,2022_2024,2022-01-01,2024-12-31,381,715,0.20120253659916698,0.69768410477307119,-0.38218350589612371,0.34948295820919095,0.5264553113756123,0.060621197713653402,1.7325478537725292,0.62370832209900218,7.1514177155361098,0.021454213931162751,-0.079982997245178877,699
fixed_blend_vol40_band2,fixed_blend,0.40000000000000002,0.02,candidate,base,2020_2024_carry,2020-01-01,2024-12-31,804,1023,0.53526238719359243,1.2899433165101171,-0.48072450438276149,0.39221649194810604,1.1134493505398819,0.27518637757938547,8.5267909525735277,0.58597665327614112,7.0078501946865579,0.02102341793819457,-0.21302662736942013,825
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,base,full,2018-01-03,2024-12-31,974,1581,0.30288806904433585,0.92127927528928766,-0.39343492532863256,0.35645964536794661,0.76985557088338374,0.13780366559069496,6.3604025641455717,0.47052801872620925,7.8318202830532879,0.023495396308857962,-0.2179759691739741,825
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,base,2018_2019,2018-01-03,2019-12-31,244,484,-0.089986785958593551,-0.1735699021807374,-0.36706122022772925,0.29367021191482612,-0.24515470717054952,-0.18033560000460114,0.82887267321161961,0.32282813965043744,6.7889551862242588,0.020366921150809403,-0.068850420636509591,528
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,base,2020_2021,2020-01-01,2021-12-31,397,334,1.1267667188264476,1.9185339494021976,-0.35626563295703373,0.4457916462659039,3.1627151613648286,0.55717111990033485,4.5184667111369272,0.52315984956691119,6.9920772647960963,0.020976120230817016,-0.2179759691739741,166
state_rule_vol40_band2,state_rule,0.40000000000000002,0.02,candidate,base,2022_2024,2022-01-01,2024-12-31,333,763,0.19322152113859858,0.70390843434832295,-0.31474678721220561,0.32530468731654616,0.6138951340854405,0.070250003749986967,1.6982659226547618,0.53353134319939244,9.0983398897095054,0.027294906600628655,-0.079982997245178988,698
