policy,comparator,scenario,period,cagr_difference,sharpe_difference,drawdown_difference,volatility_difference
fixed_blend_vol40_exact,trend_vol40_exact,frictionless,full,0.00086352375304588058,-0.049041440484934751,-0.11587857307041616,0.031532289653912415
fixed_blend_vol40_exact,allocation_vol40_exact,frictionless,full,0.012968014815611273,0.086634362532252429,0.13039093818902536,-0.053588947843789703
fixed_blend_vol40_exact,state_rule_vol40_exact,frictionless,full,-0.0082996273513549212,-0.051935754601627471,-0.11176776049932879,0.022088119708502107
fixed_blend_vol40_exact,trend_vol40_exact,frictionless,2018_2019,-0.058647713824044989,-0.12757049161905082,-0.14411886787097516,0.048938358312600794
fixed_blend_vol40_exact,allocation_vol40_exact,frictionless,2018_2019,0.066578705507326919,0.072388399455635244,0.13039093818902536,-0.077759616478528915
fixed_blend_vol40_exact,state_rule_vol40_exact,frictionless,2018_2019,-0.055994378876284001,-0.11837344360317772,-0.14551203675272628,0.048609564384000215
fixed_blend_vol40_exact,trend_vol40_exact,frictionless,2020_2021,0.1047542597119433,0.088202614035071347,-0.0058746413829499078,0.004948998117079495
fixed_blend_vol40_exact,allocation_vol40_exact,frictionless,2020_2021,-0.10721273544318199,-0.07507398720032521,0.005852655091205472,-0.0073643521481969731
fixed_blend_vol40_exact,state_rule_vol40_exact,frictionless,2020_2021,0.09331038908398348,0.085512938621983503,0.005852655091205361,0.0020569250048829701
fixed_blend_vol40_exact,trend_vol40_exact,frictionless,2022_2024,0.016569247327842929,-0.020148306813060346,-0.096386982279053957,0.045500266052644733
fixed_blend_vol40_exact,allocation_vol40_exact,frictionless,2022_2024,0.00065005036039988973,0.066219052237646792,0.13108830547599915,-0.074460484359055001
fixed_blend_vol40_exact,state_rule_vol40_exact,frictionless,2022_2024,-0.0011007987259177288,-0.033228687395880141,-0.06629551332871042,0.023747993882897223
fixed_blend_vol40_exact,trend_vol40_exact,frictionless,2020_2024_carry,0.0418540731070427,0.0060962421305978953,-0.11193975135805789,0.025790542127448135
fixed_blend_vol40_exact,allocation_vol40_exact,frictionless,2020_2024_carry,-0.028702766203286156,0.052896972081628135,0.11066595225598896,-0.044772387608908726
fixed_blend_vol40_exact,state_rule_vol40_exact,frictionless,2020_2024_carry,0.025273806504449992,0.0087964350229574606,-0.11098572293360176,0.013431531589777168
state_rule_vol40_exact,trend_vol40_exact,frictionless,full,0.0091631511044008018,0.00289431411669272,-0.0041108125710873633,0.0094441699454103079
state_rule_vol40_exact,allocation_vol40_exact,frictionless,full,0.021267642166966194,0.1385701171338799,0.24215869868835416,-0.07567706755229181
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,full,0.0082996273513549212,0.051935754601627471,0.11176776049932879,-0.022088119708502107
state_rule_vol40_exact,trend_vol40_exact,frictionless,2018_2019,-0.002653334947760988,-0.00919704801587308,0.0013931688817511167,0.00032879392860057921
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2018_2019,0.12257308438361092,0.19076184305881297,0.27590297494175164,-0.12636918086252913
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2018_2019,0.055994378876284001,0.11837344360317772,0.14551203675272628,-0.048609564384000215
state_rule_vol40_exact,trend_vol40_exact,frictionless,2020_2021,0.011443870627959818,0.0026896754130878442,-0.011727296474155269,0.0028920731121965249
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2020_2021,-0.20052312452716547,-0.16058692582230871,1.1102230246251565e-16,-0.0094212771530799433
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2020_2021,-0.09331038908398348,-0.085512938621983503,-0.005852655091205361,-0.0020569250048829701
state_rule_vol40_exact,trend_vol40_exact,frictionless,2022_2024,0.017670046053760657,0.013080380582819795,-0.030091468950343536,0.021752272169747511
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2022_2024,0.0017508490863176185,0.099447739633526933,0.19738381880470957,-0.098208478241952224
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2022_2024,0.0011007987259177288,0.033228687395880141,0.06629551332871042,-0.023747993882897223
state_rule_vol40_exact,trend_vol40_exact,frictionless,2020_2024_carry,0.016580266602592708,-0.0027001928923595653,-0.00095402842445613256,0.012359010537670967
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2020_2024_carry,-0.053976572707736148,0.044100537058670675,0.22165167518959072,-0.058203919198685894
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2020_2024_carry,-0.025273806504449992,-0.0087964350229574606,0.11098572293360176,-0.013431531589777168
fixed_blend_vol40_band2,trend_vol40_band2,frictionless,full,0.0023066823408397497,-0.047087089691711492,-0.12389370846908021,0.031634224790456689
fixed_blend_vol40_band2,allocation_vol40_band2,frictionless,full,0.012752587277375493,0.086662418644172456,0.12708806790322758,-0.052643263068032187
fixed_blend_vol40_band2,state_rule_vol40_band2,frictionless,full,-0.0076233552441800079,-0.051875447544938003,-0.12010559058044501,0.022427007913341457
fixed_blend_vol40_band2,trend_vol40_band2,frictionless,2018_2019,-0.058614481191295309,-0.1298798811461386,-0.14711468971007491,0.04896369319493632
fixed_blend_vol40_band2,allocation_vol40_band2,frictionless,2018_2019,0.067191276383668508,0.079314976153753658,0.12708806790322758,-0.07615755276224101
fixed_blend_vol40_band2,state_rule_vol40_band2,frictionless,2018_2019,-0.057338004154055877,-0.12575086103090372,-0.1494030023172036,0.048596607826352556
fixed_blend_vol40_band2,trend_vol40_band2,frictionless,2020_2021,0.10679116853339821,0.091045837497485405,-0.0058931195426680238,0.0050116434257692632
fixed_blend_vol40_band2,allocation_vol40_band2,frictionless,2020_2021,-0.10829397556891873,-0.077920672963255999,0.0059941514829853215,-0.0070584466689131431
fixed_blend_vol40_band2,state_rule_vol40_band2,frictionless,2020_2021,0.093572071672087365,0.085669586565235489,0.0059941514829857656,0.0023787461064512794
fixed_blend_vol40_band2,trend_vol40_band2,frictionless,2022_2024,0.018380110713232201,-0.015489506870991043,-0.090479555196172234,0.045570146965473068
fixed_blend_vol40_band2,allocation_vol40_band2,frictionless,2022_2024,0.00048040722026110316,0.065435484325924387,0.13254791652992992,-0.073297962329932687
fixed_blend_vol40_band2,state_rule_vol40_band2,frictionless,2022_2024,0.0010051540521183178,-0.028872437422645336,-0.061474600382333766,0.024263394529937921
