policy,comparator,scenario,year,state_return,comparator_return,return_difference
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2023,0.29852142894701261,0.29505245879781472,0.0034689701491978919
state_rule_vol20_band2,trend_vol20_band2,delay_one_day,2024,0.32611276232957853,0.31688027631720295,0.0092324860123755847
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2018,-0.20689279561209328,-0.29974511367042034,0.092852318058327055
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2019,0.091128923287641106,0.1869910362874867,-0.095862112999845595
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2020,0.67286839587903202,0.74098634319560341,-0.068117947316571392
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2021,0.37870758121212345,0.37632521925843654,0.0023823619536869067
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2022,-0.14128180039672111,-0.25883713818148402,0.1175553377847629
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2023,0.29852142894701261,0.4724634162067276,-0.17394198725971499
state_rule_vol20_band2,allocation_vol20_band2,delay_one_day,2024,0.32611276232957853,0.32460879625347494,0.0015039660761035911
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2018,-0.20689279561209328,-0.26144333140455278,0.054550535792459498
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2019,0.091128923287641106,0.13913058051951399,-0.048001657231872885
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2020,0.67286839587903202,0.71154484519760741,-0.03867644931857539
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2021,0.37870758121212345,0.37248798056363497,0.0062196006484884769
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2022,-0.14128180039672111,-0.19942654681953209,0.058144746422810978
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2023,0.29852142894701261,0.38551735570160472,-0.086995926754592112
state_rule_vol20_band2,fixed_blend_vol20_band2,delay_one_day,2024,0.32611276232957853,0.32147078584447897,0.0046419764850995637
state_rule_vol40_exact,trend_vol40_exact,frictionless,2018,-0.27217353194731742,-0.27375249856197714,0.001578966614659727
state_rule_vol40_exact,trend_vol40_exact,frictionless,2019,0.1676162635127898,0.17687073414942334,-0.0092544706366335383
state_rule_vol40_exact,trend_vol40_exact,frictionless,2020,1.5278486134987617,1.5263264358147715,0.0015221776839902112
state_rule_vol40_exact,trend_vol40_exact,frictionless,2021,0.87627623576702818,0.85775196384113817,0.018524271925890012
state_rule_vol40_exact,trend_vol40_exact,frictionless,2022,-0.22627671271099215,-0.22585120295426386,-0.00042550975672828173
state_rule_vol40_exact,trend_vol40_exact,frictionless,2023,0.4977109945540219,0.42159842456972729,0.076112569984294609
state_rule_vol40_exact,trend_vol40_exact,frictionless,2024,0.60129344187308997,0.6144628565296153,-0.013169414656525325
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2018,-0.27217353194731742,-0.53174139991777725,0.25956786797045983
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2019,0.1676162635127898,0.36602673013966469,-0.19841046662687489
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2020,1.5278486134987617,2.0133799530400074,-0.48553133954124572
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2021,0.87627623576702818,0.87675381353877446,-0.0004775777717462848
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2022,-0.22627671271099215,-0.46873956692836871,0.24246285421737657
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2023,0.4977109945540219,1.0396266862681571,-0.54191569171413523
state_rule_vol40_exact,allocation_vol40_exact,frictionless,2024,0.60129344187308997,0.70518033529237201,-0.10388689341928203
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2018,-0.27217353194731742,-0.41048555991477476,0.13831202796745734
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2019,0.1676162635127898,0.27245765219511164,-0.10484138868232185
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2020,1.5278486134987617,1.7620777789813777,-0.23422916548261608
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2021,0.87627623576702818,0.8672737899271088,0.0090024458399193819
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2022,-0.22627671271099215,-0.3475960385089556,0.12131932579796345
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2023,0.4977109945540219,0.70814860062916063,-0.21043760607513873
state_rule_vol40_exact,fixed_blend_vol40_exact,frictionless,2024,0.60129344187308997,0.66064072727066359,-0.059347285397573613
state_rule_vol40_exact,trend_vol40_exact,base,2018,-0.28902438568706756,-0.29256048579821503,0.0035361001111474666
state_rule_vol40_exact,trend_vol40_exact,base,2019,0.14256583284338387,0.15121243773885373,-0.0086466048954698671
state_rule_vol40_exact,trend_vol40_exact,base,2020,1.4531098904815511,1.4183038874849898,0.034806002996561336
state_rule_vol40_exact,trend_vol40_exact,base,2021,0.8433367005955652,0.81470946714939907,0.028627233446166134
state_rule_vol40_exact,trend_vol40_exact,base,2022,-0.24541417129959509,-0.24549347411052747,7.9302810932380119e-05
state_rule_vol40_exact,trend_vol40_exact,base,2023,0.43973578060921081,0.35145789713802866,0.08827788347118215
state_rule_vol40_exact,trend_vol40_exact,base,2024,0.56206782991854243,0.557797121963443,0.0042707079550994287
state_rule_vol40_exact,allocation_vol40_exact,base,2018,-0.28902438568706756,-0.53906695832893958,0.25004257264187202
state_rule_vol40_exact,allocation_vol40_exact,base,2019,0.14256583284338387,0.34705962695516601,-0.20449379411178215
state_rule_vol40_exact,allocation_vol40_exact,base,2020,1.4531098904815511,1.9676420588380243,-0.5145321683564732
state_rule_vol40_exact,allocation_vol40_exact,base,2021,0.8433367005955652,0.84964851840769806,-0.0063118178121328583
state_rule_vol40_exact,allocation_vol40_exact,base,2022,-0.24541417129959509,-0.47565181694138303,0.23023764564178795
state_rule_vol40_exact,allocation_vol40_exact,base,2023,0.43973578060921081,1.0179407356860857,-0.57820495507687486
state_rule_vol40_exact,allocation_vol40_exact,base,2024,0.56206782991854243,0.6762229391860819,-0.11415510926753947
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2018,-0.28902438568706756,-0.42270708507094878,0.13368269938388122
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2019,0.14256583284338387,0.25029483354749771,-0.10772900070411384
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2020,1.4531098904815511,1.6857019230722705,-0.23259203259071937
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2021,0.8433367005955652,0.83284582921693873,0.010490871378626476
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2022,-0.24541417129959509,-0.36058793225751684,0.11517376095792176
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2023,0.43973578060921081,0.65854249626847983,-0.21880671565926901
state_rule_vol40_exact,fixed_blend_vol40_exact,base,2024,0.56206782991854243,0.61915904354805806,-0.057091213629515636
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2018,-0.31356577043740697,-0.31985692156464074,0.0062911511272337739
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2019,0.10600648703772175,0.11377980716412939,-0.0077733201264076346
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2020,1.3451258129750103,1.2648520636367833,0.080273749338227063
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2021,0.7950086907788354,0.75200749520627497,0.043001195572560436
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2022,-0.27323662556182549,-0.27402638320123951,0.00078975763941402377
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2023,0.35693129077607999,0.25266162810560977,0.10426966267047022
state_rule_vol40_exact,trend_vol40_exact,cost_stress,2024,0.50498112575792353,0.47647973655404607,0.028501389203877459
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2018,-0.31356577043740697,-0.54983863488998552,0.23627286445257856
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2019,0.10600648703772175,0.31911053339200479,-0.21310404635428304
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2020,1.3451258129750103,1.9003054534282255,-0.55517964045321522
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2021,0.7950086907788354,0.80972201138742039,-0.01471332060858499
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2022,-0.27323662556182549,-0.48585040113168232,0.21261377556985683
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2023,0.35693129077607999,0.98586022563817921,-0.62892893486209922
state_rule_vol40_exact,allocation_vol40_exact,cost_stress,2024,0.50498112575792353,0.63368306392530638,-0.12870193816738285
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2018,-0.31356577043740697,-0.44055993474132671,0.12699416430391974
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2019,0.10600648703772175,0.21778196286731988,-0.11177547582959813
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2020,1.3451258129750103,1.5750554423524274,-0.22992962937741712
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2021,0.7950086907788354,0.78238973609606011,0.012618954682775296
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2022,-0.27323662556182549,-0.37958987554026247,0.10635324997843698
state_rule_vol40_exact,fixed_blend_vol40_exact,cost_stress,2023,0.35693129077607999,0.58681789135356599,-0.229886600577486
