year,asset,model,rows,dates,mse,mae,correlation
2018,GLD,mlp32,52,52,0.00022604959946778103,0.011396656817465255,-0.12727762656897149
2018,GLD,sequence16,52,52,0.00023310991151170813,0.012454130589235207,-0.17937419194694115
2018,GLD,sequence32,52,52,0.0004249009222953845,0.016746733203939615,-0.31861239551937603
2018,GLD,selected,52,52,0.00015293945701141647,0.009705769449966345,-0.03706398114425405
2018,GLD,zero,52,52,0.00014035942786670347,0.009338280349723223,
2018,GLD,past_mean,52,52,0.00014166929516155048,0.009423624170628787,
2019,pooled,ridge1,156,52,0.00030680064748629405,0.01351150776327628,0.17152542475127724
2019,pooled,ridge100,156,52,0.00030670427611055676,0.013502028679824826,0.1700075944576113
2019,pooled,gbm2,156,52,0.000309844287785996,0.013485309124253612,0.09808768381239535
2019,pooled,gbm3,156,52,0.0003171569808301994,0.013664855400296135,0.07620194704391271
2019,pooled,mlp16,156,52,0.00035045538662298114,0.014356887678208769,0.04444520486987678
2019,pooled,mlp32,156,52,0.00042483742285844895,0.015107354934290287,0.1244891054451496
2019,pooled,sequence16,156,52,0.0003329771408440262,0.014468960654764395,0.20327910808556895
2019,pooled,sequence32,156,52,0.000428509614318352,0.016800153815000655,0.14347160590956903
2019,pooled,selected,156,52,0.00030670427611055676,0.013502028679824826,0.1700075944576113
2019,pooled,zero,156,52,0.0003188270577328959,0.013813291265552486,
2019,pooled,past_mean,156,52,0.00030698415778597455,0.013448383298633581,0.036581558092347574
2019,SPY,ridge1,52,52,0.0002506736588858342,0.012200325732623517,0.3651971720112847
2019,SPY,ridge100,52,52,0.0002510989838026283,0.012207510170316242,0.3567787710252086
2019,SPY,gbm2,52,52,0.00027185483868725157,0.01277161785739848,-0.05782830828944631
2019,SPY,gbm3,52,52,0.0002816688704931681,0.012843899243313674,-0.06697427081693015
2019,SPY,mlp16,52,52,0.00027683791181076534,0.012759586326855359,0.1128096237264995
2019,SPY,mlp32,52,52,0.000291269331041601,0.012978593545701661,0.16233662934524642
2019,SPY,sequence16,52,52,0.000251271432141014,0.012090397591402504,0.3099886430882716
2019,SPY,sequence32,52,52,0.00036131882776642616,0.015337352310716037,0.1728299584113386
2019,SPY,selected,52,52,0.0002510989838026283,0.012207510170316242,0.3567787710252086
2019,SPY,zero,52,52,0.0002711955352673698,0.012680679682133683,
2019,SPY,past_mean,52,52,0.00025909114836292945,0.01229792292472711,-6.018421407852655e-17
2019,QQQ,ridge1,52,52,0.0003695141814309081,0.015048639571378418,0.27562017747289574
2019,QQQ,ridge100,52,52,0.0003703428005007254,0.015062812277208838,0.2660072730914494
2019,QQQ,gbm2,52,52,0.0003807160371951298,0.01504100822956897,0.09837892659873886
2019,QQQ,gbm3,52,52,0.0003927263500465092,0.015327600191220345,0.08396048584598631
2019,QQQ,mlp16,52,52,0.00046544985587813556,0.01656082780060962,-0.08167128641886263
2019,QQQ,mlp32,52,52,0.0006054001431483886,0.017322821156102366,-0.009097784093758976
2019,QQQ,sequence16,52,52,0.00038512295377116833,0.01577413943089587,0.29036026154540057
2019,QQQ,sequence32,52,52,0.0005212289779874248,0.018697449676110086,0.17532685504579865
2019,QQQ,selected,52,52,0.0003703428005007254,0.015062812277208838,0.2660072730914494
2019,QQQ,zero,52,52,0.00040093851755908304,0.01581920436832349,
2019,QQQ,past_mean,52,52,0.0003799633803978492,0.015182293169134222,-6.755874984171617e-17
2019,GLD,ridge1,52,52,0.00030021410214213994,0.013285557985826903,0.07108579301775424
2019,GLD,ridge100,52,52,0.00029867104402831666,0.013235763591949393,0.06656612154756228
2019,GLD,gbm2,52,52,0.0002769619874756066,0.012643301285793383,0.1965873570031345
2019,GLD,gbm3,52,52,0.00027707572195092135,0.012823066766354389,0.19247513155426701
2019,GLD,mlp16,52,52,0.0003090783921800424,0.013750248907161328,0.20509646517482621
2019,GLD,mlp32,52,52,0.00037784279438535733,0.015020650101066828,0.3214873947460356
2019,GLD,sequence16,52,52,0.00036253703661989626,0.015542344941994805,0.008092062917411118
2019,GLD,sequence32,52,52,0.0004029810372012049,0.016365659458175842,0.05267666993903551
2019,GLD,selected,52,52,0.00029867104402831666,0.013235763591949393,0.06656612154756228
2019,GLD,zero,52,52,0.000284347120372235,0.012939989746200288,
2019,GLD,past_mean,52,52,0.0002818979445971447,0.012864933802039406,
2020,pooled,ridge1,159,53,0.001416145993186993,0.02751925920185778,0.27424680791949335
2020,pooled,ridge100,159,53,0.0014145885773519681,0.027501359459600583,0.277777157711098
2020,pooled,gbm2,159,53,0.0014789328886634463,0.028352145750664748,0.1483870909211826
2020,pooled,gbm3,159,53,0.00150218458990496,0.02858081873586956,0.10299706530303677
2020,pooled,mlp16,159,53,0.0014595349247182705,0.02746939499517652,0.172521218453327
2020,pooled,mlp32,159,53,0.0019537570086026477,0.03297796501731793,0.16473926611281534
2020,pooled,sequence16,159,53,0.0017176497847379078,0.03095800080699081,0.025949339069679535
2020,pooled,sequence32,159,53,0.0016752057003993157,0.03042136725721517,0.16506369139568994
2020,pooled,selected,159,53,0.0014145885773519681,0.027501359459600583,0.277777157711098
2020,pooled,zero,159,53,0.0015215251960984447,0.028628600393380246,
2020,pooled,past_mean,159,53,0.0014950733512845754,0.028168748313507717,0.06344219985228924
2020,SPY,ridge1,53,53,0.0015817908802596764,0.027593020261193188,0.29064267451308734
2020,SPY,ridge100,53,53,0.001581507466213929,0.02760115470004615,0.2926216460323485
2020,SPY,gbm2,53,53,0.0016519412974177199,0.028532885437475623,0.16362343908713378
2020,SPY,gbm3,53,53,0.001671196147223666,0.028663503932105885,0.12863605568384598
2020,SPY,mlp16,53,53,0.0016887073382770557,0.02778026526549526,0.17505442705154686
2020,SPY,mlp32,53,53,0.0026815573026948477,0.037402387560245644,0.17041003125966556
2020,SPY,sequence16,53,53,0.0019857381898626234,0.03141170542897102,0.03254657519941617
2020,SPY,sequence32,53,53,0.0019197656445162586,0.029809420165587894,0.17627638143365654
2020,SPY,selected,53,53,0.001581507466213929,0.02760115470004615,0.2926216460323485
2020,SPY,zero,53,53,0.0017121185498911893,0.029413899468232217,
2020,SPY,past_mean,53,53,0.0016943275528358902,0.028861514527696447,
