training_mse,validation_mse,validation_rows,training_rows,training_dates,last_training_outcome,first_validation_signal,warnings,candidate,outer_year,validation_year,stage
0.0005310063742400116,0.0004054119683122938,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge100,2022,2021,inner
0.0005038434668940882,0.0004026148685413657,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm2,2022,2021,inner
0.0004911461334523513,0.0004070996436612835,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm3,2022,2021,inner
0.0005024853586395274,0.00040846678837529155,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2022,2021,inner
0.00040203444357448574,0.00046679712458890963,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2022,2021,inner
0.00038772262422081036,0.0004991057240773763,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2022,2021,inner
0.00023185064902592502,0.00058637898973155,153,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2022,2021,inner
0.0005092227316490031,0.0010087784730323061,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,ridge1,2022,2022,outer
0.0005092378528007234,0.0010075961192618048,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,ridge100,2022,2022,outer
0.00048399380080937487,0.0010669384687663987,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,gbm2,2022,2022,outer
0.00046994883335098434,0.001089970242525849,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,gbm3,2022,2022,outer
0.00047795026966099426,0.0009880252636816718,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2022,2022,outer
0.00038857237257303753,0.0011182135822961653,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2022,2022,outer
0.00038712973988636707,0.0012448717449917936,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2022,2022,outer
0.00023885315730797768,0.0013901033403794537,156,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2022,2022,outer
0.0005309800442230701,0.0004288956950351088,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge1,2023,2021,inner
0.0005310063742400116,0.0004287517011897439,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,ridge100,2023,2021,inner
0.0005038434668940882,0.00042384633361548807,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm2,2023,2021,inner
0.0004911461334523513,0.00042785286818601494,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,,gbm3,2023,2021,inner
0.0005024853586395274,0.0004255102359119805,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2023,2021,inner
0.00040203444357448574,0.0004792908468486666,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2023,2021,inner
0.00038772262422081036,0.0005100927013791112,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2023,2021,inner
0.00023185064902592502,0.0006029470116859898,156,4746,1582,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2023,2021,inner
0.0005092227316490031,0.0010258848940627103,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,ridge1,2023,2022,inner
0.0005092378528007234,0.0010246892946001078,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,ridge100,2023,2022,inner
0.00048399380080937487,0.0010835267652613383,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,gbm2,2023,2022,inner
0.00046994883335098434,0.0011058044579818154,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,,gbm3,2023,2022,inner
0.00047795026966099426,0.0010044523473180253,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2023,2022,inner
0.00038857237257303753,0.0011343391691432396,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2023,2022,inner
0.00038712973988636707,0.0012645899435880506,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2023,2022,inner
0.00023885315730797768,0.0014140802332077234,153,5502,1834,2022-01-06 00:00:00+00:00,2022-01-07 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2023,2022,inner
0.0005807495878264624,0.00042114705379535627,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,,ridge1,2023,2023,outer
0.0005807713450952906,0.0004199723320432193,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,,ridge100,2023,2023,outer
0.0005516568208497938,0.0004199087327677155,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,,gbm2,2023,2023,outer
0.0005293463387441681,0.0004247302350581289,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,,gbm3,2023,2023,outer
0.0005285995490577775,0.0004676968573340709,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp16,2023,2023,outer
0.00042757976557412534,0.0005365996394716242,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,mlp32,2023,2023,outer
0.0004527326351276905,0.0004338880106714202,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence16,2023,2023,outer
0.00026799822581065607,0.0005757101280127297,156,6252,2084,2023-01-05 00:00:00+00:00,2023-01-06 00:00:00+00:00,Stochastic Optimizer: Maximum iterations (150) reached and the optimization hasn't converged yet.,sequence32,2023,2023,outer
