scenario,policy,period,observations,first_date,last_date,cagr,annualized_mean_return,annualized_volatility,excess_sharpe,calmar,max_drawdown,longest_underwater_sessions,worst_day,expected_shortfall_95,certainty_equivalent_gamma3,spy_beta,descriptive_alpha_annual,positive_day_fraction,annual_one_way_turnover,mean_gross_exposure,max_gross_exposure,mean_net_exposure,rebalances,annual_execution_drag,annual_funding_drag,annual_borrow_drag,pareto_cagr_sharpe_drawdown,role,family
base,sector_reversal_10_g150,2008_2016,2142,2008-07-01,2016-12-30,-0.0471113144656,-0.0456247052259,0.0725870064749,-0.629547032641,-0.108829234602,-0.432892086743,1798,-0.0293813921069,-0.0106173208667,-0.0535280154894,0.0612826036924,-0.0529205544152,0.471055088702,77.7621570304,1.48109308424,1.61090483727,-0.0359540755328,444,0.0388814825853,9.71577040992e-05,0.00759090643638,False,candidate,sector_reversal
base,sector_reversal_10_g150,2017_2024,2012,2017-01-03,2024-12-31,-0.0611534062521,-0.0597488226526,0.0827210340694,-0.964054738153,-0.144423617812,-0.423430787697,1563,-0.0442629094127,-0.0125123318462,-0.0700129768689,-0.000224521811409,-0.0797812551322,0.469184890656,78.2227016216,1.48829368028,1.59811590247,-0.0545876620981,418,0.0391115555887,0.000174598784666,0.00773331811331,False,candidate,sector_reversal
base,sector_reversal_3_g100,full,4154,2008-07-01,2024-12-31,-0.0365773461908,-0.035804888811,0.0547835021249,-0.832091092059,-0.0684156984292,-0.534633819878,4061,-0.0310201855577,-0.00817876798937,-0.0403067369686,0.0268953501114,-0.0490851463414,0.473760231103,74.1911744026,0.99896619842,1.1173057555,-0.0232536742696,862,0.0370965567619,9.1845799326e-05,0.00511761142748,False,candidate,sector_reversal
base,sector_reversal_3_g100,2008_2016,2142,2008-07-01,2016-12-30,-0.0268780884972,-0.0257706047467,0.0544125178323,-0.480025461145,-0.083514745266,-0.321836442314,2049,-0.0293526989964,-0.0078510423142,-0.030211687892,0.0413559540948,-0.0308656373688,0.472922502334,73.6743291674,0.998695436293,1.09591733816,-0.0195475057394,444,0.0368398242135,6.48101435233e-05,0.00509582553046,False,candidate,sector_reversal
base,sector_reversal_3_g100,2017_2024,2012,2017-01-03,2024-12-31,-0.0468215708055,-0.0464875113088,0.055181288622,-1.20378234784,-0.140142829369,-0.334098940462,2005,-0.0310201855577,-0.00840839954544,-0.0510549732298,0.00583185463501,-0.0673377871346,0.474652087475,74.8169887788,0.999254455117,1.1173057555,-0.0271993069693,418,0.0374076678006,0.000120688692705,0.00514603541534,False,candidate,sector_reversal
base,sector_reversal_3_g150,full,4154,2008-07-01,2024-12-31,-0.0597914054674,-0.0586252547443,0.0787070017595,-0.867838049999,-0.0856562531163,-0.698039002316,4061,-0.0460432527614,-0.0116068553012,-0.0679174429332,0.0399735393099,-0.073505724578,0.471352912855,110.255253794,1.48281099149,1.64817805934,-0.0349307421744,862,0.0551303922491,0.000135883607937,0.00759822444226,False,candidate,sector_reversal
base,sector_reversal_3_g150,2008_2016,2142,2008-07-01,2016-12-30,-0.0397170590444,-0.0375708067697,0.0770821975793,-0.490666561911,-0.0936688724856,-0.424015555974,2049,-0.0445412248296,-0.0107416129701,-0.0464833045451,0.0606911590152,-0.0448013333247,0.472455648926,109.27150674,1.47915377791,1.64817805934,-0.0292603379105,444,0.0546411866785,9.54957683899e-05,0.00754679078465,False,candidate,sector_reversal
base,sector_reversal_3_g150,2017_2024,2012,2017-01-03,2024-12-31,-0.0807356506883,-0.0810400795761,0.0803958603407,-1.25570178366,-0.162168339382,-0.497850881348,2005,-0.0460432527614,-0.0122847546972,-0.090735321116,0.00980402126149,-0.102426750402,0.470178926441,111.414603233,1.48670450615,1.61740494909,-0.0409675244474,418,0.0557072328222,0.000178969872531,0.00766072313411,False,candidate,sector_reversal
base,sector_reversal_5_g100,full,4154,2008-07-01,2024-12-31,-0.0492493419051,-0.0490780884417,0.0544021804975,-1.07821186796,-0.0857283902625,-0.574481122931,4062,-0.0310201855577,-0.00817714020034,-0.053517484306,0.0342209618012,-0.0632546882545,0.462205103515,72.0328979492,0.998801200828,1.10824959636,-0.0177715286738,862,0.0360194774888,9.16026602201e-05,0.00508700362339,False,candidate,sector_reversal
base,sector_reversal_5_g100,2008_2016,2142,2008-07-01,2016-12-30,-0.0463311237184,-0.0460257615115,0.0531951273236,-0.864637087906,-0.128119156841,-0.361625262457,2050,-0.025422783202,-0.00804498950142,-0.050270343868,0.0476240376201,-0.0518130782027,0.46218487395,71.9760872862,0.998107121907,1.08562482923,-0.0157693172992,444,0.0359892241061,6.60278710711e-05,0.00507393963775,False,candidate,sector_reversal
base,sector_reversal_5_g100,2017_2024,2012,2017-01-03,2024-12-31,-0.0523918214758,-0.0523276333146,0.0556709893747,-1.2980427148,-0.147193835855,-0.355937605481,2002,-0.0310201855577,-0.00820030565075,-0.0569765219016,0.0146810779264,-0.0743728940382,0.462226640159,72.16731432,0.999540125802,1.10824959636,-0.0199031075825,418,0.0360886539223,0.000118891882237,0.00510612166663,False,candidate,sector_reversal
base,sector_reversal_5_g150,full,4154,2008-07-01,2024-12-31,-0.0753703315628,-0.0753415418192,0.0787358815088,-1.07788196955,-0.102780004489,-0.73331706821,4062,-0.0460432527614,-0.0116076958549,-0.0846405503747,0.0475330470359,-0.0911469728295,0.459075589793,107.17064893,1.48383838757,1.65536208252,-0.0268630803558,862,0.0535913180989,0.000135493102228,0.00755932150247,False,candidate,sector_reversal
base,sector_reversal_5_g150,2008_2016,2142,2008-07-01,2016-12-30,-0.0628778861928,-0.062105994046,0.0753449208296,-0.823311511222,-0.136428118417,-0.460886560062,2050,-0.0378954282015,-0.010909289939,-0.0706212796883,0.0632338872113,-0.0696173544819,0.458450046685,106.841347538,1.47871759627,1.65536208252,-0.023923262519,444,0.0534226757063,9.59500342312e-05,0.0075181835975,False,candidate,sector_reversal
