policy,scenario,period,original_positive_day_fraction,corrected_positive_day_fraction
dual_momentum_252_g100,delay_one_session,2017_2024,0.554174950298,0.554174950298
dual_momentum_252_g150,delay_one_session,full,0.544294655753,0.544294655753
dual_momentum_252_g150,delay_one_session,2008_2016,0.536881419234,0.536881419234
dual_momentum_252_g150,delay_one_session,2017_2024,0.552186878728,0.552186878728
dual_momentum_63_g100,delay_one_session,full,0.54260953298,0.54260953298
dual_momentum_63_g100,delay_one_session,2008_2016,0.539682539683,0.539682539683
dual_momentum_63_g100,delay_one_session,2017_2024,0.545725646123,0.545725646123
dual_momentum_63_g150,delay_one_session,full,0.541405873857,0.541405873857
dual_momentum_63_g150,delay_one_session,2008_2016,0.538748832866,0.538748832866
dual_momentum_63_g150,delay_one_session,2017_2024,0.544234592445,0.544234592445
fixed_blend_g100,delay_one_session,full,0.52888781897,0.52888781897
fixed_blend_g100,delay_one_session,2008_2016,0.525210084034,0.525210084034
fixed_blend_g100,delay_one_session,2017_2024,0.532803180915,0.532803180915
fixed_blend_g150,delay_one_session,full,0.526480500722,0.526480500722
fixed_blend_g150,delay_one_session,2008_2016,0.529878618114,0.529878618114
fixed_blend_g150,delay_one_session,2017_2024,0.522862823062,0.522862823062
raw_sector_reversal_g100,delay_one_session,full,0.485556090515,0.485556090515
raw_sector_reversal_g100,delay_one_session,2008_2016,0.474323062558,0.474323062558
raw_sector_reversal_g100,delay_one_session,2017_2024,0.497514910537,0.497514910537
raw_sector_reversal_g150,delay_one_session,full,0.487000481464,0.487000481464
raw_sector_reversal_g150,delay_one_session,2008_2016,0.47619047619,0.47619047619
raw_sector_reversal_g150,delay_one_session,2017_2024,0.498508946322,0.498508946322
sector_reversal_10_g100,delay_one_session,full,0.478334135773,0.478334135773
sector_reversal_10_g100,delay_one_session,2008_2016,0.481792717087,0.481792717087
sector_reversal_10_g100,delay_one_session,2017_2024,0.474652087475,0.474652087475
sector_reversal_10_g150,delay_one_session,full,0.474241694752,0.474241694752
sector_reversal_10_g150,delay_one_session,2008_2016,0.479458450047,0.479458450047
sector_reversal_10_g150,delay_one_session,2017_2024,0.468687872763,0.468687872763
sector_reversal_3_g100,delay_one_session,full,0.475204622051,0.475204622051
sector_reversal_3_g100,delay_one_session,2008_2016,0.468720821662,0.468720821662
sector_reversal_3_g100,delay_one_session,2017_2024,0.482107355865,0.482107355865
sector_reversal_3_g150,delay_one_session,full,0.470871449206,0.470871449206
sector_reversal_3_g150,delay_one_session,2008_2016,0.465919701214,0.465919701214
sector_reversal_3_g150,delay_one_session,2017_2024,0.476143141153,0.476143141153
sector_reversal_5_g100,delay_one_session,full,0.466297544535,0.466297544535
sector_reversal_5_g100,delay_one_session,2008_2016,0.464052287582,0.464052287582
sector_reversal_5_g100,delay_one_session,2017_2024,0.468687872763,0.468687872763
sector_reversal_5_g150,delay_one_session,full,0.462445835339,0.462445835339
sector_reversal_5_g150,delay_one_session,2008_2016,0.462651727358,0.462651727358
sector_reversal_5_g150,delay_one_session,2017_2024,0.462226640159,0.462226640159
spy_buy_hold,delay_one_session,full,0.551998074145,0.551998074145
spy_buy_hold,delay_one_session,2008_2016,0.549486461251,0.549486461251
spy_buy_hold,delay_one_session,2017_2024,0.554671968191,0.554671968191
static_macro_g100,delay_one_session,full,0.546942705826,0.546942705826
static_macro_g100,delay_one_session,2008_2016,0.539215686275,0.539215686275
static_macro_g100,delay_one_session,2017_2024,0.555168986083,0.555168986083
static_macro_g150,delay_one_session,full,0.545257583052,0.545257583052
static_macro_g150,delay_one_session,2008_2016,0.538281979458,0.538281979458
static_macro_g150,delay_one_session,2017_2024,0.55268389662,0.55268389662
trend_only_g100,delay_one_session,full,0.531776600867,0.531054405392
trend_only_g100,delay_one_session,2008_2016,0.519607843137,0.518207282913
trend_only_g100,delay_one_session,2017_2024,0.544731610338,0.544731610338
trend_only_g150,delay_one_session,full,0.530813673568,0.529369282619
trend_only_g150,delay_one_session,2008_2016,0.519607843137,0.517740429505
trend_only_g150,delay_one_session,2017_2024,0.542743538767,0.541749502982
trend_pullback_10_g100,delay_one_session,full,0.475204622051,0.470389985556
trend_pullback_10_g100,delay_one_session,2008_2016,0.416433239963,0.409430438842
trend_pullback_10_g100,delay_one_session,2017_2024,0.537773359841,0.535288270378
trend_pullback_10_g150,delay_one_session,full,0.474723158402,0.468704862783
trend_pullback_10_g150,delay_one_session,2008_2016,0.415499533147,0.41223155929
trend_pullback_10_g150,delay_one_session,2017_2024,0.537773359841,0.528827037773
trend_pullback_3_g100,delay_one_session,full,0.472315840154,0.46701974001
trend_pullback_3_g100,delay_one_session,2008_2016,0.410364145658,0.403828197946
trend_pullback_3_g100,delay_one_session,2017_2024,0.538270377734,0.534294234592
trend_pullback_3_g150,delay_one_session,full,0.465575349061,0.460279248917
trend_pullback_3_g150,delay_one_session,2008_2016,0.40756302521,0.401960784314
trend_pullback_3_g150,delay_one_session,2017_2024,0.527335984095,0.522365805169
trend_pullback_5_g100,delay_one_session,full,0.477852672123,0.47159364468
trend_pullback_5_g100,delay_one_session,2008_2016,0.416900093371,0.409430438842
trend_pullback_5_g100,delay_one_session,2017_2024,0.542743538767,0.537773359841
trend_pullback_5_g150,delay_one_session,full,0.473278767453,0.469427058257
trend_pullback_5_g150,delay_one_session,2008_2016,0.416900093371,0.411297852474
trend_pullback_5_g150,delay_one_session,2017_2024,0.533300198807,0.531312127237
bil_buy_hold,frictionless,full,0.388300433317,0.388300433317
bil_buy_hold,frictionless,2008_2016,0.261437908497,0.261437908497
bil_buy_hold,frictionless,2017_2024,0.523359840954,0.523359840954
dual_momentum_126_g100,frictionless,full,0.540924410207,0.540924410207
dual_momentum_126_g100,frictionless,2008_2016,0.53781512605,0.53781512605
dual_momentum_126_g100,frictionless,2017_2024,0.544234592445,0.544234592445
dual_momentum_126_g150,frictionless,full,0.540924410207,0.540924410207
dual_momentum_126_g150,frictionless,2008_2016,0.53781512605,0.53781512605
dual_momentum_126_g150,frictionless,2017_2024,0.544234592445,0.544234592445
dual_momentum_252_g100,frictionless,full,0.548627828599,0.548627828599
dual_momentum_252_g100,frictionless,2008_2016,0.539215686275,0.539215686275
dual_momentum_252_g100,frictionless,2017_2024,0.558648111332,0.558648111332
dual_momentum_252_g150,frictionless,full,0.548868560424,0.548868560424
dual_momentum_252_g150,frictionless,2008_2016,0.539682539683,0.539682539683
dual_momentum_252_g150,frictionless,2017_2024,0.558648111332,0.558648111332
dual_momentum_63_g100,frictionless,full,0.543813192104,0.543813192104
dual_momentum_63_g100,frictionless,2008_2016,0.541083099907,0.541083099907
dual_momentum_63_g100,frictionless,2017_2024,0.546719681909,0.546719681909
dual_momentum_63_g150,frictionless,full,0.543572460279,0.543572460279
dual_momentum_63_g150,frictionless,2008_2016,0.541083099907,0.541083099907
dual_momentum_63_g150,frictionless,2017_2024,0.546222664016,0.546222664016
fixed_blend_g100,frictionless,full,0.544294655753,0.544294655753
fixed_blend_g100,frictionless,2008_2016,0.540616246499,0.540616246499
fixed_blend_g100,frictionless,2017_2024,0.548210735586,0.548210735586
fixed_blend_g150,frictionless,full,0.542368801156,0.542368801156
fixed_blend_g150,frictionless,2008_2016,0.544351073763,0.544351073763
fixed_blend_g150,frictionless,2017_2024,0.540258449304,0.540258449304
raw_sector_reversal_g100,frictionless,full,0.505777563794,0.505777563794
raw_sector_reversal_g100,frictionless,2008_2016,0.503267973856,0.503267973856
raw_sector_reversal_g100,frictionless,2017_2024,0.508449304175,0.508449304175
raw_sector_reversal_g150,frictionless,full,0.506981222918,0.506981222918
raw_sector_reversal_g150,frictionless,2008_2016,0.506069094304,0.506069094304
raw_sector_reversal_g150,frictionless,2017_2024,0.507952286282,0.507952286282
sector_reversal_10_g100,frictionless,full,0.492537313433,0.492537313433
sector_reversal_10_g100,frictionless,2008_2016,0.493930905696,0.493930905696
sector_reversal_10_g100,frictionless,2017_2024,0.491053677932,0.491053677932
