period,asset,model,rows,decision_dates,event_fraction,brier,brier_skill,log_loss
2018,GLD,past_frequency,52,52,0.0,0.030301783264746234,0.0,0.1912501875382559
2019,pooled,logistic,156,52,0.0641025641025641,0.07480647801669706,-0.14890291226793462,0.29272993769756256
2019,pooled,gbm,156,52,0.0641025641025641,0.0762644674951461,-0.17129520237778606,0.30182534972922354
2019,pooled,past_frequency,156,52,0.0641025641025641,0.06511122673458025,0.0,0.263617305405039
2019,SPY,logistic,52,52,0.057692307692307696,0.06618720275761172,-0.1367942190870013,0.27499859976015306
2019,SPY,gbm,52,52,0.057692307692307696,0.07057448133653701,-0.2121476517484675,0.29718010952557455
2019,SPY,past_frequency,52,52,0.057692307692307696,0.058222677109291555,0.0,0.24267003131965856
2019,QQQ,logistic,52,52,0.1346153846153846,0.13890881303607194,-0.16322493278409422,0.46470377606474883
2019,QQQ,gbm,52,52,0.1346153846153846,0.13117361427288915,-0.09845023732227087,0.4496192294346043
2019,QQQ,past_frequency,52,52,0.1346153846153846,0.11941698387052607,0.0,0.4054438201450328
2019,GLD,logistic,52,52,0.0,0.0193234182564075,-0.09208755861875506,0.13848743726778584
2019,GLD,gbm,52,52,0.0,0.027045306876012136,-0.5284999147873466,0.1586767102274918
2019,GLD,past_frequency,52,52,0.0,0.017694019223923104,0.0,0.14273806475042583
2020,pooled,logistic,159,53,0.1949685534591195,0.19195172881075298,-0.18813350828691355,0.5826551233532894
2020,pooled,gbm,159,53,0.1949685534591195,0.1623981351999183,-0.005204106833355704,0.5158871303994372
2020,pooled,past_frequency,159,53,0.1949685534591195,0.1615573733691887,0.0,0.5125667864224634
2020,SPY,logistic,53,53,0.20754716981132076,0.20221780813625417,-0.17627912964328196,0.6146895146830268
2020,SPY,gbm,53,53,0.20754716981132076,0.16842790664190976,0.02027307457069416,0.5381115299482887
2020,SPY,past_frequency,53,53,0.20754716981132076,0.17191311402216128,0.0,0.5403068128737436
2020,QQQ,logistic,53,53,0.18867924528301888,0.2118563275826587,-0.38379638283773,0.615551424050232
2020,QQQ,gbm,53,53,0.18867924528301888,0.15691113947814883,-0.02490716097252932,0.4908814253174399
2020,QQQ,past_frequency,53,53,0.18867924528301888,0.15309790530613196,0.0,0.48436197015502586
2020,GLD,logistic,53,53,0.18867924528301888,0.1617810507133461,-0.013277811086896518,0.5177244313266093
2020,GLD,gbm,53,53,0.18867924528301888,0.16185535947969626,-0.013743226682727316,0.518668435932583
2020,GLD,past_frequency,53,53,0.18867924528301888,0.15966110077927295,0.0,0.5130315762386213
2021,pooled,logistic,156,52,0.14743589743589744,0.12324485530317354,0.004113319494805645,0.4132098112988478
2021,pooled,gbm,156,52,0.14743589743589744,0.12866456441042073,-0.03968093137954454,0.42731997138581806
