period,asset,model,bin,lower,upper,rows,mean_probability,event_fraction
2021_2024,GLD,past_frequency,0,0.0,0.2,204,0.13187872032022557,0.12745098039215685
2021_2024,GLD,past_frequency,1,0.2,0.4,0,,
2021_2024,GLD,past_frequency,2,0.4,0.6,0,,
2021_2024,GLD,past_frequency,3,0.6,0.8,0,,
2021_2024,GLD,past_frequency,4,0.8,1.0,0,,
2018,pooled,logistic,0,0.0,0.2,134,0.09724569790483163,0.2462686567164179
2018,pooled,logistic,1,0.2,0.4,21,0.27293435420583456,0.2857142857142857
2018,pooled,logistic,2,0.4,0.6,1,0.41455435786342837,0.0
2018,pooled,logistic,3,0.6,0.8,0,,
2018,pooled,logistic,4,0.8,1.0,0,,
2018,pooled,gbm,0,0.0,0.2,140,0.10161928098474493,0.22857142857142856
2018,pooled,gbm,1,0.2,0.4,16,0.2296582534288056,0.4375
2018,pooled,gbm,2,0.4,0.6,0,,
2018,pooled,gbm,3,0.6,0.8,0,,
2018,pooled,gbm,4,0.8,1.0,0,,
2018,pooled,past_frequency,0,0.0,0.2,156,0.12798353909465018,0.25
2018,pooled,past_frequency,1,0.2,0.4,0,,
2018,pooled,past_frequency,2,0.4,0.6,0,,
2018,pooled,past_frequency,3,0.6,0.8,0,,
2018,pooled,past_frequency,4,0.8,1.0,0,,
2018,SPY,logistic,0,0.0,0.2,52,0.0557776666539932,0.3269230769230769
2018,SPY,logistic,1,0.2,0.4,0,,
2018,SPY,logistic,2,0.4,0.6,0,,
2018,SPY,logistic,3,0.6,0.8,0,,
2018,SPY,logistic,4,0.8,1.0,0,,
2018,SPY,gbm,0,0.0,0.2,48,0.07947181790466441,0.3333333333333333
2018,SPY,gbm,1,0.2,0.4,4,0.22059392578566017,0.25
2018,SPY,gbm,2,0.4,0.6,0,,
2018,SPY,gbm,3,0.6,0.8,0,,
2018,SPY,gbm,4,0.8,1.0,0,,
2018,SPY,past_frequency,0,0.0,0.2,52,0.07407407407407406,0.3269230769230769
2018,SPY,past_frequency,1,0.2,0.4,0,,
2018,SPY,past_frequency,2,0.4,0.6,0,,
2018,SPY,past_frequency,3,0.6,0.8,0,,
2018,SPY,past_frequency,4,0.8,1.0,0,,
2018,QQQ,logistic,0,0.0,0.2,46,0.10336276919996594,0.34782608695652173
2018,QQQ,logistic,1,0.2,0.4,6,0.23478909433528672,1.0
2018,QQQ,logistic,2,0.4,0.6,0,,
2018,QQQ,logistic,3,0.6,0.8,0,,
2018,QQQ,logistic,4,0.8,1.0,0,,
2018,QQQ,gbm,0,0.0,0.2,44,0.10585840723149319,0.36363636363636365
2018,QQQ,gbm,1,0.2,0.4,8,0.22471452505081313,0.75
2018,QQQ,gbm,2,0.4,0.6,0,,
2018,QQQ,gbm,3,0.6,0.8,0,,
2018,QQQ,gbm,4,0.8,1.0,0,,
2018,QQQ,past_frequency,0,0.0,0.2,52,0.13580246913580243,0.4230769230769231
2018,QQQ,past_frequency,1,0.2,0.4,0,,
2018,QQQ,past_frequency,2,0.4,0.6,0,,
2018,QQQ,past_frequency,3,0.6,0.8,0,,
2018,QQQ,past_frequency,4,0.8,1.0,0,,
2018,GLD,logistic,0,0.0,0.2,36,0.14932770750114882,0.0
2018,GLD,logistic,1,0.2,0.4,15,0.2881924581540537,0.0
2018,GLD,logistic,2,0.4,0.6,1,0.41455435786342837,0.0
2018,GLD,logistic,3,0.6,0.8,0,,
2018,GLD,logistic,4,0.8,1.0,0,,
2018,GLD,gbm,0,0.0,0.2,48,0.11988087833863953,0.0
2018,GLD,gbm,1,0.2,0.4,4,0.24861003782793595,0.0
2018,GLD,gbm,2,0.4,0.6,0,,
2018,GLD,gbm,3,0.6,0.8,0,,
2018,GLD,gbm,4,0.8,1.0,0,,
2018,GLD,past_frequency,0,0.0,0.2,52,0.17407407407407408,0.0
2018,GLD,past_frequency,1,0.2,0.4,0,,
2018,GLD,past_frequency,2,0.4,0.6,0,,
2018,GLD,past_frequency,3,0.6,0.8,0,,
2018,GLD,past_frequency,4,0.8,1.0,0,,
2019,pooled,logistic,0,0.0,0.2,117,0.11091858625294555,0.06837606837606838
2019,pooled,logistic,1,0.2,0.4,39,0.2583172048586559,0.05128205128205128
2019,pooled,logistic,2,0.4,0.6,0,,
2019,pooled,logistic,3,0.6,0.8,0,,
2019,pooled,logistic,4,0.8,1.0,0,,
2019,pooled,gbm,0,0.0,0.2,133,0.11859771073546231,0.06766917293233082
2019,pooled,gbm,1,0.2,0.4,22,0.27537775396754544,0.045454545454545456
2019,pooled,gbm,2,0.4,0.6,1,0.40358798882610347,0.0
