asset,timeframe,year,candidate,benchmark,metric,candidate_loss,benchmark_loss,relative_improvement
ETH,1,all,linear_augmented,linear_volatility,variance_qlike,0.42170872863082054,0.44574671055160014,0.053927446578423965
ETH,1,all,boosted_augmented,boosted_volatility,log_variance_mse,0.713977078932486,0.7578299595278353,0.05786638551829193
ETH,1,all,boosted_augmented,boosted_volatility,variance_qlike,0.4179738478774605,0.4489445229630642,0.06898552828130111
ETH,1,all,boosted_augmented,ewma_calibrated,log_variance_mse,0.713977078932486,0.7244723235257865,0.014486743319915063
ETH,1,all,boosted_augmented,ewma_calibrated,variance_qlike,0.4179738478774605,0.4530096184413831,0.07734001473184182
ETH,4,2020,boosted_volatility,linear_volatility,log_variance_mse,0.6781711343626607,0.6594626652139705,-0.02836926203035328
ETH,4,2020,boosted_volatility,linear_volatility,variance_qlike,0.5373796771691199,0.505606222460543,-0.06284229366076777
ETH,4,2020,boosted_augmented,linear_augmented,log_variance_mse,0.6366376208537281,0.6595016635761555,0.0346686657292824
ETH,4,2020,boosted_augmented,linear_augmented,variance_qlike,0.47705213111956785,0.47700598893498264,-9.673292506917619e-05
ETH,4,2020,linear_augmented,linear_volatility,log_variance_mse,0.6595016635761555,0.6594626652139705,-5.9136573216544974e-05
ETH,4,2020,linear_augmented,linear_volatility,variance_qlike,0.47700598893498264,0.505606222460543,0.05656622140917633
ETH,4,2020,boosted_augmented,boosted_volatility,log_variance_mse,0.6366376208537281,0.6781711343626607,0.06124341099826591
ETH,4,2020,boosted_augmented,boosted_volatility,variance_qlike,0.47705213111956785,0.5373796771691199,0.11226242564168698
ETH,4,2020,boosted_augmented,ewma_calibrated,log_variance_mse,0.6366376208537281,0.6629823410785051,0.03973668466330604
ETH,4,2020,boosted_augmented,ewma_calibrated,variance_qlike,0.47705213111956785,0.5178263718536522,0.0787411436542439
ETH,4,2021,boosted_volatility,linear_volatility,log_variance_mse,0.5393204246536559,0.49871183357177007,-0.08142696512943659
ETH,4,2021,boosted_volatility,linear_volatility,variance_qlike,0.42479219680508945,0.4033009604614402,-0.0532883341489192
ETH,4,2021,boosted_augmented,linear_augmented,log_variance_mse,0.5581120303387863,0.4595479235579037,-0.21448058347817422
ETH,4,2021,boosted_augmented,linear_augmented,variance_qlike,0.43752114978629875,0.35882128400716484,-0.21932886728525958
ETH,4,2021,linear_augmented,linear_volatility,log_variance_mse,0.4595479235579037,0.49871183357177007,0.0785301398071403
ETH,4,2021,linear_augmented,linear_volatility,variance_qlike,0.35882128400716484,0.4033009604614402,0.11028904172056408
ETH,4,2021,boosted_augmented,boosted_volatility,log_variance_mse,0.5581120303387863,0.5393204246536559,-0.034843118906906057
ETH,4,2021,boosted_augmented,boosted_volatility,variance_qlike,0.43752114978629875,0.42479219680508945,-0.029965129013539427
ETH,4,2021,boosted_augmented,ewma_calibrated,log_variance_mse,0.5581120303387863,0.5004684902415928,-0.1151791595698004
ETH,4,2021,boosted_augmented,ewma_calibrated,variance_qlike,0.43752114978629875,0.4069594029037654,-0.07509777797113659
ETH,4,2022,boosted_volatility,linear_volatility,log_variance_mse,0.6485869552778475,0.6230686898134123,-0.040955782053623935
ETH,4,2022,boosted_volatility,linear_volatility,variance_qlike,0.3661838794106643,0.35969094408594315,-0.018051428403962788
ETH,4,2022,boosted_augmented,linear_augmented,log_variance_mse,0.6238302493030622,0.6367827203438012,0.020340487621501313
