state_run_id,state_run_ordinal,regime_label,start_bar_index,end_bar_index,start_timestamp,end_timestamp,duration_bars,entered_from_regime_label,exited_to_regime_label
536ccbc4a6dc7cfebe4eb4c913c745c405e39920aa5611562127b28d245f8367,65,VOL_COMPRESSION,656,657,2018-01-28T08:00:00,2018-01-28T09:00:00,2,TREND_UP,TREND_UP
9753f41421833f7abb31015e28fde666edab090ae0c5892319795a090b0a37bd,66,TREND_UP,658,663,2018-01-28T10:00:00,2018-01-28T15:00:00,6,VOL_COMPRESSION,VOL_COMPRESSION
eae314ac387711517926d6dcbaa9a1ab649fd92c6968b66f9bf27940e1c221c8,67,VOL_COMPRESSION,664,708,2018-01-28T16:00:00,2018-01-30T12:00:00,45,TREND_UP,TREND_DOWN
cec3f1e0424aae4b6d95594a4d35b8591cf77e2c19ce8e62163b10ddc58ff099,68,TREND_DOWN,709,714,2018-01-30T13:00:00,2018-01-30T18:00:00,6,VOL_COMPRESSION,VOL_EXPANSION
569128ceadfb0f5aafa22fd085063523fcdf66a63e7f93e4b8f843720b8b8f58,69,VOL_EXPANSION,715,717,2018-01-30T19:00:00,2018-01-30T21:00:00,3,TREND_DOWN,TREND_DOWN
516cdcb214681ebec5a2bd8f92bebee5d810eb165be97d280436a24c076308cf,70,TREND_DOWN,718,722,2018-01-30T22:00:00,2018-01-31T02:00:00,5,VOL_EXPANSION,VOL_EXPANSION
30926105282204cf515807ca261d61680de80a638391868f9b56a0feba04167a,71,VOL_EXPANSION,723,723,2018-01-31T03:00:00,2018-01-31T03:00:00,1,TREND_DOWN,TREND_DOWN
e51987b66dd878b29631e26d3a965195679b19d90d926a5bf1d5151193f2ff5f,72,TREND_DOWN,724,745,2018-01-31T04:00:00,2018-02-01T01:00:00,22,VOL_EXPANSION,VOL_COMPRESSION
cd2ac2d7e854e5cda28dc32a5c3b8997fa713550dd8aa3519cb6f8b56558869f,73,VOL_COMPRESSION,746,746,2018-02-01T02:00:00,2018-02-01T02:00:00,1,TREND_DOWN,TREND_DOWN
d24f9d4065981353cc52ae34afa795abbc17a308b5b076603bcc3ba9090906f6,74,TREND_DOWN,747,756,2018-02-01T03:00:00,2018-02-01T15:00:00,10,VOL_COMPRESSION,VOL_EXPANSION
ce6d76e45a6c13e86afe014c5936ef481f91ba512071f4589a25734700c15e11,75,VOL_EXPANSION,757,758,2018-02-01T16:00:00,2018-02-01T17:00:00,2,TREND_DOWN,TREND_DOWN
24d6ec32b25f4f71f1f332de5b9d4db8e92c9771c98f12ff917784011e5e14d2,76,TREND_DOWN,759,760,2018-02-01T18:00:00,2018-02-01T19:00:00,2,VOL_EXPANSION,VOL_EXPANSION
